N,kod,T,HV1,HV10
10675,61,-23.0,-89.7,-944.2
10676,61,-23.0,-89.7,-944.2
10677,61,-23.0,-89.7,-944.2
10678,61,-23.0,-89.7,-944.2
10679,61,-23.0,-89.7,-944.2
10680,61,-23.0,-89.7,-944.2
10681,61,-22.6,-89.8,-945.0
10682,61,-22.6,-89.8,-945.0
10683,61,-22.6,-89.6,-943.0
10684,61,-22.6,-89.6,-943.0
10685,65,-22.5,-90.2,-949.0
10686,65,-22.5,-90.2,-949.0
10687,65,-22.4,-90.0,-947.0
10688,65,-22.4,-90.0,-947.0
10689,65,-22.4,-90.0,-947.0
10690,65,-22.4,-90.0,-947.0
10691,65,-22.3,-90.6,-953.5
10692,65,-22.3,-90.6,-953.5
10693,65,-22.3,-90.6,-953.5
10694,65,-22.3,-90.6,-953.5
10695,65,-22.3,-90.6,-953.5
10696,65,-22.3,-90.6,-953.5
10697,65,-22.1,-90.2,-948.9
10698,65,-22.1,-90.2,-948.9
10699,65,-22.1,-90.2,-948.9
10700,65,-22.1,-90.2,-948.9
10701,65,-21.9,-89.9,-946.2
10702,65,-21.9,-89.9,-946.2
10703,65,-21.6,-90.2,-948.9
10704,65,-21.6,-90.2,-948.9
10705,65,-21.6,-90.2,-948.9
10706,65,-21.6,-90.2,-948.9
10707,65,-21.6,-90.2,-948.9
10708,65,-21.6,-90.2,-948.9
10709,65,-21.4,-90.0,-947.5
10710,65,-21.4,-90.0,-947.5
10711,65,-21.4,-90.0,-947.5
10712,65,-21.4,-90.0,-947.5
10713,65,-21.4,-90.0,-947.5
10714,65,-21.4,-90.0,-947.5
10715,65,-21.4,-90.0,-947.5
10716,65,-21.4,-90.0,-947.5
10717,65,-21.1,-90.4,-951.4
10718,65,-21.1,-90.4,-951.4
10719,65,-21.1,-90.4,-951.4
10720,65,-21.1,-90.4,-951.4
10721,65,-21.1,-90.4,-951.4
10722,65,-21.1,-90.4,-951.4
10723,65,-20.8,-90.3,-950.2
10724,65,-20.8,-90.3,-950.2
10725,65,-20.8,-90.3,-950.2
10726,65,-20.8,-90.3,-950.2
10727,65,-20.5,-90.3,-950.2
10728,65,-20.5,-90.3,-950.2
10729,65,-20.5,-90.3,-950.2
10730,65,-20.5,-90.3,-950.2
10731,65,-20.5,-90.3,-950.2
10732,65,-20.5,-90.3,-950.2
10733,65,-20.0,-90.1,-948.1
10734,65,-20.0,-90.1,-948.1
10735,65,-20.0,-90.1,-948.1
10736,65,-20.0,-90.1,-948.1
10737,65,-19.8,-90.3,-950.8
10738,65,-19.8,-90.3,-950.8
10739,65,-19.8,-90.3,-950.8
10740,65,-19.8,-90.3,-950.8
10741,65,-19.1,-90.2,-949.7
10742,65,-19.1,-90.2,-949.7
10743,65,-19.1,-90.2,-949.7
10744,65,-19.1,-90.2,-949.7
10745,65,-19.1,-90.2,-949.7
10746,65,-19.1,-90.2,-949.7
10747,65,-19.1,-90.2,-949.7
10748,65,-19.1,-90.2,-949.7
10749,65,-18.8,-89.9,-946.1
10750,65,-18.8,-89.9,-946.1
10751,65,-18.6,-89.9,-945.5
10752,65,-18.6,-89.9,-945.5
10753,65,-18.6,-89.9,-945.5
10754,65,-18.6,-89.9,-945.5
10755,65,-18.3,-90.4,-951.5
10756,65,-18.3,-90.4,-951.5
10757,65,-18.3,-90.4,-951.5
10758,65,-18.3,-90.4,-951.5
10759,65,-18.1,-90.2,-949.5
10760,65,-18.1,-90.2,-949.5
10761,65,-17.8,-90.6,-953.4
10762,65,-17.8,-90.6,-953.4
10763,65,-17.8,-90.6,-953.4
10764,65,-17.8,-90.6,-953.4
10765,65,-17.5,-89.8,-944.8
10766,65,-17.5,-89.8,-944.8
10767,65,-17.3,-90.6,-953.4
10768,65,-17.3,-90.6,-953.4
10769,65,-17.0,-89.8,-945.4
10770,65,-17.0,-89.8,-945.4
10771,65,-16.8,-90.4,-951.4
10772,65,-16.8,-90.4,-951.4
10773,65,-16.6,-89.8,-944.7
10774,65,-16.6,-89.8,-944.7
10775,65,-16.6,-89.8,-944.7
10776,65,-16.6,-89.8,-944.7
10777,65,-16.6,-89.8,-944.7
10778,65,-16.6,-89.8,-944.7
10779,65,-16.6,-89.8,-944.7
10780,65,-16.6,-89.8,-944.7
10781,65,-16.2,-90.3,-950.8
10782,65,-16.2,-90.3,-950.8
10783,65,-16.2,-90.3,-950.8
10784,65,-16.2,-90.3,-950.8
10785,65,-16.2,-90.3,-950.8
10786,65,-16.2,-90.3,-950.8
10787,65,-16.0,-90.1,-948.1
10788,65,-16.0,-90.1,-948.1
10789,65,-16.0,-90.1,-948.1
10790,65,-16.0,-90.1,-948.1
10791,65,-15.9,-90.1,-948.2
10792,65,-15.9,-90.1,-948.2
10793,65,-15.8,-90.4,-951.8
10794,65,-15.8,-90.4,-951.8
10795,65,-15.7,-90.3,-950.7
10796,65,-15.7,-90.3,-950.7
10797,65,-15.4,-90.1,-948.7
10798,65,-15.4,-90.1,-948.7
10799,65,-15.4,-90.1,-948.7
10800,65,-15.4,-90.1,-948.7
10801,65,-15.4,-90.1,-948.7
10802,65,-15.4,-90.1,-948.7
10803,65,-15.3,-90.3,-950.1
10804,65,-15.3,-90.3,-950.1
10805,65,-15.3,-90.3,-950.1
10806,65,-15.3,-90.3,-950.1
10807,65,-15.3,-90.3,-950.1
10808,65,-15.3,-90.3,-950.1
10809,65,-15.3,-90.3,-950.1
10810,65,-15.3,-90.3,-950.1
10811,65,-15.2,-90.2,-949.5
10812,65,-15.2,-90.2,-949.5
10813,65,-15.1,-90.6,-953.4
10814,65,-15.1,-90.6,-953.4
10815,65,-15.1,-90.6,-953.4
10816,65,-15.1,-90.6,-953.4
10817,65,-15.0,-90.4,-951.4
10818,65,-15.0,-90.4,-951.4
10819,65,-15.0,-90.4,-951.4
10820,65,-15.0,-90.4,-951.4
10821,65,-15.0,-90.4,-951.4
10822,65,-15.0,-90.4,-951.4
10823,65,-14.9,-90.4,-951.4
10824,65,-14.9,-90.4,-951.4
10825,65,-14.9,-90.4,-951.4
10826,65,-14.9,-90.4,-951.4
10827,65,-14.9,-90.4,-951.4
10828,65,-14.9,-90.4,-951.4
10829,65,-14.9,-90.4,-951.4
10830,65,-14.9,-90.4,-951.4
10831,65,-14.7,-90.1,-948.1
10832,65,-14.7,-90.1,-948.1
10833,65,-14.7,-90.1,-948.1
10834,65,-14.7,-90.1,-948.1
10835,65,-14.7,-90.1,-948.1
10836,65,-14.7,-90.1,-948.1
10837,65,-14.7,-90.1,-948.1
10838,65,-14.7,-90.1,-948.1
10839,65,-14.7,-90.1,-948.1
10840,65,-14.7,-90.1,-948.1
10841,65,-14.7,-90.1,-948.1
10842,65,-14.7,-90.1,-948.1
10843,65,-14.7,-90.1,-948.1
10844,65,-14.7,-90.1,-948.1
10845,65,-14.7,-90.1,-948.1
10846,65,-14.7,-90.1,-948.1
10847,65,-14.7,-90.1,-948.1
10848,65,-14.7,-90.1,-948.1
10849,65,-14.7,-90.1,-948.1
10850,65,-14.7,-90.1,-948.1
10851,65,-14.7,-90.1,-948.1
10852,65,-14.7,-90.1,-948.1
10853,65,-14.7,-90.1,-948.1
10854,65,-14.7,-90.1,-948.1
10855,65,-14.7,-90.1,-948.1
10856,65,-14.7,-90.1,-948.1
10857,65,-14.7,-90.1,-948.1
10858,65,-14.7,-90.1,-948.1
10859,65,-14.7,-90.1,-948.1
10860,65,-14.7,-90.1,-948.1
10861,65,-14.7,-90.1,-948.1
10862,65,-14.7,-90.1,-948.1
10863,65,-14.7,-90.1,-948.1
10864,65,-14.7,-90.1,-948.1
10865,65,-14.7,-90.1,-948.1
10866,65,-14.7,-90.1,-948.1
10867,65,-14.7,-90.1,-948.1
10868,65,-14.7,-90.1,-948.1
10869,65,-14.7,-90.1,-948.1
10870,65,-14.7,-90.1,-948.1
10871,65,-14.7,-90.1,-948.1
10872,65,-14.7,-90.1,-948.1
10873,65,-14.7,-90.1,-948.1
10874,65,-14.7,-90.1,-948.1
10875,65,-14.7,-90.1,-948.1
10876,65,-14.7,-90.1,-948.1
10877,65,-14.7,-90.1,-948.1
10878,65,-14.7,-90.1,-948.1
10879,65,-14.7,-90.1,-948.1
10880,65,-14.7,-90.1,-948.1
10881,65,-14.7,-90.1,-948.1
10882,65,-14.7,-90.1,-948.1
10883,65,-14.7,-90.1,-948.1
10884,65,-14.7,-90.1,-948.1
10885,65,-14.7,-90.1,-948.1
10886,65,-14.7,-90.1,-948.1
10887,65,-14.7,-90.1,-948.1
10888,65,-14.7,-90.1,-948.1
10889,65,-14.7,-90.1,-948.1
10890,65,-14.7,-90.1,-948.1
10891,65,-14.7,-90.1,-948.1
10892,65,-14.7,-90.1,-948.1
10893,65,-14.7,-90.1,-948.1
10894,65,-14.7,-90.1,-948.1
10895,65,-14.7,-90.1,-948.1
10896,65,-14.7,-90.1,-948.1
10897,65,-14.7,-90.1,-948.1
10898,65,-14.7,-90.1,-948.1
10899,65,-14.7,-90.1,-948.1
10900,65,-14.7,-90.1,-948.1
10901,65,-14.7,-90.1,-948.1
10902,65,-14.7,-90.1,-948.1
10903,65,-14.7,-90.1,-948.1
10904,65,-14.7,-90.1,-948.1
10905,65,-14.7,-90.1,-948.1
10906,65,-14.7,-90.1,-948.1
10907,65,-14.7,-90.1,-948.1
10908,65,-14.7,-90.1,-948.1
10909,65,-14.7,-90.1,-948.1
10910,65,-14.7,-90.1,-948.1
10911,65,-14.7,-90.1,-948.1
10912,65,-14.7,-90.1,-948.1
10913,65,-14.7,-90.1,-948.1
10914,65,-14.7,-90.1,-948.1
