N,kod,T,HV1,HV10
1907,107,-14.2,-97.3,-1027.6
1908,107,-14.2,-97.3,-1027.6
1909,107,-14.2,-97.3,-1027.6
1910,107,-14.2,-97.3,-1027.6
1911,107,-14.2,-97.3,-1027.6
1912,107,-14.2,-97.3,-1027.6
1913,107,-14.2,-97.3,-1027.6
1914,107,-14.2,-97.3,-1027.6
1915,107,-14.2,-97.3,-1027.6
1916,107,-14.2,-97.3,-1027.6
1917,107,-14.2,-97.3,-1027.6
1918,107,-14.2,-97.3,-1027.6
1919,107,-14.2,-97.3,-1027.6
1920,107,-14.2,-97.3,-1027.6
1921,107,-14.2,-97.3,-1027.6
1922,107,-14.2,-97.3,-1027.6
1923,107,-14.2,-97.3,-1027.6
1924,107,-14.2,-97.3,-1027.6
1925,107,-14.2,-97.3,-1027.6
1926,107,-14.2,-97.3,-1027.6
1927,107,-14.2,-97.3,-1027.6
1928,107,-14.2,-97.3,-1027.6
1929,107,-14.2,-97.3,-1027.6
1930,107,-14.2,-97.3,-1027.6
1931,107,-14.2,-97.3,-1027.6
1932,107,-14.2,-97.3,-1027.6
1933,107,-14.2,-97.3,-1027.6
1934,107,-14.2,-97.3,-1027.6
1935,107,-14.2,-97.3,-1027.6
1936,107,-14.2,-97.3,-1027.6
1937,107,-14.2,-97.3,-1027.6
1938,107,-14.2,-97.3,-1027.6
1939,107,-14.2,-97.3,-1027.6
1940,107,-14.2,-97.3,-1027.6
1941,107,-14.2,-97.3,-1027.6
1942,107,-14.2,-97.3,-1027.6
1943,107,-14.2,-97.3,-1027.6
1944,107,-14.2,-97.3,-1027.6
1945,107,-14.2,-97.3,-1027.6
1946,107,-14.2,-97.3,-1027.6
1947,107,-14.0,-97.3,-1027.7
1948,107,-14.0,-97.3,-1027.7
1949,107,-14.0,-97.3,-1027.7
1950,107,-14.0,-97.3,-1027.7
1951,107,-14.0,-97.3,-1027.7
1952,107,-14.0,-97.3,-1027.7
1953,107,-14.0,-97.3,-1027.7
1954,107,-14.0,-97.3,-1027.7
1955,107,-14.0,-97.3,-1027.7
1956,107,-14.0,-97.3,-1027.7
1957,107,-14.0,-97.3,-1027.7
1958,107,-14.0,-97.3,-1027.7
1959,107,-14.0,-97.3,-1027.7
1960,107,-14.0,-97.3,-1027.7
1961,107,-14.0,-97.3,-1027.7
1962,107,-14.0,-97.3,-1027.7
1963,107,-14.0,-97.3,-1027.7
1964,107,-14.0,-97.3,-1027.7
1965,107,-14.0,-97.3,-1027.7
1966,107,-14.0,-97.3,-1027.7
1967,107,-14.0,-97.3,-1027.7
1968,107,-14.0,-97.3,-1027.7
1969,107,-14.0,-97.3,-1027.7
1970,107,-14.0,-97.3,-1027.7
1971,107,-14.0,-97.3,-1027.7
1972,107,-14.0,-97.3,-1027.7
1973,107,-14.0,-97.3,-1027.7
1974,107,-14.0,-97.3,-1027.7
1975,107,-14.0,-97.3,-1027.7
1976,107,-14.0,-97.3,-1027.7
1977,107,-14.0,-97.3,-1027.7
1978,107,-14.0,-97.3,-1027.7
1979,107,-14.0,-97.3,-1027.7
1980,107,-14.0,-97.3,-1027.7
1981,107,-14.0,-97.3,-1027.7
1982,107,-14.0,-97.3,-1027.7
1983,107,-14.0,-97.3,-1027.7
1984,107,-14.0,-97.3,-1027.7
1985,107,-14.0,-97.3,-1027.7
1986,107,-14.0,-97.3,-1027.7
1987,107,-14.0,-97.3,-1027.7
1988,107,-14.0,-97.3,-1027.7
1989,107,-14.0,-97.3,-1027.7
1990,107,-14.0,-97.3,-1027.7
1991,107,-14.0,-97.3,-1027.7
1992,107,-14.0,-97.3,-1027.7
1993,107,-14.0,-97.3,-1027.7
1994,107,-14.0,-97.3,-1027.7
1995,107,-14.0,-97.3,-1027.7
1996,107,-14.0,-97.3,-1027.7
1997,107,-14.0,-97.3,-1027.7
1998,107,-14.0,-97.3,-1027.7
1999,107,-14.0,-97.3,-1027.7
2000,107,-14.0,-97.3,-1027.7
2001,107,-14.0,-97.3,-1027.7
2002,107,-14.0,-97.3,-1027.7
2003,107,-14.0,-97.3,-1027.7
2004,107,-14.0,-97.3,-1027.7
2005,107,-14.0,-97.3,-1027.7
2006,107,-14.0,-97.3,-1027.7
2007,107,-14.0,-97.3,-1027.7
2008,107,-14.0,-97.3,-1027.7
2009,107,-14.0,-97.3,-1027.7
2010,107,-14.0,-97.3,-1027.7
2011,107,-14.0,-97.3,-1027.7
2012,107,-14.0,-97.3,-1027.7
2013,107,-14.0,-97.3,-1027.7
2014,107,-14.0,-97.3,-1027.7
2015,107,-14.0,-97.3,-1027.7
2016,107,-14.0,-97.3,-1027.7
2017,107,-14.0,-97.3,-1027.7
2018,107,-14.0,-97.3,-1027.7
2019,107,-14.0,-97.3,-1027.7
2020,107,-14.0,-97.3,-1027.7
2021,107,-14.0,-97.3,-1027.7
2022,107,-14.0,-97.3,-1027.7
2023,107,-14.0,-97.3,-1027.7
2024,107,-14.0,-97.3,-1027.7
2025,107,-14.0,-97.3,-1027.7
2026,107,-14.0,-97.3,-1027.7
2027,107,-14.0,-97.3,-1027.7
2028,107,-14.0,-97.3,-1027.7
2029,107,-14.0,-97.3,-1027.7
2030,107,-14.0,-97.3,-1027.7
2031,107,-14.0,-97.3,-1027.7
2032,107,-14.0,-97.3,-1027.7
2033,107,-14.0,-97.3,-1027.7
2034,107,-14.0,-97.3,-1027.7
2035,107,-14.0,-97.3,-1027.7
2036,107,-14.0,-97.3,-1027.7
2037,107,-14.0,-97.3,-1027.7
2038,107,-14.0,-97.3,-1027.7
2039,107,-14.0,-97.3,-1027.7
2040,107,-14.0,-97.3,-1027.7
2041,107,-14.0,-97.3,-1027.7
2042,107,-14.0,-97.3,-1027.7
2043,107,-14.0,-97.3,-1027.7
2044,107,-14.0,-97.3,-1027.7
