Event FlagL3 FlagG5 TL3 TG5 TriggerFlag TT
10886 1 1 129 12 1 5
10887 1 1 432 226 1 5
10888 1 1 232 22 1 5
10889 1 1 450 230 1 5
10890 1 1 305 13 1 5
10891 1 1 50 23 1 5
10892 1 1 31 9 1 5
10893 1 1 0 0 1 3
10894 1 1 429 55 1 5
10895 1 1 59 10 1 5
10896 1 1 0 0 1 3
10897 1 1 458 358 1 5
10898 1 1 310 37 1 5
10899 1 1 223 119 1 5
10900 1 1 21 26 1 3
10901 1 1 430 189 1 5
10902 1 1 15 15 1 3
10903 1 1 0 0 1 3
10904 1 1 106 47 1 5
10905 1 1 429 226 1 5
10906 1 1 207 23 1 5
10907 1 1 0 0 1 3
10908 1 1 29 10 1 5
10909 1 1 338 145 1 5
10910 1 1 102 12 1 5
10911 1 1 0 0 1 3
10912 1 1 304 71 1 5
10913 1 1 0 9 1 3
10914 1 1 0 0 1 3
10915 1 1 429 183 1 5
10916 1 1 77 5 1 5
10917 1 1 0 0 1 3
10918 1 1 135 12 1 5
10919 1 1 298 58 1 5
10920 1 1 18 13 1 5
10921 1 1 0 0 1 3
10922 1 1 39 12 1 5
10923 1 1 429 57 1 5
10924 1 1 108 3 1 5
10925 1 1 0 0 1 3
10926 1 1 87 16 1 5
10927 1 1 432 33 1 5
10928 1 1 37 11 1 5
10929 1 1 433 238 1 5
10930 1 1 16 16 1 3
10931 1 1 428 132 1 5
10932 1 1 2 5 1 3
10933 1 1 0 0 1 3
10934 1 1 407 212 1 5
10935 1 1 51 18 1 5
10936 1 1 0 0 1 3
10937 1 1 16 17 1 3
10938 1 1 430 42 1 5
10939 1 1 0 2 1 3
10940 1 1 143 8 1 5
10941 1 1 2 9 1 3
10942 1 1 434 134 1 5
10943 1 1 26 10 1 5
10944 1 1 192 220 1 3
10945 1 1 164 5 1 5
10946 1 1 438 214 1 5
10947 1 1 66 31 1 5
10948 1 1 0 0 1 3
10949 1 1 201 8 1 5
10950 1 1 435 101 1 5
10951 1 1 12 14 1 3
10952 1 1 0 0 1 3
10953 1 1 432 467 1 3
10954 1 1 227 36 1 5
10955 1 1 345 27 1 5
10956 1 1 14 8 1 5
10957 1 1 206 6 1 5
10958 1 1 79 5 1 5
10959 1 1 390 29 1 5
10960 1 1 20 4 1 5
10961 1 1 335 7 1 5
10962 1 1 424 7 1 5
10963 1 1 1 3 1 3
10964 1 1 435 416 1 5
10965 1 1 207 37 1 5
10966 1 1 0 0 1 3
10967 1 1 41 15 1 5
10968 1 1 331 53 1 5
10969 1 1 0 9 1 3
10970 1 1 0 0 1 3
10971 1 1 433 70 1 5
10972 1 1 9 9 1 3
10973 1 1 298 23 1 5
10974 1 1 405 94 1 5
