Event FlagL3 FlagG5 TL3 TG5 TriggerFlag TT
11522 1 1 232 467 1 3
11526 1 1 234 237 1 3
11528 1 1 236 242 1 3
11530 1 1 233 236 1 3
11532 1 1 238 242 1 3
11536 1 1 238 239 1 3
11538 1 1 234 241 1 3
11540 1 1 236 237 1 3
11544 1 1 0 0 1 3
11546 1 1 233 236 1 3
11548 1 1 237 238 1 3
11550 1 1 237 242 1 3
11552 1 1 235 467 1 3
11554 1 1 233 235 1 3
11556 1 1 238 239 1 3
11558 1 1 238 238 1 3
11560 1 1 232 467 1 3
11562 1 1 235 237 1 3
11564 1 1 237 239 1 3
11566 1 1 232 238 1 3
11568 1 1 466 238 1 5
11570 1 1 235 239 1 3
11572 1 1 467 239 1 5
11574 1 1 234 241 1 3
11576 1 1 234 236 1 3
11578 1 1 236 237 1 3
11580 1 1 234 236 1 3
11582 1 1 238 243 1 3
11584 1 1 231 468 1 3
11586 1 1 235 239 1 3
11588 1 1 235 236 1 3
11590 1 1 235 238 1 3
11594 1 1 236 238 1 3
11602 1 1 235 236 1 3
11604 1 1 234 467 1 3
11606 1 1 237 238 1 3
11608 1 1 237 238 1 3
11610 1 1 232 239 1 3
11612 1 1 236 240 1 3
11614 1 1 232 236 1 3
11616 1 1 231 468 1 3
11618 1 1 235 238 1 3
11620 1 1 235 239 1 3
11622 1 1 234 237 1 3
11624 1 1 236 237 1 3
11626 1 1 238 240 1 3
11634 1 1 467 238 1 5
11636 1 1 237 237 1 3
11640 1 1 235 238 1 3
11642 1 1 235 238 1 3
11644 1 1 238 467 1 3
11646 1 1 238 238 1 3
11648 1 1 235 236 1 3
11650 1 1 237 239 1 3
11652 1 1 237 239 1 3
11654 1 1 237 241 1 3
11658 1 1 235 237 1 3
11664 1 1 236 238 1 3
11666 1 1 236 237 1 3
11668 1 1 237 239 1 3
11672 1 1 235 237 1 3
11682 1 1 235 236 1 3
11692 1 1 235 239 1 3
11706 1 1 237 238 1 3
11714 1 1 234 235 1 3
11722 1 1 238 240 1 3
11738 1 1 238 238 1 3
11748 1 1 232 236 1 3
11772 1 1 237 467 1 3
11776 1 1 239 240 1 3
11788 1 1 234 467 1 3
11818 1 1 237 238 1 3
11838 1 1 237 467 1 3
11874 1 1 235 468 1 3
11878 1 1 235 237 1 3
11880 1 1 236 239 1 3
11882 1 1 236 467 1 3
11888 1 1 237 239 1 3
11892 1 1 234 237 1 3
11902 1 1 235 237 1 3
11904 1 1 236 237 1 3
11906 1 1 237 239 1 3
11908 1 1 233 468 1 3
11914 1 1 237 238 1 3
11916 1 1 238 239 1 3
11918 1 1 237 239 1 3
11926 1 1 237 239 1 3
11930 1 1 237 237 1 3
11932 1 1 237 238 1 3
11938 1 1 232 235 1 3
11940 1 1 231 237 1 3
11942 1 1 235 236 1 3
11944 1 1 238 468 1 3
11946 1 1 235 236 1 3
11948 1 1 238 467 1 3
11950 1 1 236 237 1 3
11952 1 1 235 237 1 3
11954 1 1 235 467 1 3
11956 1 1 238 238 1 3
11958 1 1 239 240 1 3
11960 1 1 235 237 1 3
11962 1 1 232 234 1 3
11964 1 1 236 237 1 3
11966 1 1 238 239 1 3
11968 1 1 234 239 1 3
11970 1 1 235 468 1 3
11972 1 1 234 237 1 3
11974 1 1 236 239 1 3
11976 1 1 237 238 1 3
11980 1 1 236 238 1 3
11982 1 1 237 467 1 3
11984 1 1 237 467 1 3
11986 1 1 197 236 1 3
11988 1 1 236 237 1 3
11990 1 1 235 236 1 3
11992 1 1 233 236 1 3
11994 1 1 234 235 1 3
11996 1 1 237 467 1 3
11998 1 1 234 236 1 3
12000 1 1 238 467 1 3
12002 1 1 232 236 1 3
12004 1 1 236 240 1 3
12006 1 1 236 239 1 3
12008 1 1 236 238 1 3
12010 1 1 237 240 1 3
12012 1 1 234 237 1 3
12014 1 1 235 238 1 3
12016 1 1 235 237 1 3
12018 1 1 237 239 1 3
12020 1 1 233 237 1 3
12022 1 1 236 238 1 3
12024 1 1 235 467 1 3
12026 1 1 234 243 1 3
12028 1 1 236 238 1 3
12030 1 1 236 467 1 3
12034 1 1 227 237 1 3
12036 1 1 230 467 1 3
12038 1 1 236 239 1 3
12040 1 1 235 240 1 3
12044 1 1 237 467 1 3
12046 1 1 234 238 1 3
12048 1 1 238 467 1 3
12050 1 1 235 467 1 3
12054 1 1 237 237 1 3
12056 1 1 234 238 1 3
12058 1 1 237 238 1 3
12060 1 1 235 243 1 3
12062 1 1 232 467 1 3
12064 1 1 232 239 1 3
12066 1 1 234 235 1 3
12068 1 1 236 238 1 3
12070 1 1 231 468 1 3
12072 1 1 237 467 1 3
12074 1 1 234 238 1 3
12078 1 1 234 239 1 3
12080 1 1 237 467 1 3
12082 1 1 238 238 1 3
12084 1 1 238 467 1 3
12086 1 1 240 244 1 3
12088 1 1 236 239 1 3
12090 1 1 236 239 1 3
12092 1 1 233 236 1 3
12094 1 1 233 236 1 3
12096 1 1 237 238 1 3
12100 1 1 233 237 1 3
12102 1 1 238 239 1 3
12106 1 1 236 238 1 3
12116 1 1 235 467 1 3
12120 1 1 237 239 1 3
12126 1 1 467 238 1 5
12130 1 1 236 240 1 3
12166 1 1 234 237 1 3
12172 1 1 467 237 1 5
12174 1 1 233 235 1 3
12180 1 1 235 237 1 3
12198 1 1 236 468 1 3
12210 1 1 239 239 1 3
12218 1 1 236 468 1 3
12244 1 1 238 239 1 3
12270 1 1 237 239 1 3
12274 1 1 234 467 1 3
12278 1 1 236 237 1 3
12298 1 1 236 236 1 3
12306 1 1 235 467 1 3
12360 1 1 237 239 1 3
12380 1 1 235 236 1 3
12472 1 1 233 467 1 3
12498 1 1 238 239 1 3
12500 1 1 234 237 1 3
12524 1 1 235 237 1 3
12538 1 1 238 239 1 3
12540 1 1 237 239 1 3
12544 1 1 467 240 1 5
12594 1 1 236 237 1 3
12620 1 1 236 237 1 3
12650 1 1 235 467 1 3
12652 1 1 234 235 1 3
12664 1 1 235 239 1 3
12676 1 1 234 468 1 3
12678 1 1 239 240 1 3
12720 1 1 467 237 1 5
12724 1 1 236 237 1 3
12740 1 1 236 239 1 3
12754 1 1 235 236 1 3
12808 1 1 235 237 1 3
12818 1 1 235 467 1 3
12832 1 1 235 237 1 3
12860 1 1 237 238 1 3
12862 1 1 235 238 1 3
12876 1 1 236 237 1 3
12922 1 1 235 236 1 3
12986 1 1 237 239 1 3
13000 1 1 238 239 1 3
13008 1 1 236 237 1 3
13092 1 1 237 467 1 3
13098 1 1 237 238 1 3
13142 1 1 234 467 1 3
13190 1 1 236 238 1 3
13254 1 1 233 468 1 3
13300 1 1 237 238 1 3
13332 1 1 237 239 1 3
13342 1 1 236 239 1 3
13494 1 1 234 236 1 3
13678 1 1 237 237 1 3
13738 1 1 238 239 1 3
13764 1 1 235 237 1 3
13930 1 1 235 237 1 3
13948 1 1 236 468 1 3
13960 1 1 238 241 1 3
14078 1 1 233 237 1 3
14128 1 1 238 239 1 3
14164 1 1 235 238 1 3
14170 1 1 237 237 1 3
14202 1 1 235 236 1 3
14208 1 1 234 235 1 3
14230 1 1 235 237 1 3
14278 1 1 234 236 1 3
14292 1 1 235 236 1 3
14394 1 1 237 237 1 3
14422 1 1 236 238 1 3
14448 1 1 234 236 1 3
14450 1 1 238 239 1 3
14464 1 1 466 239 1 5
