Event Calibr
10910 0
10911 0
10912 0
10913 0
10914 0
10915 0
10916 2
10917 0
10918 1
10919 0
10920 0
10921 0
10922 0
10923 0
10924 0
10925 0
10926 0
10927 0
10928 1
10929 0
10930 2
10931 0
10932 0
10933 0
10934 0
10935 0
10936 0
10937 2
10938 0
10939 2
10940 0
10941 1
10942 0
10943 0
10944 0
10945 2
10946 0
10947 0
10948 0
10949 1
10950 0
10951 0
10952 0
10953 0
10954 2
10955 0
10956 2
10957 0
10958 2
10959 0
10960 0
10961 0
10962 0
10963 2
10964 0
10965 0
10966 0
10967 1
10968 0
10969 0
10970 0
10971 0
10972 2
10973 0
10974 0
10975 2
10976 0
10977 0
10978 0
10979 2
10980 0
10981 1
10982 0
10983 2
10984 0
10985 2
10986 0
10987 2
10988 0
10989 1
10990 0
10991 2
10992 0
10993 2
10994 0
10995 0
10996 0
10997 1
10998 0
10999 2
11000 0
11001 1
11002 0
11003 0
11004 0
11005 0
11006 0
11007 1
11008 0
11009 1
11010 0
11011 1
11012 0
11013 1
11014 0
11015 1
11016 0
11017 1
11018 0
11019 1
11020 0
11021 0
11022 0
11023 1
11024 0
11025 1
11026 0
11027 2
11028 0
11029 1
11030 0
11031 1
11032 0
11033 2
11034 0
11035 1
11036 0
11037 1
11038 0
11039 1
11040 0
11041 1
11042 0
11043 1
11044 0
11045 1
11046 0
11047 1
11048 0
11049 1
11050 0
11051 1
11052 0
11053 1
11054 0
11055 1
11056 0
11057 1
11058 0
11059 1
11060 0
11061 1
11062 0
11063 1
11064 0
11065 1
11066 0
11067 1
11068 0
11069 1
11070 0
11071 1
11072 0
11073 1
11074 0
11075 1
11076 0
11077 1
11078 0
11079 1
11080 0
11081 1
11082 0
11083 1
11084 0
11085 1
11086 0
11087 1
11088 0
11089 1
11090 0
11091 1
11092 0
11093 1
11094 0
11095 1
11096 0
11097 1
11098 0
11099 1
11100 0
11101 1
11102 0
11103 1
11104 0
11105 1
11106 0
11107 1
11108 0
11109 1
11110 0
11111 1
11112 0
11113 1
11114 0
11115 1
11116 0
11117 1
11118 0
11119 1
11120 0
11121 1
11122 0
11123 1
11124 0
11125 1
11126 0
11127 1
11128 0
11129 1
11130 0
11131 1
11132 0
11133 1
11134 0
11135 1
11136 0
11137 1
11138 0
11139 1
11140 0
11141 1
11142 0
11143 1
11144 0
11145 1
11146 0
11147 1
11148 0
11149 1
11150 0
11151 1
11152 0
11153 1
11154 0
11155 1
11156 0
11157 1
11158 0
