EID,Data,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
1861,2012-03-13,17:34:44,L,3,15,510,240,511,240
1862,2012-03-13,17:34:45,L,3,15,510,241,510,241
1863,2012-03-13,17:34:46,L,3,12,510,238,510,238
1864,2012-03-13,17:34:47,L,3,9,510,238,510,238
1865,2012-03-13,17:34:48,L,2,14,510,238,511,238
1866,2012-03-13,17:35:00,E,7,51,510,239,510,239
1867,2012-03-13,17:35:09,E,4,13,510,510,510,510
1868,2012-03-13,17:35:09,E,4,56,510,239,510,239
1869,2012-03-13,17:35:13,L,3,24,510,242,510,242
1870,2012-03-13,17:35:18,E,4,18,510,242,510,242
1871,2012-03-13,17:35:19,E,4,22,510,238,510,238
1872,2012-03-13,17:35:23,L,2,12,510,239,511,239
1873,2012-03-13,17:35:27,E,4,39,510,242,511,242
1874,2012-03-13,17:35:31,E,4,21,510,240,510,240
1875,2012-03-13,17:35:33,E,5,37,510,239,510,239
1876,2012-03-13,17:35:35,E,8,29,510,240,510,240
1877,2012-03-13,17:35:36,E,5,24,510,241,511,241
1878,2012-03-13,17:35:37,L,2,7,510,240,510,240
1879,2012-03-13,17:35:37,L,3,10,510,238,510,238
1880,2012-03-13,17:35:39,E,4,18,510,242,510,242
1881,2012-03-13,17:35:42,L,1,0,510,239,510,239
1882,2012-03-13,17:35:44,L,3,18,510,241,510,241
1883,2012-03-13,17:35:45,L,1,0,510,240,510,240
1884,2012-03-13,17:35:48,L,3,15,510,240,510,240
1885,2012-03-13,17:35:48,L,2,11,510,239,510,239
1886,2012-03-13,17:35:48,E,4,35,510,239,510,239
1887,2012-03-13,17:35:52,L,3,26,510,239,510,239
1888,2012-03-13,17:35:56,E,5,17,510,241,510,241
1889,2012-03-13,17:35:57,E,4,10,510,238,511,238
1890,2012-03-13,17:36:01,L,3,11,510,239,511,239
1891,2012-03-13,17:36:02,L,2,5,510,241,510,241
1892,2012-03-13,17:36:03,L,3,15,510,238,510,238
1893,2012-03-13,17:36:04,L,3,18,510,239,510,239
1894,2012-03-13,17:36:04,E,4,17,510,241,511,241
1895,2012-03-13,17:36:05,E,5,18,510,241,511,241
1896,2012-03-13,17:36:06,L,3,17,510,241,510,241
1897,2012-03-13,17:36:07,E,13,590,241,241,241,241
1898,2012-03-13,17:36:07,E,6,44,510,242,510,242
1899,2012-03-13,17:36:08,L,3,26,510,241,511,241
1900,2012-03-13,17:36:09,E,6,58,510,240,511,240
1901,2012-03-13,17:36:12,L,3,10,510,239,510,239
1902,2012-03-13,17:36:17,L,2,14,510,241,510,241
1903,2012-03-13,17:36:18,L,1,0,510,239,510,239
1904,2012-03-13,17:36:21,E,5,24,510,242,510,242
1905,2012-03-13,17:36:22,E,4,12,510,239,510,239
1906,2012-03-13,17:36:24,L,2,11,510,241,511,241
1907,2012-03-13,17:36:24,L,3,26,510,241,510,241
1908,2012-03-13,17:36:25,L,3,13,510,239,510,239
1909,2012-03-13,17:36:26,E,4,37,510,240,510,240
1910,2012-03-13,17:36:28,L,2,12,510,242,510,242
1911,2012-03-13,17:36:36,L,3,15,510,240,510,240
1912,2012-03-13,17:36:37,E,6,52,510,241,510,241
1913,2012-03-13,17:36:39,E,24,712,240,239,240,239
1914,2012-03-13,17:36:43,E,6,32,510,241,511,241
1915,2012-03-13,17:36:45,L,3,16,510,241,511,241
1916,2012-03-13,17:36:47,E,4,18,510,239,511,239
1917,2012-03-13,17:36:48,L,3,16,510,238,510,238
1918,2012-03-13,17:36:49,L,3,23,510,240,510,240
1919,2012-03-13,17:36:51,L,3,18,510,240,510,240
1920,2012-03-13,17:36:56,E,5,29,510,238,510,238
1921,2012-03-13,17:36:58,L,2,7,510,240,510,240
1922,2012-03-13,17:37:00,L,3,11,510,240,510,240
1923,2012-03-13,17:37:01,L,3,15,510,241,510,241
1924,2012-03-13,17:37:02,E,4,14,510,240,510,240
1925,2012-03-13,17:37:05,E,5,28,510,241,510,241
1926,2012-03-13,17:37:06,E,4,45,510,239,510,239
1927,2012-03-13,17:37:08,L,3,10,510,240,510,240
1928,2012-03-13,17:37:11,E,4,22,510,242,510,242
1929,2012-03-13,17:37:12,E,4,15,510,240,510,240
1930,2012-03-13,17:37:14,L,2,14,510,240,510,240
1931,2012-03-13,17:37:16,E,4,18,510,238,511,238
