EID,Date,Time,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER
10776,2013-03-09,20:51:18,C,0,6600672,242,242,243,242
10777,2013-03-09,20:51:28,D,468,240571,250,237,239,237
10778,2013-03-09,20:51:28,C,0,6510543,242,242,242,242
10779,2013-03-09,20:55:27,E,26,2337,243,241,245,241
10780,2013-03-09,20:55:27,C,0,6609548,242,242,243,242
10781,2013-03-09,21:00:41,E,13,574,243,240,240,240
10782,2013-03-09,21:00:41,C,0,6600607,242,242,243,242
10783,2013-03-09,21:03:39,L,5,3835,240,240,240,240
10784,2013-03-09,21:03:39,C,0,6609281,242,242,243,242
10785,2013-03-09,21:04:06,D,528,245472,251,248,250,248
10786,2013-03-09,21:04:06,C,0,6289882,13,13,13,13
10787,2013-03-09,21:07:29,E,20,737,244,242,244,242
10788,2013-03-09,21:07:29,C,0,6615963,242,242,243,242
10789,2013-03-09,21:09:08,E,6,200,472,237,240,237
10790,2013-03-09,21:09:08,C,0,6608296,242,243,243,242
10791,2013-03-09,21:12:49,E,21,800,243,240,240,240
10792,2013-03-09,21:12:49,C,0,6614755,242,242,243,242
10793,2013-03-09,21:19:02,E,7,1650,243,242,472,242
10794,2013-03-09,21:19:02,C,0,6603454,242,242,243,242
10795,2013-03-09,21:22:27,E,5,753,243,242,243,242
10796,2013-03-09,21:22:27,C,0,6604495,242,242,242,242
10797,2013-03-09,21:29:27,L,5,4697,242,242,242,242
10798,2013-03-09,21:29:27,C,0,6582842,242,242,242,242
10799,2013-03-09,21:30:06,L,4,1995,240,240,472,240
10800,2013-03-09,21:30:07,C,0,6586247,242,242,243,242
10801,2013-03-09,21:30:11,E,49,2245,243,242,242,242
10802,2013-03-09,21:30:11,C,0,6595620,242,242,243,242
10803,2013-03-09,21:31:16,E,23,4090,240,239,240,239
10804,2013-03-09,21:31:16,C,0,6595283,242,242,243,242
10805,2013-03-09,21:31:57,E,6,505,472,241,242,241
10806,2013-03-09,21:31:57,C,0,6585921,242,242,242,242
10807,2013-03-09,21:33:14,L,4,1542,240,240,240,240
10808,2013-03-09,21:33:14,C,0,6572604,242,242,242,242
10809,2013-03-09,21:35:25,L,6,2947,243,243,243,243
10810,2013-03-09,21:35:25,C,0,6564721,242,242,243,242
10811,2013-03-09,21:37:08,L,4,1426,242,242,472,242
10812,2013-03-09,21:37:08,C,0,6545455,242,242,243,242
10813,2013-03-09,21:42:04,L,4,1926,241,242,472,241
10814,2013-03-09,21:42:04,C,0,6541832,242,242,243,242
10815,2013-03-09,21:42:39,E,14,262,472,241,242,241
10816,2013-03-09,21:42:39,C,0,6544726,242,242,243,242
10817,2013-03-09,21:46:03,L,4,1320,241,241,241,241
10818,2013-03-09,21:46:03,C,0,6535284,242,242,243,242
10819,2013-03-09,21:47:44,E,27,1955,240,238,240,238
10820,2013-03-09,21:47:44,C,0,6535379,243,242,243,242
10821,2013-03-09,21:48:20,E,20,912,241,241,243,241
10822,2013-03-09,21:48:20,C,0,6538570,243,243,243,243
10823,2013-03-09,21:52:19,E,23,552,242,238,239,238
10824,2013-03-09,21:52:19,C,0,6523242,242,242,243,242
10825,2013-03-09,21:52:23,E,9,146,241,227,472,227
10826,2013-03-09,21:52:24,C,0,6535054,242,242,243,242
10827,2013-03-09,21:52:27,L,5,2396,243,243,472,243
10828,2013-03-09,21:52:27,C,0,6540760,242,242,242,242
10829,2013-03-09,21:54:57,E,20,305,243,238,239,238
10830,2013-03-09,21:54:57,C,0,6532829,242,242,242,242
10831,2013-03-09,21:55:56,E,7,74,472,243,472,243
10832,2013-03-09,21:55:56,C,0,6530138,242,242,242,242
10833,2013-03-09,21:56:00,E,8,85,246,242,472,242
10834,2013-03-09,21:56:00,C,0,6529520,242,242,242,242
10835,2013-03-09,21:56:02,E,12,142,42,132,472,42
10836,2013-03-09,21:56:03,C,0,6519724,102,101,242,101
10837,2013-03-09,21:56:03,E,9,122,87,243,472,87
10838,2013-03-09,21:56:04,C,0,6537828,159,41,242,41
10839,2013-03-09,21:56:05,E,15,186,111,87,472,87
10840,2013-03-09,21:56:06,C,0,6536295,115,237,242,115
10841,2013-03-09,21:56:07,E,17,248,24,38,472,24
10842,2013-03-09,21:56:08,C,0,6535377,38,101,242,38
10843,2013-03-09,21:56:08,E,9,111,182,77,472,77
10844,2013-03-09,21:56:09,C,0,5914874,40,40,350,40
10845,2013-03-09,21:56:10,E,11,145,94,133,472,94
10846,2013-03-09,21:56:10,C,0,6537491,62,95,242,62
10847,2013-03-09,21:56:11,E,7,133,237,44,472,44
10848,2013-03-09,21:56:12,C,0,6553675,117,67,242,67
10849,2013-03-09,21:56:13,E,10,186,46,46,472,46
10850,2013-03-09,21:56:14,C,0,6546047,26,43,242,26
10851,2013-03-09,21:56:14,E,7,121,241,143,472,143
10852,2013-03-09,21:56:15,C,0,6554526,242,239,242,239
10853,2013-03-09,21:56:16,E,9,115,64,80,472,64
10854,2013-03-09,21:56:16,C,0,6551288,54,60,242,54
10855,2013-03-09,21:56:17,E,32,445,51,51,472,51
10856,2013-03-09,21:56:18,C,0,6549550,27,62,242,27
10857,2013-03-09,21:56:18,E,17,264,56,44,472,44
10858,2013-03-09,21:56:19,C,0,6090471,73,49,294,49
10859,2013-03-09,21:56:20,E,9,127,234,49,472,49
10860,2013-03-09,21:56:20,C,0,6558650,44,55,243,44
10861,2013-03-09,21:56:21,E,6,57,239,227,472,227
10862,2013-03-09,21:56:21,C,0,5783791,118,116,254,116
10863,2013-03-09,21:56:21,E,8,68,472,242,472,242
10864,2013-03-09,21:56:22,C,0,6572621,242,242,243,242
10865,2013-03-09,21:56:23,E,26,411,87,87,472,87
10866,2013-03-09,21:56:23,C,0,4523296,26,50,104,26
10867,2013-03-09,21:56:24,E,24,275,141,155,472,141
10868,2013-03-09,21:56:25,C,0,3151470,98,62,466,62
10869,2013-03-09,21:56:26,E,11,110,472,144,472,144
10870,2013-03-09,21:56:26,C,0,5741085,238,52,366,52
10871,2013-03-09,21:56:27,E,30,414,88,129,472,88
10872,2013-03-09,21:56:27,C,0,6470447,22,21,69,21
10873,2013-03-09,21:56:28,E,6,128,100,92,472,92
10874,2013-03-09,21:56:29,C,0,6576534,31,17,242,17
10875,2013-03-09,21:56:29,E,13,173,55,38,472,38
10876,2013-03-09,21:56:29,C,0,6598529,48,53,242,48
10877,2013-03-09,21:56:31,E,19,308,76,42,336,42
10878,2013-03-09,21:56:31,C,0,6206233,23,22,113,22
10879,2013-03-09,21:56:32,E,27,375,43,45,472,43
10880,2013-03-09,21:56:32,C,0,6540736,30,68,255,30
10881,2013-03-09,21:56:33,E,14,137,212,59,472,59
10882,2013-03-09,21:56:33,C,0,5942800,43,32,133,32
10883,2013-03-09,21:56:34,E,9,140,90,192,472,90
10884,2013-03-09,21:56:34,C,0,5489305,32,94,406,32
10885,2013-03-09,21:56:35,E,10,125,216,212,472,212
10886,2013-03-09,21:56:36,C,0,6567572,26,15,227,15
10887,2013-03-09,21:56:36,E,26,435,247,186,472,186
10888,2013-03-09,21:56:36,C,0,4871526,29,31,266,29
10889,2013-03-09,21:56:38,E,7,138,235,235,472,235
10890,2013-03-09,21:56:38,C,0,6014604,34,54,346,34
10891,2013-03-09,21:56:39,E,50,772,30,29,431,29
10892,2013-03-09,21:56:40,C,0,6063746,28,16,64,16
10893,2013-03-09,21:56:40,E,24,391,42,56,472,42
10894,2013-03-09,21:56:40,E,26,409,60,116,472,60
10895,2013-03-09,21:56:41,C,0,6018647,21,36,178,21
10896,2013-03-09,21:56:41,E,35,491,92,170,472,92
10897,2013-03-09,21:56:43,E,7,37,400,243,472,243
10898,2013-03-09,21:56:43,C,0,5481984,65,40,339,40
