EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,UTC,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10727,D,152,5834,251,239,299,239,213,602.8,2013-03-09 19:40:31,0.0,0.1862376,0.04872587,198.297,99.415,1064.753,2040.2920000000001,7.0,0.9424778,2.222049,1.680336,16.0,17.0,0.711727196782048,3.8221495989811625
10731,E,8,187,240,230,472,230,237,602.1,2013-03-09 19:44:32,1.0,6.682600999999999,0.45761419999999997,169.15,50.484,25.312,110.32,8.0,0.26703540000000003,0.8164965999999999,1.5811389999999999,9.0,2.0,8.714213261880086,14.603132824699388
10733,E,6,221,472,240,472,240,37,602.2,2013-03-09 19:45:09,0.0,11.97747,5.671251,156.306,131.125,13.05,23.121,0.0,1.162389,2.898275,1.0,5.0,1.0,1.7251641062356058,2.1119627310081848
10735,E,15,271,246,241,242,241,46,603.7,2013-03-09 19:45:55,1.0,15.213320000000001,0.5870359,269.58,87.348,17.72,148.795,11.0,0.5497787,1.322876,1.5,20.0,4.0,5.66946561884863,25.915483973656244
10737,E,13,623,242,240,241,240,517,599.4,2013-03-09 19:54:32,1.0,1000.0,1.719479,397.392,231.055,0.0,134.375,14.0,0.4869469,1.130388,2.12132,18.0,8.0,4.222417435429251,1000.0
10739,E,21,835,243,242,243,242,9,599.7,2013-03-09 19:54:42,1.0,14.772260000000001,1.726631,373.103,243.006,25.257,140.74,22.0,0.2827433,0.6741999,2.236068,22.0,11.0,6.633249278144361,8.555541982503305
10741,E,7,592,240,240,240,240,352,602.0,2013-03-09 20:00:34,1.0,8.001516,6.833428,343.105,312.479,42.88,45.728,17.0,0.1570796,0.6882472,1.290994,19.0,18.0,1.9799802874445243,1.1709373019120617
10743,E,38,17221,241,239,241,239,48,602.2,2013-03-09 20:01:22,1.0,77.9061,0.7878090999999999,8919.235999999999,3771.158,114.487,4786.893,74.0,0.7696901999999999,1.7025669999999997,2.144761,79.0,10.0,9.951803306419073,98.88956615338947
10745,E,20,1029,244,242,242,242,38,602.5,2013-03-09 20:02:00,1.0,11.21671,0.507392,477.417,160.002,42.563,315.342,19.0,0.2984513,1.618347,0.7745966999999999,21.0,5.0,2.010264881388231,22.106605174554172
10747,E,15,279,244,237,243,237,5,602.5,2013-03-09 20:02:05,1.0,5.691371,0.1310701,202.425,20.154,35.567,153.765,11.0,0.43982299999999996,1.0,2.0,14.0,1.0,28.0,43.42233278047002
10749,E,39,1795,242,238,242,238,269,601.2,2013-03-09 20:06:35,1.0,54.461969999999994,0.3700035,1094.032,291.935,20.088,789.006,32.0,0.6440265000000001,1.4234870000000002,1.9272479999999999,38.0,7.0,7.3497007198319535,147.19310464991767
10751,E,23,899,241,237,241,237,312,601.2,2013-03-09 20:11:47,1.0,47.06785,0.8958208000000001,543.21,232.444,11.541,259.476,18.0,0.1570796,0.8528029,2.13809,22.0,7.0,7.879559777026354,52.54158493419036
10753,E,24,1850,242,241,242,241,138,601.1,2013-03-09 20:14:05,1.0,49.10067,0.7640898,833.042,349.62,16.966,457.564,24.0,0.09424778,0.8819171,2.035401,27.0,7.0,8.902007261874646,64.26033937400369
10755,E,20,475,243,238,472,238,186,599.4,2013-03-09 20:17:11,1.0,30.090590000000002,1.020062,340.475,150.604,11.315,147.642,19.0,0.37699109999999997,0.7801895000000001,2.0,23.0,9.0,6.551114967724008,29.498781914692415
10757,E,20,313,244,244,472,244,35,600.0,2013-03-09 20:17:46,1.0,24.65256,0.05344059,342.498,17.345,13.893,324.566,26.0,0.7696901999999999,1.520691,1.0,32.0,1.0,21.043065290713233,461.30772057086546
10759,E,23,828,240,239,239,239,300,603.4,2013-03-09 20:22:47,1.0,18.84704,0.9961696,539.063,260.587,28.602,261.589,17.0,0.3612832,1.195229,2.5690470000000003,21.0,5.0,9.027556560290957,18.919508641209397
10761,E,29,635,242,238,242,238,274,610.2,2013-03-09 20:27:21,1.0,10.11604,0.6918966,485.155,204.178,47.959,295.099,22.0,0.42411499999999996,1.4,2.215647,25.0,11.0,3.5968295454545465,14.62073430503922
10763,E,14,369,472,238,240,238,147,608.6,2013-03-09 20:29:48,1.0,13.754129999999998,1.302095,177.552,88.825,12.909,68.217,8.0,0.01570796,0.8164965999999999,1.5811389999999999,9.0,2.0,8.714213261880086,10.563075115189076
10765,E,13,486,243,239,241,239,32,609.8,2013-03-09 20:30:20,1.0,4.85803,1.2888600000000001,175.302,98.032,36.085,76.061,8.0,0.3298672,0.7745966999999999,2.44949,10.0,4.0,7.905694666656856,3.7692446688504706
10767,E,14,1601,240,239,239,239,487,611.1,2013-03-09 20:38:27,1.0,32.513529999999996,1.4737559999999998,959.962,571.309,29.525,387.655,29.0,0.42411499999999996,0.9682458,2.017778,32.0,14.0,4.763319396789534,22.061673846149848
10769,E,31,1407,240,238,239,238,233,605.0,2013-03-09 20:42:21,1.0,24.76004,0.4691329000000001,880.566,261.193,35.564,556.757,34.0,0.6440265000000001,1.3525040000000002,2.0,41.0,9.0,6.736476277416636,52.778308036197984
10771,E,14,963,242,241,241,241,286,609.6,2013-03-09 20:47:07,1.0,10.017339999999999,1.1969299999999998,540.105,316.698,53.917,264.592,22.0,0.3298672,0.8416254000000001,1.914854,24.0,12.0,4.550371222161308,8.369198460501199
10773,E,16,273,472,238,241,238,227,602.3,2013-03-09 20:50:54,1.0,22.76952,0.4236397,159.546,11.609,7.007,27.403,7.0,0.4869469,1.224745,2.0,10.0,0.0,10.0,53.747355704728676
10779,E,26,2337,243,241,245,241,239,602.3,2013-03-09 20:55:27,1.0,33.495979999999996,0.6963285,1092.036,421.652,32.602,605.536,25.0,0.1570796,0.6831301,1.309307,30.0,7.0,8.21412453394414,48.103703671364094
10781,E,13,574,243,240,240,240,314,602.8,2013-03-09 21:00:41,1.0,8.822285,1.606085,266.98,179.647,30.262,111.854,14.0,0.37699109999999997,1.48324,1.06066,15.0,8.0,1.3408062754510397,5.493038616107113
10787,E,20,737,244,242,244,242,203,605.4,2013-03-09 21:07:29,1.0,1000.0,0.391083,503.219,126.917,0.0,324.527,18.0,0.3612832,0.8897565000000001,1.658312,24.0,4.0,11.182690994671013,1000.0
10789,E,6,200,472,237,240,237,99,603.0,2013-03-09 21:09:08,1.0,17.00796,0.3565009,171.032,35.777,10.056,100.356,6.0,0.1884956,0.7071068,1.4142139999999999,8.0,1.0,16.000004525483277,47.70803524857606
10791,E,21,800,243,240,240,240,221,603.6,2013-03-09 21:12:49,1.0,1000.0,0.6827187,313.586,112.553,0.0,164.86,14.0,0.5497787,1.137593,1.870829,17.0,4.0,6.989339113373587,1000.0
10793,E,7,1650,243,242,472,242,373,596.6,2013-03-09 21:19:02,0.0,0.7272833000000001,32.361959999999996,299.144,688.08,411.317,21.262,18.0,0.03141593,1.204159,1.0350979999999999,20.0,42.0,0.4093344894850343,0.022473401776686983
10801,E,49,2245,243,242,242,242,4,583.8,2013-03-09 21:30:11,1.0,71.09980999999999,0.3144446,982.315,222.706,13.816,708.252,31.0,0.4869469,1.4795909999999999,1.603567,37.0,7.0,5.728608108592172,226.11238096750807
10803,E,23,4090,240,239,240,239,65,581.1,2013-03-09 21:31:16,1.0,196.4269,0.8340673000000001,1924.394,828.399,9.797,993.204,44.0,0.1570796,0.7071068,1.7320509999999998,48.0,15.0,7.838367839200527,235.5048091438006
10805,E,6,505,472,241,242,241,41,584.1,2013-03-09 21:31:57,1.0,22.16701,20.8275,217.813,217.21,9.826,10.429,18.0,0.2042035,0.591608,1.5,20.0,20.0,2.5354626712282458,1.0643142790816829
10809,L,6,2947,243,243,243,243,131,581.5,2013-03-09 21:35:25,0.0,1.919129,197.891,972.63,1456.6760000000002,506.808,7.361,31.0,0.2513274,1.9924099999999998,1.17727,33.0,57.0,0.342086904011249,0.009697907827359709
10815,E,14,262,472,241,242,241,35,589.0,2013-03-09 21:42:39,1.0,4.8473440000000005,1.3681860000000001,140.35,81.927,28.954,59.88,7.0,0.01570796,0.7559289,1.8257419999999998,7.0,3.0,5.635536181599442,3.542897487912764
10819,E,27,1955,240,238,240,238,101,586.0,2013-03-09 21:47:44,1.0,33.91045,0.6619343000000001,824.024,306.978,24.3,463.759,30.0,0.2984513,0.9045340000000001,2.185813,33.0,9.0,8.86052670951746,51.22933116398443
10821,E,20,912,241,241,243,241,36,585.9,2013-03-09 21:48:20,1.0,124.1987,1.3899110000000001,511.202,289.538,4.116,208.314,29.0,0.43982299999999996,0.75,2.09165,32.0,16.0,5.577733333333334,89.3573058593577
10823,E,23,552,242,238,239,238,239,586.7,2013-03-09 21:52:19,1.0,13.303429999999999,0.46317470000000005,334.967,113.859,25.179,245.823,19.0,0.5340708000000001,1.2149860000000001,1.963961,21.0,7.0,4.849342296948278,28.722265682553118
10825,E,9,146,241,227,472,227,4,586.6,2013-03-09 21:52:23,1.0,9.575385,1000.0,156.615,16.33,16.356,0.0,5.0,0.8639379999999999,2.209605,1.914854,17.0,3.0,4.9107597662629,0.0
10829,E,20,305,243,238,239,238,150,586.1,2013-03-09 21:54:57,1.0,12.94675,1.585475,173.603,110.793,13.409,69.88,8.0,0.17278759999999999,0.8944271999999999,2.160247,10.0,3.0,8.050765152639963,8.165850211061944
10831,E,7,74,472,243,472,243,59,587.5,2013-03-09 21:55:56,0.0,0.9511554,0.05692202,36.551,3.233,38.428,56.797,1.0,0.5183628,1.612452,0.0,5.0,0.0,10.0,16.70979699370539
10833,E,8,85,246,242,472,242,4,587.6,2013-03-09 21:56:00,0.0,0.8144745,0.04671171,43.699,3.339,53.653,71.481,1.0,0.7696901999999999,2.360387,1.0,7.0,0.0,10.0,17.4361938515122
10861,E,6,57,239,227,472,227,1,588.8,2013-03-09 21:56:21,0.0,0.8373427,0.05443496,32.998,3.117,39.408,57.261,1.0,1.099557,3.291403,3.0,6.0,0.0,10.0,15.382444246064075
10863,E,8,68,472,242,472,242,0,588.8,2013-03-09 21:56:21,0.0,2.18317,0.8978978999999999,72.8,17.94,33.346,19.98,1.0,1.2095129999999998,2.0310099999999998,1.0,8.0,2.0,1.9694634689144812,2.4314238850106524
10889,E,7,138,235,235,472,235,2,588.5,2013-03-09 21:56:38,0.0,1.648522,0.9762331,40.613,26.165,24.636,26.802,1.0,0.8011060999999999,2.144761,2.345208,5.0,2.0,2.733647245543909,1.6886565911616571
10897,E,7,37,400,243,472,243,2,588.6,2013-03-09 21:56:43,0.0,2.244626,0.47234380000000004,45.108,16.191,20.096,34.278,1.0,0.7853982,2.7255409999999998,1.0,7.0,1.0,2.5682974499374622,4.752101972787429
10929,E,11,162,418,234,472,234,1,588.2,2013-03-09 21:57:01,0.0,0.8720732,0.18673720000000002,39.293,12.469,45.057,66.773,1.0,1.303761,2.483277,2.236068,6.0,2.0,2.7013514803221708,4.670056986460363
10996,E,19,255,239,242,472,239,0,586.2,2013-03-09 21:57:36,0.0,0.6182505,0.06677452,53.368,3.013,86.321,45.122,1.0,1.036726,2.360387,2.0,7.0,0.0,10.0,9.258778069597994
11014,E,35,2625,243,243,244,243,0,585.8,2013-03-09 21:57:47,1.0,84.7532,0.5351561,1456.399,475.567,17.184,888.651,34.0,0.3141593,1.078036,1.968502,37.0,8.0,8.445285454289097,158.37098981299215
11028,E,9,123,241,252,472,241,1,586.6,2013-03-09 21:57:55,0.0,0.8115475999999999,0.8921585999999999,52.779,35.077,65.035,39.317,1.0,0.2984513,1.0,2.160247,4.0,3.0,2.880329333333333,0.9096450123427677
11044,E,22,738,243,241,243,241,51,590.7,2013-03-09 21:59:00,1.0,5.487097,0.2823332,365.501,86.32,66.611,305.738,15.0,0.34557519999999997,1.2833780000000001,1.341641,17.0,5.0,3.5543537445709683,19.43482366476193
11046,E,32,1284,240,237,239,237,48,589.8,2013-03-09 21:59:48,1.0,61.13224,0.6026488,640.238,214.819,10.473,356.458,21.0,0.2356194,0.8075729,1.9364919999999999,23.0,4.0,13.788017156098228,101.43924757145469
