EID,UTC,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10711,2013-03-09  19:25:43,E,18,1501,240,239,239,239,30,604.8,1.0,55.33753000000001,0.9740509,786.457,371.954,14.212,381.863,24.0,0.14137170000000002,0.6928203000000001,1.870829,25.0,14.0,4.821980636867267,56.81174514476103
10712,2013-03-09  19:25:43,C,0,6555157,242,242,243,242,0,604.8,,,,,,,,,,,,,,,
10713,2013-03-09  19:28:16,E,15,558,238,235,238,235,153,602.7,1.0,7.261492,1.452936,288.775,169.687,39.768,116.789,16.0,0.6126106,1.433721,2.2110830000000004,18.0,9.0,3.084397870994427,4.99780388890297
10714,2013-03-09  19:28:17,C,0,6536679,242,242,243,242,1,602.7,,,,,,,,,,,,,,,
10715,2013-03-09  19:29:47,E,8,537,242,241,242,241,90,604.1,1.0,19.19594,56.42683,190.155,175.431,9.906,3.109,11.0,0.2356194,0.5547002,1.595448,13.0,11.0,3.3991865417489566,0.3401917746708935
10716,2013-03-09  19:29:48,C,0,6545193,242,242,243,242,1,604.1,,,,,,,,,,,,,,,
10717,2013-03-09  19:30:18,E,13,1484,242,242,242,242,30,604.7,1.0,65.8701,1.18777,683.534,354.383,10.377,298.36,19.0,0.1099557,0.8164965999999999,2.0701970000000003,21.0,7.0,7.606389297885627,55.456955439646585
10718,2013-03-09  19:30:18,C,0,6538771,242,242,243,242,0,604.7,,,,,,,,,,,,,,,
10719,2013-03-09  19:30:47,E,27,1401,241,239,241,239,29,605.9,1.0,47.815220000000004,0.810437,645.362,274.354,13.497,338.526,22.0,0.1884956,0.8416254000000001,1.949359,24.0,5.0,11.11768157187271,58.99930219801605
10720,2013-03-09  19:30:48,C,0,6540163,242,242,243,242,1,605.9,,,,,,,,,,,,,,,
10721,2013-03-09  19:33:28,E,10,350,470,237,238,237,160,603.1,1.0,6.253946,4.475028,174.754,152.858,27.943,34.158,7.0,0.1884956,0.7071068,2.171241,10.0,7.0,4.386569125262064,1.3975210422825737
10722,2013-03-09  19:33:28,C,0,6519230,242,242,243,242,0,603.1,,,,,,,,,,,,,,,
10723,2013-03-09  19:35:01,E,82,4314,242,239,240,239,93,602.6,1.0,25.03204,0.1969625,1963.4879999999998,286.247,78.439,1453.307,56.0,0.8011060999999999,2.051072,2.0,58.0,5.0,11.31115826260609,127.09036432958197
10724,2013-03-09  19:35:02,C,0,6518893,242,242,243,242,1,602.6,,,,,,,,,,,,,,,
10725,2013-03-09  19:36:57,D,203,52181,240,240,241,240,115,601.7,0.0,0.04004233,0.01085227,880.243,372.439,21982.81,34319.0,78.0,1.225221,2.710291,1.458962,81.0,70.0,0.6228952747667529,3.6897661869129244
10726,2013-03-09  19:36:58,C,0,6415193,242,242,243,242,1,601.7,,,,,,,,,,,,,,,
10727,2013-03-09  19:40:31,D,106,5088,241,239,281,239,213,602.8,0.0,0.1862376,0.04872587,198.297,99.415,1064.753,2040.2920000000001,7.0,0.9424778,2.222049,1.680336,16.0,17.0,0.711727196782048,3.8221495989811625
10728,2013-03-09  19:40:31,C,0,6181868,242,48,243,48,0,602.8,,,,,,,,,,,,,,,
