Day	Sunrise	Sunset	Moonrise	Moonset
1/2/2018	08:43	17:49	18:51	09:07
2/2/2018	08:41	17:50	20:12	09:41
3/2/2018	08:40	17:52	21:30	10:10
4/2/2018	08:38	17:54	22:46	10:35
5/2/2018	08:36	17:56	23:59	10:57
6/2/2018	08:35	17:58	None	11:20
7/2/2018	08:33	18:00	01:09	11:44
8/2/2018	08:31	18:02	02:17	12:10
9/2/2018	08:29	18:04	03:20	12:40
10/2/2018	08:27	18:06	04:22	13:14
11/2/2018	08:26	18:07	05:19	13:53
12/2/2018	08:24	18:09	06:10	14:40
13/2/2018	08:22	18:11	06:55	15:33
14/2/2018	08:20	18:13	07:34	16:31
15/2/2018	08:18	18:15	08:07	17:35
16/2/2018	08:16	18:17	08:35	18:41
17/2/2018	08:14	18:19	09:00	19:49
18/2/2018	08:12	18:21	09:24	20:59
19/2/2018	08:10	18:22	09:47	22:09
20/2/2018	08:08	18:24	10:09	23:22
21/2/2018	08:06	18:26	10:32	None
22/2/2018	08:04	18:28	10:58	00:35
23/2/2018	08:01	18:30	11:30	01:50
24/2/2018	07:59	18:32	12:09	03:03
25/2/2018	07:57	18:34	12:58	04:14
26/2/2018	07:55	18:35	13:56	05:18
27/2/2018	07:53	18:37	15:06	06:13
28/2/2018	07:51	18:39	16:22	06:59
1/3/2018	07:48	18:41	17:42	07:36
2/3/2018	07:46	18:43	19:01	08:07
3/3/2018	07:44	18:45	20:20	08:33
4/3/2018	07:42	18:46	21:35	08:57
5/3/2018	07:39	18:48	22:49	09:21
6/3/2018	07:37	18:50	23:59	09:45
7/3/2018	07:35	18:52	None	10:11
8/3/2018	07:33	18:54	01:06	10:38
9/3/2018	07:30	18:55	02:11	11:10
10/3/2018	07:28	18:57	03:10	11:48
11/3/2018	07:26	18:59	04:04	12:33
12/3/2018	07:23	19:01	04:52	13:23
13/3/2018	07:21	19:02	05:32	14:20
14/3/2018	07:19	19:04	06:07	15:23
15/3/2018	07:16	19:06	06:37	16:27
16/3/2018	07:14	19:08	07:04	17:36
17/3/2018	07:12	19:10	07:28	18:46
18/3/2018	07:09	19:11	07:51	19:58
19/3/2018	07:07	19:13	08:12	21:11
20/3/2018	07:05	19:15	08:36	22:25
21/3/2018	07:02	19:17	09:02	23:41
22/3/2018	07:00	19:18	09:32	None
23/3/2018	06:58	19:20	10:09	00:55
24/3/2018	06:55	19:22	10:52	02:07
25/3/2018	06:53	19:23	11:47	03:11
26/3/2018	06:51	19:25	12:52	04:09
27/3/2018	06:48	19:27	14:02	04:56
28/3/2018	06:46	19:29	15:20	05:34
29/3/2018	06:44	19:30	16:37	06:06
30/3/2018	06:41	19:32	17:56	06:33
31/3/2018	06:39	19:34	19:11	06:59
1/4/2018	06:37	19:36	20:27	07:22
2/4/2018	06:34	19:37	21:39	07:45
