EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,EAS,H,UTC
1834,E,7,57,510,240,511,240,1,0.0,497.6,2012-03-13 17:33:35
1835,L,2,12,510,239,511,239,6,0.0,497.6,2012-03-13 17:33:41
1836,L,3,13,510,240,510,240,4,0.0,497.6,2012-03-13 17:33:45
1837,E,4,20,510,238,511,238,2,0.0,497.6,2012-03-13 17:33:47
1838,L,2,9,510,238,511,238,1,0.0,497.7,2012-03-13 17:33:48
1839,E,5,33,510,241,511,241,3,0.0,497.7,2012-03-13 17:33:51
1840,L,3,11,510,239,510,239,4,0.0,497.7,2012-03-13 17:33:55
1841,E,4,18,510,241,511,241,2,0.0,497.7,2012-03-13 17:33:57
1842,L,3,10,510,239,510,239,0,0.0,497.7,2012-03-13 17:33:57
1843,L,3,28,510,240,510,240,2,0.0,497.7,2012-03-13 17:33:59
1844,L,3,14,510,242,510,242,2,0.0,497.7,2012-03-13 17:34:01
1845,E,4,20,510,241,510,241,2,0.0,497.7,2012-03-13 17:34:03
1846,E,10,60,510,241,510,241,1,0.0,497.7,2012-03-13 17:34:04
1847,E,6,20,510,241,510,241,1,0.0,497.7,2012-03-13 17:34:05
1848,L,1,0,510,241,511,241,0,0.0,497.7,2012-03-13 17:34:05
1849,E,4,27,510,239,510,239,1,0.0,497.7,2012-03-13 17:34:06
1850,L,2,11,510,240,510,240,3,0.0,497.7,2012-03-13 17:34:09
1851,L,1,0,510,242,510,242,3,0.0,497.7,2012-03-13 17:34:12
1852,L,3,15,510,241,510,241,0,0.0,497.7,2012-03-13 17:34:12
1853,L,3,23,510,239,511,239,1,0.0,497.7,2012-03-13 17:34:13
1854,L,2,7,510,240,510,240,10,0.0,497.7,2012-03-13 17:34:23
1855,L,3,15,510,241,511,241,3,0.0,497.7,2012-03-13 17:34:26
1856,E,4,34,510,241,510,241,5,0.0,497.7,2012-03-13 17:34:31
1857,L,3,14,510,239,510,239,1,0.0,497.7,2012-03-13 17:34:32
1858,E,4,29,510,239,511,239,0,0.0,497.7,2012-03-13 17:34:32
1859,L,3,10,510,241,510,241,4,0.0,497.7,2012-03-13 17:34:36
1860,L,3,18,510,241,511,241,5,0.0,497.7,2012-03-13 17:34:41
1861,L,3,15,510,240,511,240,3,0.0,497.7,2012-03-13 17:34:44
1862,L,3,15,510,241,510,241,1,0.0,497.7,2012-03-13 17:34:45
1863,L,3,12,510,238,510,238,1,0.0,497.7,2012-03-13 17:34:46
1864,L,3,9,510,238,510,238,1,0.0,497.7,2012-03-13 17:34:47
1865,L,2,14,510,238,511,238,1,0.0,497.7,2012-03-13 17:34:48
1866,E,7,51,510,239,510,239,12,0.0,497.7,2012-03-13 17:35:00
1867,E,4,13,510,510,510,510,9,0.0,497.8,2012-03-13 17:35:09
1868,E,4,56,510,239,510,239,0,0.0,497.8,2012-03-13 17:35:09
1869,L,3,24,510,242,510,242,4,0.0,497.8,2012-03-13 17:35:13
1870,E,4,18,510,242,510,242,5,0.0,497.8,2012-03-13 17:35:18
1871,E,4,22,510,238,510,238,1,0.0,497.8,2012-03-13 17:35:19
1872,L,2,12,510,239,511,239,4,0.0,497.8,2012-03-13 17:35:23
1873,E,4,39,510,242,511,242,4,0.0,497.8,2012-03-13 17:35:27
