EID,Type,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,EAS,H,UTC
10675,E,10,688,242,241,242,241,360,1.0,307.8,2013-03-09 18:16:20
10676,C,0,6104408,242,243,243,242,0,0.0,307.8,2013-03-09 18:16:20
10677,E,29,1336,241,240,243,240,112,1.0,307.8,2013-03-09 18:18:12
10678,C,0,6205188,242,242,243,242,0,0.0,307.8,2013-03-09 18:18:12
10679,D,76,7143,242,250,252,242,13,0.0,307.6,2013-03-09 18:18:25
10680,C,0,4891684,88,87,228,87,0,0.0,307.6,2013-03-09 18:18:25
10681,D,289,32165,253,239,243,239,687,0.0,306.3,2013-03-09 18:29:52
10682,C,0,6375492,242,243,243,242,1,0.0,306.3,2013-03-09 18:29:53
10683,E,22,505,236,243,472,236,181,0.0,305.9,2013-03-09 18:32:54
10684,C,0,6183078,242,242,242,242,0,0.0,305.9,2013-03-09 18:32:54
10685,E,15,6588,242,242,242,242,1160,1.0,308.1,2013-03-09 18:52:14
10686,C,0,6556733,242,242,243,242,0,0.0,308.1,2013-03-09 18:52:14
10687,E,16,950,243,242,243,242,521,1.0,395.8,2013-03-09 19:00:55
10688,C,0,6627982,242,242,243,242,0,0.0,395.8,2013-03-09 19:00:55
10689,E,5,400,241,240,472,240,88,0.0,432.0,2013-03-09 19:02:23
10690,C,0,6577212,242,242,242,242,0,0.0,432.0,2013-03-09 19:02:23
10691,E,23,782,242,239,472,239,147,1.0,510.5,2013-03-09 19:04:50
10692,C,0,6630795,242,242,242,242,0,0.0,510.5,2013-03-09 19:04:50
10693,E,18,989,240,238,240,238,55,1.0,550.8,2013-03-09 19:05:45
10694,C,0,6634900,243,242,243,242,1,0.0,550.8,2013-03-09 19:05:46
10695,E,9,372,246,241,241,241,16,1.0,563.0,2013-03-09 19:06:02
10696,C,0,6658822,243,242,243,242,1,0.0,563.0,2013-03-09 19:06:03
10697,E,72,2785,243,243,244,243,226,1.0,606.7,2013-03-09 19:09:49
10698,C,0,6620520,242,242,243,242,0,0.0,606.7,2013-03-09 19:09:49
10699,E,37,1855,240,237,240,237,141,1.0,604.9,2013-03-09 19:12:10
10700,C,0,6600626,242,243,243,242,0,0.0,604.9,2013-03-09 19:12:10
10701,E,8,293,472,242,243,242,282,1.0,603.3,2013-03-09 19:16:52
10702,C,0,6563149,242,242,243,242,1,0.0,603.3,2013-03-09 19:16:53
10703,E,9,225,472,242,242,242,322,1.0,601.1,2013-03-09 19:22:15
10704,C,0,6555740,242,242,243,242,1,0.0,601.1,2013-03-09 19:22:16
10705,D,66,1638,218,181,255,181,67,0.0,606.1,2013-03-09 19:23:23
10706,C,0,6563704,242,242,243,242,0,0.0,606.1,2013-03-09 19:23:23
10707,E,9,263,472,238,239,238,71,1.0,605.8,2013-03-09 19:24:34
10708,C,0,6612676,242,242,242,242,0,0.0,605.8,2013-03-09 19:24:34
10709,E,18,313,472,238,242,238,39,1.0,604.4,2013-03-09 19:25:13
10710,C,0,6561555,242,242,243,242,0,0.0,604.4,2013-03-09 19:25:13
10711,E,19,1517,242,241,242,241,30,1.0,604.8,2013-03-09 19:25:43
10712,C,0,6555157,242,242,243,242,0,0.0,604.8,2013-03-09 19:25:43
10713,E,17,568,240,237,240,237,153,1.0,602.7,2013-03-09 19:28:16
10714,C,0,6536679,242,242,243,242,1,0.0,602.7,2013-03-09 19:28:17
10715,E,6,574,242,241,242,241,90,1.0,604.1,2013-03-09 19:29:47
10716,C,0,6545193,242,242,243,242,1,0.0,604.1,2013-03-09 19:29:48
10717,E,16,1489,243,243,243,243,30,1.0,604.7,2013-03-09 19:30:18
10718,C,0,6538771,242,242,243,242,0,0.0,604.7,2013-03-09 19:30:18
10719,E,27,1403,242,241,241,241,29,1.0,605.9,2013-03-09 19:30:47
10720,C,0,6540163,242,242,243,242,1,0.0,605.9,2013-03-09 19:30:48
10721,E,9,363,472,238,239,238,160,1.0,603.1,2013-03-09 19:33:28
10722,C,0,6519230,242,242,243,242,0,0.0,603.1,2013-03-09 19:33:28
10723,E,102,4575,243,240,242,240,93,1.0,602.6,2013-03-09 19:35:01
10724,C,0,6518893,242,242,243,242,1,0.0,602.6,2013-03-09 19:35:02
10725,D,203,52203,242,241,242,241,115,0.0,601.7,2013-03-09 19:36:57
10726,C,0,6415193,242,242,243,242,1,0.0,601.7,2013-03-09 19:36:58
10727,D,152,5834,251,239,299,239,213,0.0,602.8,2013-03-09 19:40:31
10728,C,0,6181868,242,48,243,48,0,0.0,602.8,2013-03-09 19:40:31
10729,D,363,45296,242,239,241,239,4,0.0,602.6,2013-03-09 19:40:35
10730,C,0,6419880,242,242,243,242,0,0.0,602.6,2013-03-09 19:40:35
10731,E,8,187,240,230,472,230,237,1.0,602.1,2013-03-09 19:44:32
10732,C,0,6517404,242,242,243,242,0,0.0,602.1,2013-03-09 19:44:32
10733,E,6,221,472,240,472,240,37,0.0,602.2,2013-03-09 19:45:09
10734,C,0,6515127,242,242,242,242,0,0.0,602.2,2013-03-09 19:45:09
10735,E,15,271,246,241,242,241,46,1.0,603.7,2013-03-09 19:45:55
10736,C,0,6508269,243,243,243,243,0,0.0,603.7,2013-03-09 19:45:55
10737,E,13,623,242,240,241,240,517,1.0,599.4,2013-03-09 19:54:32
10738,C,0,6505669,242,242,243,242,1,0.0,599.4,2013-03-09 19:54:33
10739,E,21,835,243,242,243,242,9,1.0,599.7,2013-03-09 19:54:42
10740,C,0,6513059,242,242,243,242,0,0.0,599.7,2013-03-09 19:54:42
10741,E,7,592,240,240,240,240,352,1.0,602.0,2013-03-09 20:00:34
10742,C,0,6590498,242,242,243,242,0,0.0,602.0,2013-03-09 20:00:34
10743,E,38,17221,241,239,241,239,48,1.0,602.2,2013-03-09 20:01:22
10744,C,0,6590659,242,242,243,242,0,0.0,602.2,2013-03-09 20:01:22
10745,E,20,1029,244,242,242,242,38,1.0,602.5,2013-03-09 20:02:00
10746,C,0,6586063,243,243,243,243,0,0.0,602.5,2013-03-09 20:02:00
10747,E,15,279,244,237,243,237,5,1.0,602.5,2013-03-09 20:02:05
10748,C,0,6592743,242,243,243,242,1,0.0,602.5,2013-03-09 20:02:06
10749,E,39,1795,242,238,242,238,269,1.0,601.2,2013-03-09 20:06:35
10750,C,0,6587850,242,242,243,242,0,0.0,601.2,2013-03-09 20:06:35
10751,E,23,899,241,237,241,237,312,1.0,601.2,2013-03-09 20:11:47
10752,C,0,6576328,242,242,243,242,0,0.0,601.2,2013-03-09 20:11:47
10753,E,24,1850,242,241,242,241,138,1.0,601.1,2013-03-09 20:14:05
10754,C,0,6573947,242,242,243,242,0,0.0,601.1,2013-03-09 20:14:05
10755,E,20,475,243,238,472,238,186,1.0,599.4,2013-03-09 20:17:11
10756,C,0,6564627,242,243,243,242,0,0.0,599.4,2013-03-09 20:17:11
10757,E,20,313,244,244,472,244,35,1.0,600.0,2013-03-09 20:17:46
10758,C,0,6566603,242,243,243,242,1,0.0,600.0,2013-03-09 20:17:47
10759,E,23,828,240,239,239,239,300,1.0,603.4,2013-03-09 20:22:47
10760,C,0,6563873,242,242,243,242,0,0.0,603.4,2013-03-09 20:22:47
10761,E,29,635,242,238,242,238,274,1.0,610.2,2013-03-09 20:27:21
