date	time	N	E	H	H-455	compass	P_hpa0	T0,C	P_hpa1	T1,C	dP,kpa	U15,V	U5,V	Uac,V	I,A	Tpow,C	Tmos,C	Bot,C	Top,C	NUM	Clin1	Clin2	ClinTh	Num
 9	131704	5147.8302	10423.3018	 762.9	 307.9	 318	  930.2	 18.3	  929.5	 -8.4	274.00	14.96	5.15	18.75	2.60	24.00	-8.50	11.0	16.1	1	-2.8	1.0	3.0	1
 9	131804	5147.8302	10423.3074	 762.5	 307.5	 284	  930.1	 18.5	  929.5	 -8.4	274.00	14.97	5.15	18.74	2.62	24.50	-8.50	11.1	15.2	2	-2.8	1.0	3.0	2
 9	131904	5147.8284	10423.3092	 763.1	 308.1	 338	  930.2	 18.7	  929.5	 -8.5	268.52	14.97	5.15	18.75	2.60	24.75	-8.50	11.2	15.4	3	-2.8	1.0	3.0	3
 9	132004	5147.8291	10423.3096	 762.9	 307.9	 387	  930.1	 18.8	  929.4	 -8.6	257.56	14.97	5.15	18.75	2.60	25.00	-8.25	11.4	15.6	4	-2.8	1.0	2.9	4
 9	132205	5147.8292	10423.3009	 761.4	 306.4	 192	  930.4	 19.2	  929.4	 -8.8	254.82	14.97	5.15	18.74	2.62	25.50	-8.00	11.6	15.9	5	-2.9	0.9	3.0	5
 9	132305	5147.8294	10423.3015	 761.5	 306.5	 215	  930.3	 19.4	  929.2	 -8.8	252.08	14.97	5.16	18.75	2.64	25.50	-8.00	11.6	16.1	6	-2.9	0.9	3.0	6
 9	132405	5147.8287	10423.3133	 762.4	 307.4	 353	  930.3	 19.6	  929.2	 -8.7	246.60	14.97	5.15	18.75	2.65	25.50	-8.00	11.7	16.2	7	-2.8	1.0	2.9	7
 9	132505	5147.8289	10423.3102	 761.6	 306.6	 378	  930.5	 19.8	  929.2	 -8.7	243.86	14.96	5.15	18.75	2.62	25.75	-7.75	11.9	16.4	8	-2.8	1.0	3.0	8
 9	132706	5147.8302	10423.3094	 761.2	 306.2	 371	  930.5	 20.1	  929.4	 -8.8	238.38	14.97	5.15	18.74	2.60	26.75	-8.00	12.1	17.9	9	-2.9	1.0	3.0	9
 9	132806	5147.8302	10423.3097	 761.2	 306.2	 384	  930.6	 20.3	  929.3	 -8.9	241.12	14.97	5.15	18.74	2.62	26.75	-8.00	12.3	16.9	10	-2.7	1.1	2.9	10
 9	132906	5147.8300	10423.3101	 761.3	 306.3	 405	  930.5	 20.5	  929.2	 -9.1	227.42	14.97	5.15	18.75	2.64	26.25	-7.75	12.3	17.0	11	-2.7	1.1	2.9	11
 9	133006	5147.8299	10423.3066	 761.7	 306.7	 292	  930.4	 20.6	  929.4	 -9.2	230.16	14.97	5.15	18.74	2.62	26.25	-8.00	12.3	17.2	12	-2.8	0.9	2.9	12
 9	133207	5147.8318	10423.3144	 760.7	 305.7	 376	  930.5	 21.0	  929.3	 -9.3	224.68	14.97	5.15	18.74	2.62	26.50	-8.00	12.6	17.5	13	-2.7	1.1	2.9	13
