N,H,t,Clin1,Clin2,Comp
11882,520.80,16:49:16,-0.3,-11.9,2021
11883,520.80,16:49:16,-0.3,-11.9,2021
11884,511.80,16:53:20,1.8,-12.1,1939
11885,511.80,16:53:20,1.8,-12.1,1939
11886,512.80,16:53:22,0.3,-14.0,1758
11887,512.80,16:53:22,0.3,-14.0,1758
11888,506.60,16:55:23,-3.2,-11.7,2172
11889,506.60,16:55:23,-3.2,-11.7,2172
11890,501.00,17:00:28,-2.4,-11.5,1882
11891,501.00,17:00:28,-2.4,-11.5,1882
11892,499.80,17:00:45,-0.7,-13.0,2015
11893,499.80,17:00:45,-0.7,-13.0,2015
11894,509.60,17:02:26,0.1,-12.3,1941
11895,509.60,17:02:26,0.1,-12.3,1941
11896,526.10,17:02:53,-3.0,-11.4,2023
11897,526.10,17:02:53,-3.0,-11.4,2023
11898,551.40,17:03:24,-2.9,-10.9,2000
11899,551.40,17:03:24,-2.9,-10.9,2000
11900,564.30,17:04:15,-2.5,-11.1,2031
11901,564.30,17:04:15,-2.5,-11.1,2031
11902,569.20,17:08:07,-4.4,-10.8,2145
11903,569.20,17:08:07,-4.4,-10.8,2145
11904,578.40,17:10:47,-1.3,-8.2,1982
11905,578.40,17:10:47,-1.3,-8.2,1982
11906,564.60,17:11:55,-2.1,-9.8,2054
11907,564.60,17:11:55,-2.1,-9.8,2054
11908,572.90,17:12:33,-1.6,-9.9,2116
11909,572.90,17:12:33,-1.6,-9.9,2116
11910,579.20,17:18:12,-0.6,-11.0,1977
11911,579.20,17:18:12,-0.6,-11.0,1977
11912,580.60,17:18:58,1.0,-10.5,1887
11913,580.60,17:18:58,1.0,-10.5,1887
11914,563.60,17:21:28,-0.6,-10.2,1997
11915,563.60,17:21:28,-0.6,-10.2,1997
11916,557.50,17:22:28,0.6,-11.1,1905
11917,557.50,17:22:28,0.6,-11.1,1905
11918,562.50,17:24:39,0.6,-10.4,1915
11919,562.50,17:24:39,0.6,-10.4,1915
11920,555.60,17:25:45,1.4,-11.2,1912
11921,555.60,17:25:45,1.4,-11.2,1912
11922,555.80,17:26:00,-0.5,-11.3,1969
11923,555.80,17:26:00,-0.5,-11.3,1969
11924,555.90,17:26:02,-0.0,-11.4,1928
11925,555.90,17:26:02,-0.0,-11.4,1928
11926,576.20,17:30:53,0.1,-9.8,2025
11927,576.20,17:30:53,0.1,-9.8,2025
11928,564.60,17:33:58,-0.3,-8.8,1958
11929,564.60,17:33:58,-0.3,-8.8,1958
11930,577.00,17:37:04,-1.4,-9.0,2046
11931,577.00,17:37:04,-1.4,-9.0,2046
11932,589.00,17:38:20,0.7,-10.5,1926
11933,589.00,17:38:20,0.7,-10.5,1926
11934,578.40,17:41:36,0.3,-10.9,1929
11935,578.40,17:41:36,0.3,-10.9,1929
11936,467.40,14:26:04,0.9,-0.9,2768
11937,467.40,14:26:04,0.9,-0.9,2768
11938,467.80,14:39:10,1.1,-0.8,2830
11939,467.80,14:39:10,1.1,-0.8,2830
11940,476.00,14:48:31,1.1,-0.8,2829
11941,476.00,14:48:31,1.1,-0.8,2829
11942,547.60,14:50:37,1.2,-0.8,2693
11943,547.60,14:50:37,1.2,-0.8,2693
11944,602.20,14:55:23,1.1,-0.8,2579
11945,602.20,14:55:23,1.1,-0.8,2579
11946,602.10,15:00:12,1.4,-0.8,2574
11947,602.10,15:00:12,1.4,-0.8,2574
11948,602.10,15:00:40,1.3,-0.7,2568
11949,602.10,15:00:40,1.3,-0.7,2568
11950,602.10,15:04:56,1.3,-0.7,2547
11951,602.10,15:04:56,1.3,-0.7,2547
11952,602.30,15:08:12,1.3,-0.8,2602
11953,602.30,15:08:12,1.3,-0.8,2602
11954,602.60,15:21:06,1.3,-0.8,2563
11955,602.60,15:21:06,1.3,-0.8,2563
11956,602.60,15:23:09,1.3,-0.7,2534
11957,602.60,15:23:09,1.3,-0.7,2534
11958,602.70,15:27:21,1.5,-0.8,2637
11959,602.70,15:27:21,1.5,-0.8,2637
11960,602.80,15:28:31,1.3,-0.8,2650
11961,602.80,15:28:31,1.3,-0.8,2650
11962,604.80,15:31:21,1.3,-0.8,2597
11963,604.80,15:31:21,1.3,-0.8,2597
11964,604.80,15:42:35,1.2,-0.8,2572
11965,604.80,15:42:35,1.2,-0.8,2572
11966,604.90,15:43:55,1.2,-0.8,2578
11967,604.90,15:43:55,1.2,-0.8,2578
11968,604.90,15:44:30,1.3,-0.9,2656
11969,604.90,15:44:30,1.3,-0.9,2656
11970,605.80,15:49:32,1.0,-0.9,2645
11971,605.80,15:49:32,1.0,-0.9,2645
11972,603.10,16:09:57,0.8,-0.9,2652
11973,603.10,16:09:57,0.8,-0.9,2652
11974,604.40,16:20:22,0.7,-1.1,2664
11975,604.40,16:20:22,0.7,-1.1,2664
11976,606.10,16:23:57,0.4,-1.2,2540
11977,606.10,16:23:57,0.4,-1.2,2540
11978,605.10,16:43:24,0.4,-1.2,2566
11979,605.10,16:43:24,0.4,-1.2,2566
11980,605.10,16:45:56,0.4,-1.2,2544
11981,605.10,16:45:56,0.4,-1.2,2544
11982,604.90,16:47:40,0.4,-1.2,2542
11983,604.90,16:47:40,0.4,-1.2,2542
11984,603.70,17:00:15,0.6,-1.1,2587
11985,603.70,17:00:15,0.6,-1.1,2587
11986,603.70,17:00:32,0.6,-1.1,2583
11987,603.70,17:00:32,0.6,-1.1,2583
11988,603.60,17:02:26,0.6,-1.1,2552
11989,603.60,17:02:26,0.6,-1.1,2552
11990,602.30,17:03:40,0.8,-1.0,2611
11991,602.30,17:03:40,0.8,-1.0,2611
11992,601.80,17:06:01,0.7,-1.1,2495
11993,601.80,17:06:01,0.7,-1.1,2495
11994,601.10,17:09:38,0.8,-1.0,2551
11995,601.10,17:09:38,0.8,-1.0,2551
11996,601.80,17:12:41,0.9,-0.9,2547
11997,601.80,17:12:41,0.9,-0.9,2547
11998,600.90,17:14:24,0.7,-1.0,2494
11999,600.90,17:14:24,0.7,-1.0,2494
12000,607.20,17:18:06,0.5,-1.2,2551
12001,607.20,17:18:06,0.5,-1.2,2551
12002,606.30,17:18:39,0.4,-1.1,2456
12003,606.30,17:18:39,0.4,-1.1,2456
12004,607.20,17:20:29,0.6,-1.0,2513
12005,607.20,17:20:29,0.6,-1.0,2513
12006,608.80,17:29:13,0.3,-1.3,2601
12007,608.80,17:29:13,0.3,-1.3,2601
12008,607.50,17:31:19,0.4,-1.2,2599
12009,607.50,17:31:19,0.4,-1.2,2599
12010,606.50,17:57:14,0.4,-1.1,2551
12011,606.50,17:57:14,0.4,-1.1,2551
12012,605.60,17:59:25,0.6,-1.1,2599
12013,605.60,17:59:25,0.6,-1.1,2599
12014,606.30,18:00:20,0.6,-1.1,2572
12015,606.30,18:00:20,0.6,-1.1,2572
12016,604.90,18:01:33,0.7,-1.0,2471
12017,604.90,18:01:33,0.7,-1.0,2471
12018,608.00,18:15:30,0.3,-1.3,2640
12019,608.00,18:15:30,0.3,-1.3,2640
12020,610.20,18:18:39,0.2,-1.2,2260
12021,610.20,18:18:39,0.2,-1.2,2260
12022,609.80,18:26:09,0.3,-1.3,2579
12023,609.80,18:26:09,0.3,-1.3,2579
12024,610.20,18:31:36,0.3,-1.3,2595
12025,610.20,18:31:36,0.3,-1.3,2595
12026,609.90,18:32:11,0.3,-1.2,2463
12027,609.90,18:32:11,0.3,-1.2,2463
12028,609.30,18:41:38,0.3,-1.3,2567
12029,609.30,18:41:38,0.3,-1.3,2567
12030,608.90,18:43:02,0.4,-1.1,2579
12031,608.90,18:43:02,0.4,-1.1,2579
12032,610.20,18:44:58,0.4,-1.2,2458
12033,610.20,18:44:58,0.4,-1.2,2458
12034,611.20,18:54:52,0.4,-1.2,2624
12035,611.20,18:54:52,0.4,-1.2,2624
12036,610.50,18:56:03,0.4,-1.3,2612
12037,610.50,18:56:03,0.4,-1.3,2612
12038,612.30,18:56:46,0.4,-1.2,2524
12039,612.30,18:56:46,0.4,-1.2,2524
12040,617.10,19:02:02,0.2,-1.3,2352
12041,617.10,19:02:02,0.2,-1.3,2352
12042,617.00,19:03:56,0.2,-1.3,2338
12043,617.00,19:03:56,0.2,-1.3,2338
12044,612.00,19:13:29,0.2,-1.3,2377
12045,612.00,19:13:29,0.2,-1.3,2377
12046,611.80,19:14:04,0.2,-1.3,2331
12047,611.80,19:14:04,0.2,-1.3,2331
12048,612.30,19:22:26,0.2,-1.4,2364
12049,612.30,19:22:26,0.2,-1.4,2364
12050,612.40,19:33:58,0.1,-1.4,2308
12051,612.40,19:33:58,0.1,-1.4,2308
12052,612.20,19:40:57,0.1,-1.4,2184
12053,612.20,19:40:57,0.1,-1.4,2184
12054,613.50,19:45:16,0.1,-1.4,2111
12055,613.50,19:45:16,0.1,-1.4,2111
12056,640.00,19:58:09,0.2,-1.3,1997
12057,640.00,19:58:09,0.2,-1.3,1997
12058,645.10,20:05:23,0.1,-1.4,2054
12059,645.10,20:05:23,0.1,-1.4,2054
12060,646.30,20:07:09,0.1,-1.4,2112
12061,646.30,20:07:09,0.1,-1.4,2112
12062,649.10,20:11:45,0.1,-1.4,2099
12063,649.10,20:11:45,0.1,-1.4,2099
12064,650.30,20:13:47,0.1,-1.4,2108
12065,650.30,20:13:47,0.1,-1.4,2108
12066,653.00,20:19:58,0.1,-1.4,2149
12067,653.00,20:19:58,0.1,-1.4,2149
12068,653.40,20:21:06,0.1,-1.4,2207
12069,653.40,20:21:06,0.1,-1.4,2207
12070,653.60,20:21:23,0.1,-1.4,2170
12071,653.60,20:21:23,0.1,-1.4,2170
12072,653.70,20:21:45,0.1,-1.4,2195
12073,653.70,20:21:45,0.1,-1.4,2195
12074,655.90,20:26:29,0.1,-1.4,2207
12075,655.90,20:26:29,0.1,-1.4,2207
12076,656.40,20:27:48,0.1,-1.4,2220
12077,656.40,20:27:48,0.1,-1.4,2220
12078,656.50,20:28:07,0.1,-1.4,2217
12079,656.50,20:28:07,0.1,-1.4,2217
12080,662.30,20:38:28,0.3,-1.3,2301
12081,662.30,20:38:28,0.3,-1.3,2301
12082,662.40,20:40:35,0.3,-1.3,2275
12083,662.40,20:40:35,0.3,-1.3,2275
12084,661.70,20:42:47,0.2,-1.3,2351
12085,661.70,20:42:47,0.2,-1.3,2351
12086,663.40,20:50:42,0.2,-1.3,2347
12087,663.40,20:50:42,0.2,-1.3,2347
12088,659.10,21:05:15,0.3,-1.3,2451
12089,659.10,21:05:15,0.3,-1.3,2451
12090,655.10,21:08:14,0.4,-1.1,2400
12091,655.10,21:08:14,0.4,-1.1,2400
12092,654.60,21:09:04,0.5,-1.1,2407
12093,654.60,21:09:04,0.5,-1.1,2407
12094,653.90,21:11:02,0.5,-1.1,2439
12095,653.90,21:11:02,0.5,-1.1,2439
12096,655.60,21:17:02,0.6,-1.1,2471
12097,655.60,21:17:02,0.6,-1.1,2471
12098,390.10,15:30:30,-1.9,-12.4,1345
12099,390.10,15:30:30,-1.9,-12.4,1345
12100,387.10,15:31:35,-2.3,-11.6,1463
12101,387.10,15:31:35,-2.3,-11.6,1463
12102,385.60,15:34:46,3.1,-12.3,1174
12103,385.60,15:34:46,3.1,-12.3,1174
12104,386.50,15:35:41,-0.7,-12.8,1346
12105,386.50,15:35:41,-0.7,-12.8,1346
12106,386.30,15:39:18,6.6,-15.0,960
12107,386.30,15:39:18,6.6,-15.0,960
12108,391.70,15:41:21,1.5,-9.9,1224
12109,391.70,15:41:21,1.5,-9.9,1224
12110,389.20,15:41:34,0.1,-10.0,1236
12111,389.20,15:41:34,0.1,-10.0,1236
12112,387.90,15:41:56,3.5,-11.3,1176
12113,387.90,15:41:56,3.5,-11.3,1176
12114,382.10,15:44:31,-0.7,-13.4,1385
12115,382.10,15:44:31,-0.7,-13.4,1385
12116,383.80,15:45:28,2.3,-13.3,1183
12117,383.80,15:45:28,2.3,-13.3,1183
12118,383.00,15:46:01,-2.0,-11.5,1365
12119,383.00,15:46:01,-2.0,-11.5,1365
12120,382.80,15:46:21,3.7,-12.0,1189
12121,382.80,15:46:21,3.7,-12.0,1189
12122,385.80,15:49:03,-1.6,-12.2,1426
12123,385.80,15:49:03,-1.6,-12.2,1426
12124,386.20,15:50:41,1.5,-11.8,1189
12125,386.20,15:50:41,1.5,-11.8,1189
12126,385.50,15:51:02,-0.2,-12.4,1307
12127,385.50,15:51:02,-0.2,-12.4,1307
12128,384.90,15:51:10,2.1,-12.0,1184
12129,384.90,15:51:10,2.1,-12.0,1184
12130,382.90,15:52:03,-2.5,-11.4,1481
12131,382.90,15:52:03,-2.5,-11.4,1481
12132,381.60,15:52:31,0.7,-13.6,1319
12133,381.60,15:52:31,0.7,-13.6,1319
12134,380.90,15:52:58,4.0,-11.9,1121
12135,380.90,15:52:58,4.0,-11.9,1121
12136,379.80,15:53:36,3.7,-12.6,1117
12137,379.80,15:53:36,3.7,-12.6,1117
12138,377.10,15:55:46,-2.0,-13.0,1389
12139,377.10,15:55:46,-2.0,-13.0,1389
12140,377.90,15:56:06,3.6,-13.7,1241
12141,377.90,15:56:06,3.6,-13.7,1241
12142,377.90,15:59:57,-3.5,-13.0,1466
12143,377.90,15:59:57,-3.5,-13.0,1466
12144,380.20,16:00:53,1.4,-12.8,1310
12145,380.20,16:00:53,1.4,-12.8,1310
12146,379.70,16:03:18,4.3,-13.2,1108
12147,379.70,16:03:18,4.3,-13.2,1108
12148,380.10,16:03:31,1.2,-13.4,1309
12149,380.10,16:03:31,1.2,-13.4,1309
12150,380.70,16:04:14,-0.8,-12.6,1282
12151,380.70,16:04:14,-0.8,-12.6,1282
12152,380.80,16:06:57,3.6,-12.4,1133
12153,380.80,16:06:57,3.6,-12.4,1133
12154,383.60,16:07:48,2.4,-12.1,1135
12155,383.60,16:07:48,2.4,-12.1,1135
12156,390.30,16:08:19,0.2,-11.9,1208
12157,390.30,16:08:19,0.2,-11.9,1208
12158,389.40,16:08:29,-2.1,-11.0,1366
12159,389.40,16:08:29,-2.1,-11.0,1366
12160,389.10,16:09:12,-0.2,-12.1,1208
12161,389.10,16:09:12,-0.2,-12.1,1208
12162,382.10,16:12:58,3.8,-12.3,1147
12163,382.10,16:12:58,3.8,-12.3,1147
12164,386.30,16:13:49,-2.7,-11.8,1365
12165,386.30,16:13:49,-2.7,-11.8,1365
12166,386.80,16:14:35,-2.4,-11.2,1385
12167,386.80,16:14:35,-2.4,-11.2,1385
12168,386.60,16:14:41,-2.0,-11.0,1400
12169,386.60,16:14:41,-2.0,-11.0,1400
12170,386.80,16:15:21,2.4,-10.9,1108
12171,386.80,16:15:21,2.4,-10.9,1108
12172,386.80,16:15:29,3.1,-11.0,1170
12173,386.80,16:15:29,3.1,-11.0,1170
12174,386.80,16:15:39,3.4,-11.0,1090
12175,386.80,16:15:39,3.4,-11.0,1090
12176,386.90,16:16:50,-1.3,-10.8,1353
12177,386.90,16:16:50,-1.3,-10.8,1353
12178,387.30,16:17:25,3.5,-11.1,1115
12179,387.30,16:17:25,3.5,-11.1,1115
12180,385.50,16:20:00,-2.5,-10.9,1430
12181,385.50,16:20:00,-2.5,-10.9,1430
12182,383.20,16:20:19,-2.9,-10.9,1405
12183,383.20,16:20:19,-2.9,-10.9,1405
12184,383.10,16:20:22,3.6,-11.3,1207
12185,383.10,16:20:22,3.6,-11.3,1207
12186,382.80,16:20:56,1.1,-12.4,1305
12187,382.80,16:20:56,1.1,-12.4,1305
12188,381.00,16:21:58,3.4,-11.8,1188
12189,381.00,16:21:58,3.4,-11.8,1188
12190,380.80,16:23:41,-2.2,-11.2,1425
12191,380.80,16:23:41,-2.2,-11.2,1425
12192,381.30,16:23:57,3.9,-11.2,1170
12193,381.30,16:23:57,3.9,-11.2,1170
12194,381.90,16:24:08,3.7,-11.7,1133
12195,381.90,16:24:08,3.7,-11.7,1133
12196,382.10,16:24:18,-2.4,-10.8,1447
12197,382.10,16:24:18,-2.4,-10.8,1447
12198,379.80,16:26:22,3.5,-11.1,1115
12199,379.80,16:26:22,3.5,-11.1,1115
12200,383.40,16:27:08,-2.4,-10.7,1345
12201,383.40,16:27:08,-2.4,-10.7,1345
12202,384.50,16:27:25,-1.5,-11.0,1397
12203,384.50,16:27:25,-1.5,-11.0,1397
12204,385.20,16:27:36,-1.2,-11.2,1365
12205,385.20,16:27:36,-1.2,-11.2,1365
12206,385.50,16:28:22,1.1,-11.8,1216
12207,385.50,16:28:22,1.1,-11.8,1216
12208,384.80,16:29:06,-0.4,-10.6,1357
12209,384.80,16:29:06,-0.4,-10.6,1357
12210,384.70,16:29:52,1.5,-11.9,1233
12211,384.70,16:29:52,1.5,-11.9,1233
12212,381.50,16:30:06,3.1,-11.6,1173
12213,381.50,16:30:06,3.1,-11.6,1173
12214,380.40,16:30:13,2.6,-11.6,1254
12215,380.40,16:30:13,2.6,-11.6,1254
12216,379.50,16:30:45,-2.8,-11.3,1420
12217,379.50,16:30:45,-2.8,-11.3,1420
12218,379.60,16:30:50,0.2,-12.5,1331
12219,379.60,16:30:50,0.2,-12.5,1331
12220,379.70,16:31:20,-2.1,-11.9,1435
12221,379.70,16:31:20,-2.1,-11.9,1435
12222,379.60,16:31:35,3.5,-11.9,1180
12223,379.60,16:31:35,3.5,-11.9,1180
12224,382.70,16:32:19,-1.4,-11.5,1389
12225,382.70,16:32:19,-1.4,-11.5,1389
12226,382.70,16:32:19,-0.0,-11.7,1272
12227,382.70,16:32:19,-0.0,-11.7,1272
12228,381.90,16:34:24,2.4,-11.8,1196
12229,381.90,16:34:24,2.4,-11.8,1196
12230,381.50,16:34:40,4.2,-11.5,1095
12231,381.50,16:34:40,4.2,-11.5,1095
12232,381.50,16:34:51,0.9,-12.2,1198
12233,381.50,16:34:51,0.9,-12.2,1198
12234,383.50,16:35:21,-1.2,-11.0,1361
12235,383.50,16:35:21,-1.2,-11.0,1361
12236,384.70,16:35:42,3.7,-10.8,1109
12237,384.70,16:35:42,3.7,-10.8,1109
12238,383.20,16:36:33,3.7,-10.9,1068
12239,383.20,16:36:33,3.7,-10.9,1068
12240,384.20,16:36:51,1.4,-11.2,1216
12241,384.20,16:36:51,1.4,-11.2,1216
12242,384.40,16:37:42,-0.3,-11.3,1264
12243,384.40,16:37:42,-0.3,-11.3,1264
12244,384.60,16:38:08,-1.7,-10.7,1421
12245,384.60,16:38:08,-1.7,-10.7,1421
12246,384.60,16:38:15,-2.2,-10.6,1367
12247,384.60,16:38:15,-2.2,-10.6,1367
12248,384.80,16:38:37,-0.4,-11.0,1267
12249,384.80,16:38:37,-0.4,-11.0,1267
12250,384.70,16:38:54,0.2,-11.6,1308
12251,384.70,16:38:54,0.2,-11.6,1308
12252,383.70,16:40:04,1.5,-10.8,1250
12253,383.70,16:40:04,1.5,-10.8,1250
12254,383.40,16:40:05,-2.0,-11.3,1418
12255,383.40,16:40:05,-2.0,-11.3,1418
12256,382.40,16:41:23,1.4,-11.4,1283
12257,382.40,16:41:23,1.4,-11.4,1283
12258,383.60,16:41:38,-0.4,-11.4,1319
12259,383.60,16:41:38,-0.4,-11.4,1319
12260,381.40,16:42:10,5.4,-11.0,954
12261,381.40,16:42:10,5.4,-11.0,954
12262,384.60,16:42:40,-1.5,-11.7,1276
12263,384.60,16:42:40,-1.5,-11.7,1276
12264,383.10,16:43:21,1.4,-12.3,1271
12265,383.10,16:43:21,1.4,-12.3,1271
12266,381.00,16:43:34,-0.7,-12.3,1346
12267,381.00,16:43:34,-0.7,-12.3,1346
12268,382.50,16:44:28,3.6,-12.1,1112
12269,382.50,16:44:28,3.6,-12.1,1112
12270,383.80,16:44:50,1.4,-11.8,1297
12271,383.80,16:44:50,1.4,-11.8,1297
12272,384.20,16:44:59,0.3,-11.5,1336
12273,384.20,16:44:59,0.3,-11.5,1336
12274,383.90,16:45:41,-1.3,-10.8,1346
12275,383.90,16:45:41,-1.3,-10.8,1346
12276,384.70,16:45:59,-1.2,-11.2,1368
12277,384.70,16:45:59,-1.2,-11.2,1368
12278,383.70,16:46:29,-1.0,-11.4,1338
12279,383.70,16:46:29,-1.0,-11.4,1338
12280,383.70,16:46:31,0.2,-11.4,1233
12281,383.70,16:46:31,0.2,-11.4,1233
12282,384.60,16:47:16,3.0,-11.4,1144
12283,384.60,16:47:16,3.0,-11.4,1144
12284,383.90,16:47:52,3.8,-11.1,1062
12285,383.90,16:47:52,3.8,-11.1,1062
12286,382.90,16:47:59,4.5,-11.1,1087
12287,382.90,16:47:59,4.5,-11.1,1087
12288,382.40,16:48:23,5.0,-12.0,1118
12289,382.40,16:48:23,5.0,-12.0,1118
12290,380.90,16:48:59,3.2,-12.3,1174
12291,380.90,16:48:59,3.2,-12.3,1174
12292,380.10,16:49:04,3.1,-12.8,1176
12293,380.10,16:49:04,3.1,-12.8,1176
12294,380.20,16:49:45,-1.4,-12.5,1399
12295,380.20,16:49:45,-1.4,-12.5,1399
12296,380.20,16:49:59,-1.4,-12.5,1397
12297,380.20,16:49:59,-1.4,-12.5,1397
12298,381.70,16:50:23,2.4,-11.8,1177
12299,381.70,16:50:23,2.4,-11.8,1177
12300,377.10,16:53:14,-3.6,-12.2,1450
12301,377.10,16:53:14,-3.6,-12.2,1450
12302,376.50,16:53:40,-1.6,-13.1,1366
12303,376.50,16:53:40,-1.6,-13.1,1366
12304,376.50,16:53:53,2.9,-12.6,1262
12305,376.50,16:53:53,2.9,-12.6,1262
12306,377.40,16:54:09,-0.1,-13.2,1284
12307,377.40,16:54:09,-0.1,-13.2,1284
12308,378.70,16:54:37,1.1,-12.6,1233
12309,378.70,16:54:37,1.1,-12.6,1233
12310,379.30,16:54:45,2.2,-12.7,1379
12311,379.30,16:54:45,2.2,-12.7,1379
12312,379.60,16:54:48,0.3,-13.2,1234
12313,379.60,16:54:48,0.3,-13.2,1234
12314,381.80,16:55:12,2.3,-12.5,1156
12315,381.80,16:55:12,2.3,-12.5,1156
12316,381.90,16:55:26,3.8,-12.2,1135
12317,381.90,16:55:26,3.8,-12.2,1135
12318,381.70,16:55:32,3.6,-12.5,1217
12319,381.70,16:55:32,3.6,-12.5,1217
12320,378.10,16:56:37,-1.8,-12.5,1419
12321,378.10,16:56:37,-1.8,-12.5,1419
12322,378.20,16:56:57,4.0,-12.1,1108
12323,378.20,16:56:57,4.0,-12.1,1108
12324,377.60,16:57:46,-2.4,-12.9,1453
12325,377.60,16:57:46,-2.4,-12.9,1453
12326,378.50,16:58:28,-0.1,-13.3,1317
12327,378.50,16:58:28,-0.1,-13.3,1317
12328,381.60,16:59:00,3.0,-12.4,1193
12329,381.60,16:59:00,3.0,-12.4,1193
12330,383.80,16:59:24,0.7,-12.6,1297
12331,383.80,16:59:24,0.7,-12.6,1297
12332,382.60,16:59:41,2.6,-11.9,1171
12333,382.60,16:59:41,2.6,-11.9,1171
12334,381.20,17:00:22,-1.4,-12.4,1388
12335,381.20,17:00:22,-1.4,-12.4,1388
12336,380.60,17:01:49,4.4,-12.4,1103
12337,380.60,17:01:49,4.4,-12.4,1103
12338,380.20,17:01:58,-2.8,-11.9,1441
12339,380.20,17:01:58,-2.8,-11.9,1441
12340,376.80,17:03:16,-0.3,-14.8,1316
12341,376.80,17:03:16,-0.3,-14.8,1316
12342,376.80,17:03:48,1.8,-14.1,1292
12343,376.80,17:03:48,1.8,-14.1,1292
12344,376.90,17:03:52,-2.1,-14.3,1442
12345,376.90,17:03:52,-2.1,-14.3,1442
12346,377.00,17:03:54,1.2,-14.5,1286
12347,377.00,17:03:54,1.2,-14.5,1286
12348,377.70,17:04:22,2.1,-14.1,1281
12349,377.70,17:04:22,2.1,-14.1,1281
12350,377.50,17:04:35,1.9,-14.0,1206
12351,377.50,17:04:35,1.9,-14.0,1206
12352,377.80,17:04:41,2.7,-14.0,1217
12353,377.80,17:04:41,2.7,-14.0,1217
12354,377.10,17:06:16,2.5,-14.3,1265
12355,377.10,17:06:16,2.5,-14.3,1265
12356,375.50,17:06:37,-0.2,-14.2,1387
12357,375.50,17:06:37,-0.2,-14.2,1387
12358,375.30,17:06:46,3.5,-13.7,1171
12359,375.30,17:06:46,3.5,-13.7,1171
12360,376.10,17:06:56,3.6,-13.5,1213
12361,376.10,17:06:56,3.6,-13.5,1213
12362,377.20,17:07:16,-1.2,-13.7,1325
12363,377.20,17:07:16,-1.2,-13.7,1325
12364,376.90,17:07:28,4.6,-13.3,1123
12365,376.90,17:07:28,4.6,-13.3,1123
12366,373.70,17:08:25,2.7,-13.8,1293
12367,373.70,17:08:25,2.7,-13.8,1293
12368,375.50,17:09:38,-3.3,-14.2,1461
12369,375.50,17:09:38,-3.3,-14.2,1461
12370,375.70,17:09:51,4.1,-13.6,1220
12371,375.70,17:09:51,4.1,-13.6,1220
12372,375.50,17:10:10,-0.9,-14.0,1325
12373,375.50,17:10:10,-0.9,-14.0,1325
12374,375.60,17:10:12,4.8,-13.6,1133
12375,375.60,17:10:12,4.8,-13.6,1133
12376,377.90,17:10:39,3.5,-13.5,1236
12377,377.90,17:10:39,3.5,-13.5,1236
12378,378.30,17:11:55,1.8,-14.1,1242
12379,378.30,17:11:55,1.8,-14.1,1242
12380,376.90,17:12:08,-1.1,-14.5,1342
12381,376.90,17:12:08,-1.1,-14.5,1342
12382,376.70,17:12:30,2.2,-13.4,1315
12383,376.70,17:12:30,2.2,-13.4,1315
12384,376.70,17:12:51,-3.0,-14.9,1456
12385,376.70,17:12:51,-3.0,-14.9,1456
12386,376.90,17:12:56,-2.9,-13.8,1524
12387,376.90,17:12:56,-2.9,-13.8,1524
12388,376.60,17:12:58,3.4,-14.5,1186
12389,376.60,17:12:58,3.4,-14.5,1186
12390,376.50,17:13:05,4.5,-13.4,1189
12391,376.50,17:13:05,4.5,-13.4,1189
12392,376.30,17:13:07,-3.8,-12.9,1492
12393,376.30,17:13:07,-3.8,-12.9,1492
12394,375.40,17:13:11,5.1,-13.8,1255
12395,375.40,17:13:11,5.1,-13.8,1255
12396,378.40,17:14:07,-0.8,-13.6,1409
12397,378.40,17:14:07,-0.8,-13.6,1409
12398,378.80,17:14:26,0.6,-13.4,1246
12399,378.80,17:14:26,0.6,-13.4,1246
12400,378.60,17:14:48,3.1,-12.9,1295
12401,378.60,17:14:48,3.1,-12.9,1295
12402,378.00,17:16:16,3.4,-13.4,1250
12403,378.00,17:16:16,3.4,-13.4,1250
12404,377.20,17:16:41,0.4,-14.2,1345
12405,377.20,17:16:41,0.4,-14.2,1345
12406,377.20,17:16:41,-2.7,-13.2,1510
12407,377.20,17:16:41,-2.7,-13.2,1510
12408,376.90,17:16:54,4.2,-13.2,1198
12409,376.90,17:16:54,4.2,-13.2,1198
12410,377.00,17:17:57,3.9,-13.4,1184
12411,377.00,17:17:57,3.9,-13.4,1184
12412,375.60,17:18:32,0.4,-14.3,1383
12413,375.60,17:18:32,0.4,-14.3,1383
12414,375.20,17:18:50,0.4,-13.7,1321
12415,375.20,17:18:50,0.4,-13.7,1321
12416,375.50,17:18:59,-0.4,-14.6,1353
12417,375.50,17:18:59,-0.4,-14.6,1353
12418,375.70,17:19:01,1.6,-14.3,1334
12419,375.70,17:19:01,1.6,-14.3,1334
12420,376.60,17:19:25,-3.7,-13.1,1483
12421,376.60,17:19:25,-3.7,-13.1,1483
12422,377.50,17:19:59,-2.1,-13.6,1383
12423,377.50,17:19:59,-2.1,-13.6,1383
12424,377.80,17:22:05,-3.1,-13.3,1499
12425,377.80,17:22:05,-3.1,-13.3,1499
12426,379.00,17:23:17,0.1,-14.5,1291
12427,379.00,17:23:17,0.1,-14.5,1291
12428,378.70,17:23:39,-4.4,-13.0,1704
12429,378.70,17:23:39,-4.4,-13.0,1704
12430,378.40,17:23:43,5.6,-13.4,1151
12431,378.40,17:23:43,5.6,-13.4,1151
12432,377.40,17:23:54,4.6,-14.1,1135
12433,377.40,17:23:54,4.6,-14.1,1135
