date	time	N	E	H	H-455	compass	P_hpa0	T0,C	P_hpa1	T1,C	dP,kpa	U15,V	U5,V	Uac,V	I,A	Tpow,C	Tmos,C	Bot,C	Top,C
14	113729	5147.8213	10423.3205	 458.9	   3.9	2033	  968.2	 25.4	  966.4	 -4.0	-10.96	14.98	5.15	18.76	2.62	29.75	-2.25	19.1	23.6	1
14	113828	5147.8215	10423.3208	 459.1	   4.1	2235	  967.9	 24.6	  966.3	 -4.0	-10.96	14.98	5.16	18.76	2.60	29.25	-2.00	19.5	22.0	2
14	113929	5147.8216	10423.3209	 459.7	   4.7	2070	  966.2	 24.0	  964.9	 -4.0	-5.48	14.98	5.16	18.77	2.67	29.00	-1.75	19.8	22.0	3
14	114029	5147.8216	10423.3208	 460.8	   5.8	2081	  964.6	 23.6	  963.5	 -3.9	-5.48	14.98	5.16	18.77	2.60	28.75	-1.75	20.2	22.2	4
14	114129	5147.8215	10423.3206	 462.3	   7.3	2065	  963.1	 23.4	  961.9	 -3.9	0.00	14.98	5.16	18.77	2.62	29.25	-2.25	20.5	22.3	5
14	114229	5147.8214	10423.3196	 466.8	  11.8	1939	  961.6	 23.2	  960.4	 -3.8	2.74	14.98	5.16	18.77	2.64	28.75	-2.00	20.8	22.5	6
14	114329	5147.8208	10423.3180	 470.7	  15.7	1875	  960.1	 23.1	  959.0	 -3.8	10.96	14.98	5.16	18.77	2.59	28.75	-2.00	21.0	22.6	7
14	114429	5147.8198	10423.3159	 473.6	  18.6	1932	  958.7	 23.1	  957.2	 -3.8	19.18	14.98	5.16	18.77	2.62	28.50	-2.00	21.2	22.6	8
14	114529	5147.8188	10423.3140	 475.8	  20.8	1962	  957.1	 23.1	  955.8	 -3.8	27.40	14.98	5.15	18.77	2.62	28.75	-2.25	21.4	22.9	9
14	114629	5147.8186	10423.3142	 491.2	  36.2	1982	  956.5	 23.1	  955.4	 -3.9	27.40	14.98	5.16	18.77	2.65	28.75	-2.00	21.5	23.0	10
14	114729	5147.8187	10423.3152	 502.2	  47.2	2250	  956.6	 23.1	  955.4	 -3.9	32.88	14.98	5.16	18.77	2.60	28.50	-2.50	21.6	23.1	11
14	114829	5147.8188	10423.3160	 506.8	  51.8	2319	  956.5	 23.2	  955.4	 -4.0	35.62	14.98	5.16	18.77	2.65	28.50	-2.25	21.8	23.1	12
14	114929	5147.8187	10423.3167	 510.2	  55.2	2446	  956.6	 23.2	  955.5	 -4.0	41.10	14.98	5.15	18.77	2.59	28.50	-2.00	21.9	23.3	13
14	115029	5147.8187	10423.3171	 512.6	  57.6	2337	  956.5	 23.3	  955.4	 -4.0	46.58	14.98	5.15	18.77	2.57	28.00	-2.00	22.0	23.4	14
14	115129	5147.8188	10423.3172	 514.0	  59.0	2257	  956.4	 23.3	  955.3	 -4.1	49.32	14.99	5.16	18.77	2.60	28.50	-2.00	22.0	23.5	15
14	115229	5147.8190	10423.3175	 518.3	  63.3	2174	  956.4	 23.4	  955.4	 -4.1	49.32	14.98	5.15	18.77	2.60	28.25	-2.00	22.1	23.6	16
14	115329	5147.8192	10423.3178	 522.1	  67.1	2192	  956.4	 23.4	  955.3	 -4.1	49.32	14.98	5.15	18.78	2.65	28.25	-2.00	22.2	23.8	17
14	115429	5147.8194	10423.3183	 525.1	  70.1	2246	  956.5	 23.5	  955.4	 -4.1	46.58	14.98	5.16	18.77	2.59	28.25	-2.25	22.3	23.8	18
14	115529	5147.8196	10423.3186	 526.8	  71.8	2275	  956.4	 23.5	  955.4	 -4.1	49.32	14.98	5.16	18.77	2.64	28.50	-2.50	22.4	25.7	19
14	115629	5147.8196	10423.3187	 527.6	  72.6	2267	  956.3	 23.6	  955.2	 -4.2	57.54	14.98	5.15	18.78	2.60	28.50	-2.25	22.4	24.0	20
14	115729	5147.8197	10423.3189	 528.6	  73.6	2347	  955.0	 23.7	  954.1	 -4.2	65.76	14.98	5.16	18.77	2.62	28.25	-2.25	22.5	24.1	21
14	115829	5147.8196	10423.3192	 531.3	  76.3	2293	  953.5	 23.7	  952.6	 -4.2	71.24	14.98	5.15	18.77	2.59	28.25	-2.25	22.6	26.0	22
14	115929	5147.8195	10423.3204	 545.1	  90.1	2366	  951.5	 23.8	  950.5	 -4.2	79.46	14.98	5.15	18.77	2.64	28.25	-2.25	22.6	24.2	23
14	120029	5147.8195	10423.3210	 562.5	 107.5	2376	  949.5	 23.8	  948.5	 -4.3	87.68	14.98	5.15	18.77	2.60	28.50	-2.00	22.7	24.3	24
14	120129	5147.8194	10423.3216	 580.7	 125.7	2315	  947.5	 23.9	  946.7	 -4.3	101.38	14.98	5.16	18.78	2.60	28.50	-2.00	22.8	24.3	25
14	120229	5147.8193	10423.3218	 598.0	 143.0	2361	  945.6	 24.0	  944.5	 -4.4	109.60	14.98	5.16	18.77	2.60	28.75	-2.00	22.9	24.5	26
14	120329	5147.8198	10423.3219	 613.0	 158.0	2118	  943.9	 24.0	  942.3	 -4.5	126.04	14.98	5.15	18.77	2.60	28.50	-2.00	23.0	24.5	27
14	120429	5147.8199	10423.3215	 625.2	 170.2	1987	  943.6	 24.1	  942.1	 -4.5	120.56	14.98	5.15	18.77	2.62	28.75	-2.00	23.0	24.6	28
14	120529	5147.8200	10423.3212	 630.2	 175.2	2099	  943.7	 24.1	  942.2	 -4.6	120.56	14.97	5.15	18.78	2.60	28.50	-2.25	23.1	24.7	29
14	120629	5147.8201	10423.3214	 633.2	 178.2	2455	  943.8	 24.2	  942.1	 -4.7	120.56	14.98	5.16	18.77	2.64	28.75	-2.25	23.1	24.7	30
14	120729	5147.8201	10423.3217	 634.3	 179.3	2577	  943.8	 24.3	  942.0	 -4.7	120.56	14.98	5.16	18.77	2.57	29.00	-2.25	23.2	24.8	31
14	120829	5147.8201	10423.3218	 635.0	 180.0	2352	  943.9	 24.3	  942.2	 -4.8	123.30	14.98	5.16	18.77	2.60	29.00	-2.50	23.3	24.8	32
14	120929	5147.8201	10423.3219	 635.7	 180.7	2403	  943.8	 24.4	  942.0	 -4.8	117.82	14.98	5.15	18.78	2.48	28.75	-2.25	23.4	24.9	33
14	121029	5147.8201	10423.3220	 636.5	 181.5	2505	  943.8	 24.4	  941.9	 -4.8	115.08	14.97	5.15	18.77	2.65	29.00	-2.25	23.4	24.9	34
14	121129	5147.8200	10423.3221	 637.2	 182.2	2415	  943.8	 24.5	  942.1	 -4.9	117.82	14.98	5.15	18.77	2.59	29.00	-2.00	23.4	24.9	35
14	121229	5147.8201	10423.3221	 638.0	 183.0	2083	  943.8	 24.6	  941.9	 -4.9	117.82	14.98	5.16	18.78	2.62	29.25	-2.25	23.5	25.1	36
14	121329	5147.8202	10423.3220	 638.8	 183.8	2203	  943.7	 24.6	  942.0	 -4.9	115.08	14.98	5.15	18.77	2.64	29.25	-2.50	23.6	25.0	37
14	121429	5147.8203	10423.3221	 639.6	 184.6	2412	  943.9	 24.7	  942.1	 -4.9	117.82	14.98	5.16	18.78	2.62	28.75	-2.50	23.6	25.1	38
14	121529	5147.8203	10423.3223	 640.3	 185.3	2403	  943.8	 24.7	  941.9	 -4.9	112.34	14.98	5.15	18.77	2.62	29.25	-2.50	23.6	25.3	39
14	121629	5147.8203	10423.3224	 641.1	 186.1	2380	  943.9	 24.8	  941.9	 -4.9	115.08	14.98	5.16	18.77	2.64	29.00	-2.50	23.6	25.3	40
14	121729	5147.8203	10423.3226	 641.9	 186.9	2586	  943.9	 24.8	  942.0	 -4.9	112.34	14.99	5.15	18.78	2.65	29.25	-2.25	23.9	25.4	41
