date	time	N	E	H	H-455	compass	P_hpa0	T0,C	P_hpa1	T1,C	dP,kpa	U15,V	U5,V	Uac,V	I,A	Tpow,C	Tmos,C	Bot,C	Top,C
13	125949	5147.8117	10423.3320	 552.4	  97.4	1863	  946.0	 19.3	  944.4	-14.1	-13.70	14.98	5.15	18.78	2.31	24.25	BaseAddr	11.8	15.8	1
13	130049	5147.8107	10423.3213	 605.4	 150.4	2706	  941.7	 19.4	  940.1	-13.8	-5.48	14.98	5.15	18.78	2.31	24.75	BaseAddr	12.0	15.8	2
13	130149	5147.8103	10423.3220	 641.5	 186.5	2778	  937.6	 19.5	  935.8	-13.5	2.74	14.98	5.15	18.78	2.31	24.75	BaseAddr	12.1	15.9	3
13	130249	5147.8112	10423.3210	 663.0	 208.0	3165	  933.9	 19.6	  932.8	-13.2	13.70	14.98	5.15	18.78	2.33	25.25	BaseAddr	12.2	16.0	4
13	130349	5147.8100	10423.3220	 673.2	 218.2	3114	  931.8	 19.8	  930.7	-12.8	35.62	14.99	5.15	18.77	2.34	25.25	BaseAddr	12.3	16.2	5
13	130449	5147.8112	10423.3288	 722.4	 267.4	2118	  928.9	 19.9	  927.7	-12.5	65.76	14.98	5.15	18.78	2.34	25.25	BaseAddr	12.4	16.3	6
13	130549	5147.8279	10423.3490	 750.3	 295.3	1560	  928.1	 20.0	  926.7	-12.1	101.38	14.98	5.15	18.78	2.31	25.75	BaseAddr	12.5	16.5	7
13	130649	5147.8241	10423.3511	 750.6	 295.6	1730	  928.2	 20.2	  927.2	-11.5	153.44	14.98	5.15	18.78	2.33	25.75	BaseAddr	12.7	16.7	8
13	130749	5147.8214	10423.3456	 752.5	 297.5	1590	  928.0	 20.3	  926.9	-10.8	191.80	14.98	5.15	18.78	2.31	25.75	BaseAddr	12.7	16.9	9
13	130849	5147.8295	10423.3467	 750.9	 295.9	1461	  928.2	 20.4	  926.7	-10.2	219.20	14.98	5.15	18.78	2.34	26.00	BaseAddr	12.9	18.4	10
13	130949	5147.8216	10423.3396	 753.0	 298.0	1534	  928.0	 20.6	  926.9	 -9.6	243.86	14.98	5.15	18.78	2.33	26.00	BaseAddr	12.9	17.2	11
13	131049	5147.8255	10423.3414	 753.6	 298.6	1424	  928.1	 20.7	  926.9	 -9.1	260.30	14.99	5.15	18.78	2.33	26.50	BaseAddr	13.0	17.4	12
13	131149	5147.8246	10423.3429	 753.7	 298.7	1677	  928.2	 20.9	  926.8	 -8.8	271.26	14.98	5.16	18.78	2.31	26.50	BaseAddr	13.2	17.5	13
13	131249	5147.8222	10423.3452	 752.3	 297.3	1639	  928.1	 21.1	  926.7	 -8.6	284.96	14.98	5.15	18.78	2.34	26.25	BaseAddr	13.2	17.7	14
13	131349	5147.8230	10423.3480	 752.9	 297.9	1531	  928.1	 21.2	  926.8	 -8.3	295.92	14.98	5.15	18.78	2.36	26.50	BaseAddr	13.3	17.8	15
13	132228	5147.8238	10423.3497	 751.0	 296.0	1506	  928.3	 22.3	  926.6	 -6.9	367.16	14.97	5.16	18.76	2.65	26.50	-8.00	14.1	19.1	16
13	132328	5147.8244	10423.3410	 753.0	 298.0	1478	  928.2	 22.4	  926.6	 -6.9	361.68	14.97	5.16	18.75	2.62	28.00	-7.50	14.2	19.2	17
13	132428	5147.8268	10423.3463	 752.6	 297.6	1456	  928.4	 22.6	  926.5	 -6.9	367.16	14.97	5.15	18.76	2.62	28.25	-7.50	14.3	19.3	18
13	132538	5147.8260	10423.3482	 751.8	 296.8	1478	  928.5	 22.7	  926.6	 -7.0	372.64	14.97	5.15	18.76	2.62	28.25	-7.25	14.4	19.4	19
13	132729	5147.8259	10423.3475	 751.7	 296.7	1446	  928.5	 23.0	  926.6	 -6.8	389.08	14.98	5.15	18.76	2.62	28.25	-7.25	14.6	19.7	20
13	132829	5147.8323	10423.3579	 750.5	 295.5	1358	  928.6	 23.1	  926.9	 -6.6	391.82	14.97	5.16	18.75	2.68	28.75	-7.00	14.7	19.9	21
13	132929	5147.8275	10423.3560	 751.2	 296.2	1519	  928.6	 23.2	  927.3	 -6.3	400.04	14.97	5.15	18.76	2.64	28.75	-7.00	14.8	20.0	22
13	133038	5147.8285	10423.3573	 752.6	 297.6	1464	  928.5	 23.3	  927.4	 -6.1	413.74	14.97	5.16	18.76	2.64	29.00	-6.75	14.9	20.1	23
13	133230	5147.8380	10423.3691	 766.9	 311.9	1541	  926.6	 23.6	  925.8	 -6.0	430.18	14.97	5.15	18.75	2.64	29.25	-6.00	15.1	20.3	24
13	133330	5147.8443	10423.3974	 780.3	 325.3	1300	  924.8	 23.7	  923.6	 -5.4	515.12	14.97	5.16	18.76	2.60	29.25	-6.00	15.1	20.4	25
13	133440	5147.8444	10423.4097	 798.3	 343.3	1437	  923.0	 23.9	  922.4	 -3.9	567.18	14.98	5.16	18.76	2.60	29.75	-6.00	15.1	20.5	26
13	133540	5147.8435	10423.4235	 815.2	 360.2	1427	  920.9	 24.0	  920.8	 -2.3	630.20	14.97	5.15	18.76	2.65	29.75	-5.75	15.2	20.6	27
13	133731	5147.8467	10423.4482	 853.0	 398.0	1563	  916.5	 24.3	  916.1	  0.0	698.70	14.97	5.16	18.76	2.64	29.75	-5.50	15.3	20.8	28
13	133841	5147.8456	10423.4660	 868.4	 413.4	1559	  915.1	 24.4	  914.4	  0.8	750.76	14.96	5.16	18.75	2.62	30.25	-4.75	15.3	20.9	29
13	133941	5147.8447	10423.4696	 870.2	 415.2	1584	  915.1	 24.3	  915.0	  1.5	753.50	14.97	5.15	18.76	2.59	29.25	-4.50	15.6	21.0	30
13	134041	5147.8457	10423.4714	 867.5	 412.5	1588	  915.1	 23.9	  915.3	  2.0	739.80	14.97	5.15	18.76	2.64	29.00	-4.25	15.9	21.0	31
13	134242	5147.8444	10423.4744	 865.8	 410.8	1583	  915.4	 23.3	  915.1	  2.4	728.84	14.97	5.16	18.76	2.62	29.50	-3.25	16.5	20.9	32
13	134342	5147.8427	10423.4738	 867.1	 412.1	1599	  915.3	 23.1	  915.1	  2.6	731.58	14.97	5.16	18.76	2.60	29.00	-2.75	16.7	21.0	33
13	134442	5147.8418	10423.4720	 867.0	 412.0	1580	  915.2	 23.0	  914.8	  2.7	723.36	14.97	5.15	18.76	2.60	29.50	-2.25	16.9	21.0	34
13	134542	5147.8428	10423.4713	 868.4	 413.4	1592	  915.4	 22.9	  914.9	  2.7	753.50	14.97	5.16	18.73	3.01	29.00	-2.25	17.2	21.1	35
13	134743	5147.8421	10423.4723	 867.5	 412.5	1529	  915.4	 22.6	  914.9	  2.7	761.72	14.97	5.15	18.73	3.01	28.50	-1.00	17.6	20.9	36
13	134843	5147.8380	10423.4741	 866.8	 411.8	1627	  915.3	 22.4	  915.1	  2.6	739.80	14.97	5.15	18.76	2.65	28.75	-0.75	17.9	21.0	37
13	134943	5147.8367	10423.4743	 867.2	 412.2	1628	  915.2	 22.3	  914.8	  2.6	676.78	14.97	5.15	18.74	2.90	28.00	-0.25	18.2	21.0	38
13	135043	5147.8370	10423.4740	 867.2	 412.2	1559	  915.0	 22.2	  914.9	  2.6	695.96	14.97	5.16	18.73	2.90	28.00	0.25	18.4	21.0	39
13	135618	5147.8355	10423.4566	 875.7	 420.7	1575	  914.0	 21.6	  914.2	  2.4	635.68	14.97	5.16	18.75	2.91	27.25	1.50	19.4	21.1	40
13	135718	5147.8280	10423.4592	 874.4	 419.4	1614	  914.0	 21.6	  914.2	  2.3	594.58	14.97	5.15	18.74	2.91	27.00	1.50	19.4	21.2	41
13	135818	5147.8240	10423.4521	 878.7	 423.7	1608	  913.8	 21.6	  914.1	  2.1	638.42	14.97	5.15	18.75	2.87	27.00	1.50	19.6	21.2	42
13	135918	5147.8177	10423.4525	 878.2	 423.2	1697	  913.9	 21.6	  914.5	  2.0	613.76	14.97	5.15	18.74	2.90	27.00	1.50	19.7	21.2	43
13	140119	5147.8080	10423.4549	 877.6	 422.6	1700	  914.0	 21.6	  914.0	  1.4	602.80	14.97	5.15	18.74	2.93	27.00	2.00	19.9	21.5	44
13	140219	5147.7984	10423.4498	 876.7	 421.7	1800	  913.9	 21.7	  913.9	  1.2	569.92	14.97	5.15	18.74	2.91	27.00	2.25	20.0	21.4	45
13	140319	5147.7927	10423.4481	 876.1	 421.1	1739	  914.0	 21.7	  913.8	  1.0	578.14	14.97	5.15	18.75	2.88	27.75	2.00	20.1	21.6	46
13	140419	5147.7825	10423.4361	 877.6	 422.6	1877	  913.9	 21.8	  913.8	  0.7	537.04	14.97	5.15	18.74	2.87	27.75	2.25	20.2	21.6	47
13	140620	5147.7876	10423.4194	 886.9	 431.9	1809	  913.2	 21.9	  913.0	  0.4	542.52	14.97	5.15	18.73	2.93	27.00	2.25	20.4	21.8	48
13	140720	5147.7836	10423.4132	 887.7	 432.7	2012	  913.2	 21.9	  913.0	  0.2	520.60	14.97	5.16	18.74	2.91	27.50	2.25	20.5	21.9	49
13	140820	5147.7716	10423.4119	 884.7	 429.7	1938	  913.7	 22.0	  913.7	  0.1	479.50	14.97	5.15	18.74	2.90	27.50	1.50	20.4	21.9	50
13	140920	5147.7706	10423.4210	 881.2	 426.2	1930	  913.8	 22.1	  913.7	  0.1	528.82	14.97	5.15	18.74	2.90	27.50	1.75	20.5	22.0	51
13	141121	5147.7559	10423.4127	 879.0	 424.0	1760	  914.7	 22.2	  914.5	  0.1	515.12	14.97	5.15	18.74	2.88	27.50	1.50	20.7	22.1	52
13	141221	5147.7514	10423.4184	 872.8	 417.8	1717	  915.1	 22.3	  914.8	 -0.1	482.24	14.97	5.15	18.75	2.87	27.75	1.50	20.8	22.1	53
13	141321	5147.7452	10423.4122	 870.5	 415.5	1615	  915.2	 22.4	  914.7	 -0.3	487.72	14.97	5.15	18.74	2.90	27.75	1.50	20.9	22.1	54
13	141421	5147.7492	10423.4125	 873.4	 418.4	1910	  915.0	 22.4	  914.5	 -0.5	498.68	14.97	5.15	18.74	2.94	27.50	1.50	20.8	21.9	55
13	141622	5147.7641	10423.4177	 877.1	 422.1	1853	  914.4	 22.5	  913.6	 -0.6	493.20	14.97	5.15	18.73	2.93	27.75	1.50	20.9	22.1	56
13	141722	5147.7492	10423.4147	 871.7	 416.7	2065	  914.9	 22.6	  914.2	 -0.6	460.32	14.97	5.16	18.73	2.96	28.00	1.50	21.0	22.1	57
13	141822	5147.7669	10423.4276	 876.5	 421.5	1517	  914.7	 22.6	  914.2	 -0.5	495.94	14.97	5.16	18.74	2.90	28.25	1.50	21.0	22.1	58
13	141922	5147.7689	10423.4283	 877.4	 422.4	1762	  914.8	 22.7	  914.2	 -0.3	515.12	14.97	5.16	18.73	2.91	28.00	1.00	21.0	22.2	59
13	142123	5147.7701	10423.4294	 877.4	 422.4	1497	  914.7	 22.7	  914.4	  0.1	534.30	14.97	5.16	18.74	2.90	28.00	1.00	21.2	22.2	60
13	142223	5147.7688	10423.4387	 873.9	 418.9	1756	  915.1	 22.8	  914.5	  0.3	526.08	14.97	5.16	18.74	2.91	28.00	1.00	21.2	22.2	61
13	142323	5147.7722	10423.4339	 877.9	 422.9	1786	  914.7	 22.8	  913.9	  0.5	528.82	14.97	5.15	18.74	2.94	28.00	1.00	21.1	22.3	62
13	142422	5147.7735	10423.4372	 876.9	 421.9	1900	  914.8	 22.8	  913.8	  0.7	526.08	14.97	5.16	18.74	2.85	28.25	1.25	21.2	22.4	63
