EID,UTC,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
10723,2013-03-09  19:35:01,82,4314,242,239,240,239,93,602.6,1.0,25.03204,0.1969625,1963.488,286.247,78.439,1453.307,56.0,0.8011060999999999,2.051072,2.0,58.0,5.0,11.311158262606089,127.09036432958194
10727,2013-03-09  19:40:31,106,5088,241,239,281,239,213,602.8,0.0,0.1862376,0.04872587,198.297,99.415,1064.753,2040.292,7.0,0.9424778,2.222049,1.680336,16.0,17.0,0.7117271967820481,3.8221495989811625
10731,2013-03-09  19:44:32,20,159,239,228,470,228,237,602.1,1.0,6.682600999999999,0.4576142,169.15,50.483999999999995,25.311999999999998,110.32,8.0,0.26703540000000003,0.8164965999999999,1.581139,9.0,2.0,8.714213261880085,14.603132824699388
10735,2013-03-09  19:45:55,26,424,245,240,241,240,46,603.7,1.0,15.21332,0.5870359,269.58,87.348,17.72,148.795,11.0,0.5497787,1.322876,1.5,20.0,4.0,5.66946561884863,25.915483973656244
10737,2013-03-09  19:54:32,9,550,240,239,240,239,517,599.4,1.0,1000.0,1.719479,397.392,231.055,0.0,134.375,14.0,0.4869469,1.130388,2.12132,18.0,8.0,4.222417435429251,1000.0
10739,2013-03-09  19:54:42,22,836,242,241,241,241,9,599.7,1.0,14.77226,1.726631,373.103,243.00599999999997,25.256999999999998,140.74,22.0,0.2827433,0.6741999,2.236068,22.0,11.0,6.633249278144361,8.555541982503305
10741,2013-03-09  20:00:34,8,573,238,237,238,237,352,602.0,1.0,8.001516,6.833428,343.105,312.47900000000004,42.88,45.728,17.0,0.1570796,0.6882472,1.290994,19.0,18.0,1.9799802874445245,1.1709373019120617
10743,2013-03-09  20:01:22,45,17584,240,238,240,238,48,602.2,1.0,77.9061,0.7878090999999999,8919.235999999999,3771.158,114.48700000000001,4786.893,74.0,0.7696901999999999,1.7025669999999995,2.144761,79.0,10.0,9.951803306419071,98.8895661533895
10745,2013-03-09  20:02:00,16,918,243,241,242,241,38,602.5,1.0,11.21671,0.507392,477.417,160.002,42.563,315.342,19.0,0.2984513,1.618347,0.7745966999999999,21.0,5.0,2.010264881388231,22.10660517455417
10747,2013-03-09  20:02:05,12,271,242,237,242,237,5,602.5,1.0,5.691371,0.1310701,202.425,20.154,35.567,153.765,11.0,0.439823,1.0,2.0,14.0,1.0,28.0,43.42233278047003
