,EID,I_coef,p0_1,p1_1,p0_2,p1_2,p0_3,p1_3,p0_4,p1_4,p0_5,p1_5,p0_6,p1_6,p0_7,p1_7,p0_8,p1_8,p0_9,p1_9,p0_10,p1_10,p0_11,p1_11,p0_12,p1_12,p0_13,p1_13,p0_14,p1_14,p0_15,p1_15,p0_16,p1_16,p0_17,p1_17,p0_18,p1_18,p0_19,p1_19,p0_20,p1_20,p0_21,p1_21,p0_22,p1_22,p0_23,p1_23,p0_24,p1_24,p0_25,p1_25,p0_26,p1_26,p0_27,p1_27,p0_28,p1_28,p0_29,p1_29,p0_30,p1_30,p0_31,p1_31,p0_32,p1_32,p0_33,p1_33,p0_34,p1_34,p0_35,p1_35,p0_36,p1_36,p0_37,p1_37,p0_40,p1_40,p0_41,p1_41,p0_44,p1_44,p0_45,p1_45,p0_48,p1_48,p0_49,p1_49,p0_52,p1_52,p0_53,p1_53,p0_56,p1_56,p0_57,p1_57,p0_60,p1_60,p0_61,p1_61
539,24205,0.9745458218496124,50.0,49.0,49.0,47.0,48.0,50.0,48.0,46.0,47.0,49.0,46.0,49.0,47.0,48.0,48.0,46.0,48.0,49.0,44.0,50.0,44.5,50.5,47.0,49.0,49.0,49.0,50.0,48.5,48.0,49.0,49.0,47.0,48.0,50.0,50.0,44.0,42.0,52.0,51.0,45.0,49.0,48.5,45.0,52.0,51.0,54.0,49.0,47.0,44.0,53.0,48.0,53.0,48.0,46.0,50.0,52.0,46.0,48.0,47.5,48.0,51.0,47.0,49.0,50.0,48.5,51.0,49.0,52.0,47.0,55.0,49.0,55.0,48.0,48.0,52.0,48.0,47.0,51.0,51.0,51.0,50.0,50.5,49.0,49.0,49.0,47.0,51.5,46.5,49.0,55.0,51.0,60.0,49.0,47.0,47.0,51.0,49.0,55.0
540,24207,0.9745458218496124,49.5,48.0,48.0,46.0,48.5,50.0,49.0,45.0,46.0,49.0,47.0,49.0,48.0,48.0,49.0,47.5,48.0,49.0,45.0,49.5,45.0,51.0,48.0,49.5,48.0,51.0,49.0,49.0,48.0,50.0,49.0,46.5,47.0,50.0,50.0,45.0,41.0,51.0,51.0,45.0,48.0,48.0,45.0,52.0,51.0,54.0,48.0,47.0,42.0,52.5,49.0,52.0,47.5,47.0,50.0,52.0,45.0,49.0,47.0,47.0,51.0,48.0,50.0,50.0,48.0,51.0,49.0,52.0,47.5,56.0,49.0,55.0,47.0,47.0,52.0,48.0,47.0,50.0,51.0,51.0,50.0,50.0,48.5,49.0,48.0,48.0,51.0,46.5,49.0,54.5,52.0,59.0,49.0,47.0,47.0,51.0,50.0,56.0
541,24209,0.9745458218496124,50.0,48.0,49.0,47.0,49.0,49.5,49.0,46.0,47.0,50.0,47.0,48.0,48.0,49.0,49.0,46.0,48.0,50.0,44.5,50.0,46.5,51.0,47.0,49.0,48.0,51.0,50.0,49.0,48.0,50.0,49.5,47.0,47.5,50.5,52.0,45.0,42.0,53.0,50.0,45.0,50.0,50.0,46.0,52.0,51.0,54.0,49.0,48.0,44.0,53.0,49.0,53.0,48.0,47.0,51.0,52.0,46.0,48.5,48.0,48.0,51.0,49.0,49.5,51.0,48.0,52.0,49.0,52.0,47.0,57.0,49.0,55.5,48.0,48.0,52.0,48.0,47.0,50.5,51.0,52.0,50.0,51.0,48.5,50.0,48.5,47.0,52.0,47.0,49.0,54.0,51.0,59.0,49.0,48.5,47.0,52.0,50.0,56.0
542,24211,0.9745458218496124,50.0,48.0,49.0,48.0,49.5,50.0,49.0,45.0,47.0,50.0,47.0,50.0,48.0,48.5,49.0,47.0,48.0,49.5,45.0,50.0,46.0,50.0,47.0,49.5,48.0,50.0,49.0,49.0,47.0,49.0,49.0,47.0,48.0,51.0,51.5,45.0,42.0,52.0,50.0,45.0,49.0,48.0,46.0,52.0,51.0,54.0,49.0,47.0,43.5,52.0,49.0,53.0,47.0,47.0,51.0,52.0,47.0,48.0,48.0,48.0,51.0,48.0,50.5,50.0,50.0,52.0,48.0,52.0,48.0,56.0,49.0,54.0,48.0,48.0,52.0,48.0,47.5,51.0,51.0,51.0,49.5,50.0,48.0,50.0,49.0,47.0,51.0,47.0,50.0,54.0,51.0,60.0,49.0,47.0,47.0,52.0,50.0,56.0
543,24213,0.9745458218496124,50.0,48.0,49.0,47.0,49.0,49.5,49.0,46.0,47.0,50.0,46.0,48.0,48.0,48.0,49.0,47.0,48.0,50.0,45.0,50.0,46.0,52.0,47.0,49.0,48.5,50.0,50.0,49.5,47.0,50.0,49.0,47.0,48.0,50.0,51.0,45.0,42.0,52.0,51.0,45.5,49.0,49.0,45.0,51.0,51.0,54.0,49.0,48.0,43.0,53.0,49.0,52.0,47.0,47.0,51.0,52.0,46.0,49.0,47.0,47.0,51.0,48.0,50.0,50.0,48.0,51.0,48.0,52.0,47.0,56.0,50.0,55.0,48.0,48.0,52.0,48.0,47.0,50.0,51.0,52.0,50.0,50.0,48.0,50.0,49.0,47.0,51.0,46.0,49.0,54.0,51.0,60.0,50.0,48.0,47.0,53.0,50.0,57.0
544,24215,0.9745458218496124,50.0,48.0,49.0,46.0,49.0,50.0,49.0,45.0,46.0,50.0,47.0,49.0,48.0,49.0,49.0,46.0,49.0,49.0,45.0,50.0,46.0,51.0,47.0,49.0,49.0,50.5,49.0,49.5,47.0,50.0,50.0,47.0,48.0,50.0,50.0,44.0,41.0,51.0,52.0,45.0,49.0,48.0,45.0,51.0,51.0,54.0,50.0,48.0,42.5,53.0,48.5,53.0,48.0,47.0,51.0,52.0,46.5,48.0,48.0,48.0,51.5,48.0,50.0,49.0,49.0,52.0,49.0,52.0,48.0,56.0,49.0,54.0,48.0,48.0,52.0,48.0,46.0,49.5,50.0,51.0,50.0,50.0,48.0,50.0,49.0,48.0,51.0,47.0,49.0,55.0,51.0,60.0,49.5,47.0,47.0,52.0,50.0,56.0
545,24217,0.9745458218496124,50.0,48.0,50.0,47.5,49.0,49.0,49.0,46.0,47.0,49.0,46.5,48.0,48.0,48.0,49.0,46.0,48.0,50.0,45.0,50.0,46.0,50.0,46.5,50.0,49.0,50.0,49.0,49.0,48.0,49.0,48.5,46.0,48.0,49.0,51.0,45.0,42.0,51.0,51.0,45.0,49.0,48.0,45.0,51.0,51.0,54.0,49.0,47.0,43.0,52.0,48.0,52.0,48.0,47.0,50.0,52.0,46.0,47.0,49.0,48.0,51.0,47.5,49.0,50.0,48.0,52.0,48.0,52.0,47.0,55.0,50.0,55.0,48.0,48.0,52.0,48.0,46.0,49.0,51.0,50.0,49.0,50.0,49.0,51.0,48.0,48.0,52.0,47.0,49.0,55.0,51.0,59.0,49.0,47.0,47.0,52.0,49.0,55.0
546,24219,0.9745458218496124,50.0,49.0,49.0,47.0,49.0,50.0,50.0,46.0,47.0,49.0,47.0,49.0,48.0,48.0,50.0,47.0,48.0,49.0,45.0,50.0,46.0,51.5,47.0,49.0,49.0,50.0,50.0,49.0,47.0,50.0,49.0,46.0,48.0,51.0,51.0,45.0,42.0,51.5,50.0,45.5,49.0,48.0,45.0,52.0,51.0,54.0,49.0,48.0,43.0,52.5,48.0,53.0,47.0,47.0,51.0,52.0,47.0,48.0,47.0,48.0,51.0,48.0,49.0,49.0,49.0,51.0,49.0,52.0,47.0,56.0,50.0,55.0,48.0,47.5,52.0,48.0,48.0,51.0,51.0,52.0,50.0,50.0,48.0,51.0,49.0,48.0,51.0,47.0,49.0,55.0,51.5,60.0,49.0,48.0,46.0,51.5,49.5,55.5
547,24223,0.9745458218496124,51.0,48.0,50.0,47.0,50.0,50.0,49.0,45.5,47.0,50.0,47.0,49.0,48.0,48.0,49.0,47.0,48.0,50.0,46.0,50.0,46.0,51.0,47.0,49.0,49.0,50.0,50.0,50.5,47.5,50.0,49.0,47.0,47.5,51.0,51.0,45.0,41.0,52.0,51.0,45.0,49.0,48.0,45.0,51.0,51.0,54.0,49.5,48.0,43.5,52.0,49.0,53.0,48.5,46.0,50.0,52.0,46.0,48.0,48.0,48.0,51.0,48.0,50.0,51.0,49.0,52.0,48.5,52.0,48.0,57.0,50.0,56.0,48.0,48.0,52.0,48.0,47.5,50.0,50.0,51.0,50.0,50.0,49.0,50.0,49.5,48.0,51.0,47.0,49.0,54.0,51.0,59.0,49.0,47.0,48.0,52.5,49.0,56.0
548,24225,0.9745458218496124,50.0,49.0,49.0,46.0,50.0,50.0,49.0,46.0,46.0,50.0,46.0,51.0,48.5,48.0,49.0,46.0,48.0,50.0,45.0,50.0,46.0,51.0,47.0,49.5,49.0,50.0,50.0,49.0,48.0,50.0,49.0,46.5,48.0,51.0,51.0,45.0,41.0,52.0,50.0,45.0,50.0,48.0,45.0,51.0,51.0,54.0,49.0,48.0,43.0,52.0,49.0,53.0,49.0,47.0,51.0,52.0,46.0,48.0,48.0,48.0,51.0,48.0,49.5,49.0,48.0,52.0,49.0,52.0,47.5,56.0,50.0,54.5,47.0,47.0,52.0,48.0,47.0,50.0,51.0,51.0,51.0,50.0,49.0,50.0,49.0,47.0,52.0,47.0,49.0,54.0,52.0,60.0,49.0,48.0,46.0,52.0,50.0,57.0
549,24227,0.9745458218496124,50.0,48.0,50.0,47.0,49.0,49.0,49.0,47.0,47.0,49.0,47.0,50.0,48.0,48.0,49.0,47.5,48.0,50.0,45.0,50.0,46.0,52.0,47.0,49.0,49.0,51.0,49.0,49.0,48.0,50.0,50.0,47.0,48.0,51.0,50.0,45.0,42.0,51.0,51.0,45.0,49.0,47.5,45.0,52.0,51.0,54.0,48.5,47.0,43.5,52.0,49.0,53.0,48.0,47.0,51.0,53.0,46.0,48.0,48.0,47.0,51.0,48.0,50.0,50.5,49.0,51.0,49.0,52.0,48.5,56.5,50.0,55.0,48.0,48.0,52.0,48.0,47.5,51.0,50.5,52.0,51.0,50.0,49.0,50.0,49.0,46.5,51.0,47.0,49.0,54.0,51.0,60.0,50.0,48.0,47.0,52.0,50.0,56.5
550,24229,0.9745458218496124,51.0,48.0,49.0,47.0,49.0,50.0,50.0,46.0,46.0,49.0,47.0,49.0,48.0,49.0,49.0,47.0,49.0,50.0,44.0,50.0,45.0,51.0,47.0,49.0,50.0,50.0,49.0,49.0,46.0,50.0,49.0,47.0,48.0,50.0,51.0,45.0,42.0,52.0,51.0,45.0,49.0,48.0,45.0,51.0,51.0,54.0,49.0,48.0,43.0,51.0,49.0,52.0,48.0,47.0,51.0,52.0,46.0,47.5,48.0,47.0,51.0,48.0,50.0,50.0,49.0,51.5,49.0,52.0,48.0,55.5,49.0,55.0,48.0,48.0,52.0,48.0,47.0,50.5,50.0,51.0,50.0,50.0,48.0,50.0,49.0,48.0,51.0,47.0,50.0,55.0,51.0,59.5,48.0,47.0,47.0,52.0,50.0,56.0
551,24231,0.9745458218496124,51.0,49.0,50.0,48.0,49.0,50.0,50.0,46.0,46.0,49.5,47.0,50.0,48.0,49.0,49.0,47.0,47.5,50.0,44.0,49.0,46.0,52.0,47.0,49.0,48.0,50.0,49.0,50.0,46.0,49.0,49.0,47.0,47.5,50.0,51.0,45.0,41.0,52.0,51.0,45.0,50.0,49.0,46.0,51.0,51.0,54.0,49.0,47.0,44.0,53.0,49.0,53.0,47.0,47.0,51.0,53.0,47.5,48.5,48.0,48.0,51.0,48.0,49.0,50.0,48.0,52.0,49.0,52.0,48.0,56.0,49.0,54.5,48.0,48.0,52.0,48.0,47.0,50.0,51.0,51.0,50.0,50.0,49.0,50.0,49.0,48.0,51.0,47.0,49.0,54.0,52.0,60.0,49.0,48.0,47.0,53.0,50.5,56.0
552,24233,0.9745458218496124,50.5,48.0,49.0,48.5,49.0,50.0,50.5,46.5,47.0,50.0,48.0,49.0,48.0,48.0,49.0,46.5,48.0,49.0,45.0,51.0,46.0,50.5,47.0,49.0,49.0,50.0,51.0,51.0,48.0,50.0,50.0,47.0,48.0,50.0,51.0,45.5,41.5,51.0,51.0,46.0,50.0,49.0,45.0,51.0,51.0,54.0,48.0,48.0,43.0,53.0,49.0,53.0,49.0,47.0,51.0,52.0,47.0,49.0,48.0,48.0,51.0,48.0,49.0,51.0,49.0,52.5,49.0,52.0,47.0,57.0,49.0,54.0,48.0,48.0,52.0,48.0,47.0,50.0,51.0,51.0,50.0,50.0,49.0,49.0,48.5,47.5,51.0,46.5,50.0,53.0,51.0,60.0,50.0,47.0,48.0,53.0,50.0,56.0
553,24235,0.9745458218496124,49.5,47.5,48.0,45.5,49.0,49.0,50.0,46.0,47.0,50.0,47.0,49.0,47.0,49.0,49.0,46.5,47.0,49.0,45.0,50.0,46.0,51.0,47.0,49.0,49.0,51.0,50.0,49.0,48.0,50.0,49.0,46.0,48.0,51.0,50.5,44.0,41.0,52.0,52.0,45.0,48.0,48.0,45.0,51.0,51.0,54.0,48.0,48.0,43.0,52.0,49.0,53.0,47.0,47.0,51.0,52.0,46.0,48.0,48.0,48.0,51.0,48.0,51.0,50.0,49.0,51.0,49.0,52.0,48.0,56.0,49.0,55.0,48.0,48.0,52.0,48.0,46.0,50.5,50.0,50.0,50.0,50.0,48.0,49.0,49.0,48.0,52.0,47.0,49.0,55.0,51.0,59.0,49.0,48.0,47.0,52.0,50.0,56.0
554,24237,0.9745458218496124,50.0,48.0,49.5,48.0,49.0,49.0,49.0,45.0,47.0,49.0,47.0,49.0,48.0,49.0,50.0,47.0,48.0,50.0,44.0,50.0,46.0,51.0,47.0,49.0,49.0,50.0,50.0,50.0,48.0,49.0,50.0,47.0,48.0,51.0,51.0,46.0,40.5,51.0,51.0,45.0,50.0,48.5,45.0,51.0,51.0,54.0,49.0,48.0,43.0,53.0,48.0,53.0,48.0,48.0,51.0,53.0,46.0,47.0,47.0,47.0,50.0,47.0,50.0,50.0,49.5,52.0,49.0,52.0,48.0,57.0,49.0,55.0,48.0,48.0,52.0,48.0,47.0,50.0,51.0,51.5,50.5,51.0,49.0,50.5,49.0,47.5,51.0,47.0,49.0,55.0,51.0,60.0,49.0,47.0,47.0,52.0,50.0,56.0
555,24239,0.9745458218496124,50.0,48.5,50.0,48.0,49.0,49.0,50.0,46.0,47.0,48.5,47.0,50.0,48.0,49.0,49.0,46.0,48.0,50.0,46.0,50.0,46.0,51.0,47.0,49.0,49.0,50.5,50.0,50.0,48.0,50.0,49.0,46.0,48.0,50.0,50.0,45.0,41.0,52.0,51.0,45.0,50.0,49.0,46.0,52.0,51.0,54.0,49.0,47.0,44.0,52.0,49.0,53.0,48.0,48.0,51.0,53.0,46.0,48.0,49.0,48.0,51.0,48.0,49.0,49.0,48.0,52.0,49.0,52.0,47.0,56.0,50.0,55.0,48.0,48.0,52.0,48.0,48.0,50.0,50.0,51.0,50.0,49.0,49.0,50.0,48.5,47.0,52.0,47.0,50.0,54.0,52.0,60.0,49.0,48.0,47.0,52.0,49.0,57.0
556,24241,0.9745458218496124,50.0,48.0,49.0,47.0,50.0,50.0,49.0,46.0,47.0,49.5,47.0,49.0,48.0,48.0,49.0,47.0,48.0,50.0,45.0,50.0,46.0,51.0,47.0,49.5,49.0,50.0,50.0,49.0,48.0,50.0,49.0,46.0,48.0,50.0,50.0,45.0,42.0,53.0,51.0,45.5,50.0,49.0,45.0,51.0,51.0,54.0,49.5,48.0,42.0,52.0,49.0,53.0,48.0,46.0,51.0,52.0,46.0,48.0,48.0,48.0,51.0,48.0,50.0,51.0,49.0,51.0,49.0,52.0,48.0,56.0,48.5,55.0,48.0,48.0,52.0,48.0,47.0,51.0,51.0,51.0,50.0,51.0,48.0,49.0,48.0,47.0,51.0,47.5,50.0,55.0,50.5,59.5,49.0,46.0,47.0,52.0,50.0,56.5
557,24243,0.9745458218496124,50.0,49.0,49.0,47.0,49.0,50.0,50.0,46.0,47.0,49.5,46.0,50.0,48.0,48.0,48.0,46.0,48.0,50.0,45.0,50.0,46.0,51.0,47.0,50.0,49.0,50.0,50.0,48.0,49.0,49.0,49.0,46.5,48.0,50.0,50.5,45.0,42.0,52.0,50.0,45.0,50.0,49.0,45.5,51.0,51.0,54.0,49.0,48.0,43.0,52.0,49.0,53.0,48.0,48.0,51.0,52.0,45.0,48.0,48.0,48.5,50.0,47.5,50.0,50.0,48.0,50.5,49.0,52.0,48.0,55.0,49.0,54.0,48.0,47.0,52.0,48.0,47.0,49.0,50.0,51.0,51.0,50.0,49.0,49.5,48.0,47.5,51.0,47.0,49.0,54.0,51.5,60.0,49.0,47.5,46.5,52.0,50.0,57.0
558,24245,0.9745458218496124,50.0,49.0,50.0,47.5,49.0,50.0,50.0,45.0,47.0,50.0,47.0,50.0,48.0,48.0,49.0,46.0,48.0,50.0,44.0,50.0,46.0,51.0,47.0,50.0,49.0,50.0,50.0,49.0,47.0,49.0,50.0,46.0,48.0,50.0,51.0,46.0,42.0,52.0,51.0,45.0,49.0,47.5,46.0,51.5,51.0,54.0,49.0,48.0,43.0,52.0,49.0,53.0,48.0,46.5,51.0,52.0,46.0,48.5,48.0,48.0,51.0,48.0,50.0,50.0,48.0,51.0,49.0,52.0,47.5,56.0,49.0,54.5,48.0,48.0,52.0,48.0,48.0,51.0,51.0,51.0,51.0,50.0,49.0,51.0,48.5,47.0,51.0,47.0,49.0,55.0,50.5,59.5,49.0,47.0,47.0,52.0,50.5,56.0
559,24247,1.0,50.0,49.0,49.0,48.0,48.0,49.5,50.0,45.5,47.0,49.0,48.0,49.0,48.0,49.0,49.0,47.0,48.0,50.0,45.0,50.0,46.0,51.0,48.0,51.0,49.0,50.0,51.0,50.0,47.0,50.0,50.0,47.0,47.0,51.0,49.5,45.0,41.0,51.0,51.0,44.5,49.0,48.0,46.0,51.0,51.0,54.0,49.0,48.0,44.0,52.0,49.0,53.0,46.0,47.0,50.5,52.0,46.0,48.0,48.0,48.0,51.0,48.0,49.0,50.0,48.5,51.0,49.0,52.0,47.0,56.0,50.0,55.0,48.0,48.0,52.0,48.0,48.0,50.0,50.0,51.0,50.0,50.0,48.0,51.0,49.0,47.0,51.5,47.0,50.0,55.0,51.0,59.5,49.0,48.0,47.0,52.0,50.0,55.0
