,part,energy,angle,n,Q35,Q50,Q70,Q,QR35_70,QR70_150,QR50_200
0,p,10,00-20,0,6638755000.0,9312693000.0,12294381000.0,26789148417.0,5340296000.0,6557977900.0,11741271500.0
1,p,10,00-20,1,4902221000.0,7433032000.0,10688341000.0,32573439846.0,5417280000.0,8809426300.0,15282876600.0
2,p,10,00-20,2,4255926000.0,6441772000.0,9331204000.0,30904469941.0,4741578000.0,8355898400.0,14368918500.0
3,p,10,00-20,3,5649946000.0,8340468000.0,11649418000.0,31164168377.0,5632918000.0,8210576500.0,14429093300.0
4,p,10,00-20,4,1778271000.0,2976123000.0,4803048000.0,26400113314.0,2799413000.0,7094799700.0,11937547200.0
5,p,10,00-20,5,4082732000.0,6289913000.0,9256256000.0,31278337931.0,4829964000.0,8559562100.0,14729378300.0
6,p,10,00-20,6,4059325000.0,6270916000.0,9214724000.0,30453798807.0,4816202000.0,8289809900.0,14334343800.0
7,p,10,00-20,7,3799084000.0,5879541000.0,8691822000.0,30695523987.0,4565533000.0,8380389900.0,14369321700.0
8,p,10,00-20,8,3694755000.0,5750945000.0,8563938000.0,31011435451.0,4539900000.0,8493280200.0,14540442800.0
9,p,10,00-20,9,2366804000.0,3889264000.0,6156136000.0,30075478404.0,3513023000.0,8231057000.0,13861898900.0
10,p,10,00-20,10,2718395000.0,4371166000.0,6766459000.0,29630111857.0,3759570000.0,8173669800.0,13813704300.0
11,p,10,00-20,11,1826319000.0,2984873000.0,4718415000.0,26093016921.0,2679297000.0,6869973200.0,11585555100.0
12,p,10,00-20,12,2347242000.0,3892891000.0,6247178000.0,32103211148.0,3609663000.0,8924301100.0,14907887400.0
13,p,10,00-20,13,3231019000.0,5152067000.0,7863509000.0,31190039217.0,4310833000.0,8622616600.0,14677819100.0
14,p,10,00-20,14,1754000000.0,2904825000.0,4669565000.0,26481510454.0,2696967000.0,7099334700.0,11906483700.0
15,p,10,00-20,15,3007954000.0,4778304000.0,7266285000.0,29101451502.0,3963534000.0,7963874100.0,13573914000.0
16,p,10,00-20,16,1499140000.0,2565139000.0,4249829000.0,26400525202.0,2539439000.0,7026824000.0,11775905300.0
17,p,10,00-20,17,3540827000.0,5554486000.0,8338718000.0,31054640613.0,4470658000.0,8505033100.0,14559345500.0
18,p,10,00-20,18,4857226000.0,7136059000.0,9999890000.0,28527315303.0,4820350000.0,7526696500.0,13121618400.0
19,p,10,00-20,19,3846022000.0,5921250000.0,8715010000.0,30798386998.0,4543796000.0,8363625600.0,14341583000.0
20,p,10,00-20,20,3439059000.0,5461593000.0,8298241000.0,32124608920.0,4523954000.0,8856134000.0,15106904100.0
21,p,10,00-20,21,3047931000.0,4862480000.0,7439666000.0,30509911835.0,4084596000.0,8373858600.0,14239272800.0
22,p,10,00-20,22,4170837000.0,6365557000.0,9254622000.0,30752517711.0,4752358000.0,8285809900.0,14299532800.0
23,p,10,00-20,23,3540238000.0,5579483000.0,8407754000.0,31187180622.0,4535029000.0,8584864300.0,14694261600.0
24,p,10,00-20,24,2106880000.0,3453314000.0,5455636000.0,27464630654.0,3104732000.0,7416570200.0,12519291600.0
25,p,10,00-20,25,4183606000.0,6122994000.0,8510804000.0,22489938571.0,4062355000.0,5884165200.0,10359485900.0
26,p,10,00-20,26,2201467000.0,3622153000.0,5736601000.0,28069743283.0,3277211000.0,7660657500.0,12911411800.0
27,p,10,00-20,27,2038592000.0,3338453000.0,5267779000.0,26561138631.0,2993806000.0,7140715900.0,12047206100.0
28,p,10,00-20,28,3516628000.0,5560425000.0,8403566000.0,31497663640.0,4551994000.0,8686416400.0,14851616000.0
29,p,10,00-20,29,2828987000.0,4496647000.0,6852735000.0,27880046230.0,3743689000.0,7617346500.0,12976810900.0
30,p,10,00-20,30,4398957000.0,6839432000.0,10123685000.0,33226011285.0,5344656000.0,9205160300.0,15867048100.0
31,p,10,00-20,31,3110253000.0,4894864000.0,7403453000.0,29972481864.0,3995142000.0,8199044300.0,13931990500.0
32,p,10,00-20,32,2420046000.0,3831965000.0,5907629000.0,28125969258.0,3234546000.0,7590919300.0,12778271700.0
33,p,10,00-20,33,6144061000.0,8805961000.0,11830363000.0,27418129439.0,5362529000.0,6886069500.0,12258396400.0
34,p,10,00-20,34,2627352000.0,4262037000.0,6649854000.0,30301985026.0,3734154000.0,8348784300.0,14092048000.0
35,p,10,00-20,35,2267295000.0,3702360000.0,5824231000.0,27952705645.0,3298833000.0,7623262300.0,12857875700.0
36,p,10,00-20,36,2133447000.0,3517763000.0,5602469000.0,28743590548.0,3213151000.0,7850641700.0,13174824100.0
37,p,10,00-20,37,1761537000.0,2920850000.0,4680352000.0,26183471019.0,2701947000.0,6938139700.0,11696254600.0
38,p,10,00-20,38,3108528000.0,4929312000.0,7490911000.0,29361040091.0,4078597000.0,8065154100.0,13763803300.0
39,p,10,00-20,39,3043689000.0,4806075000.0,7269566000.0,29509142403.0,3934426000.0,8020382700.0,13650296100.0
40,p,10,00-20,40,2982564000.0,4865851000.0,7631392000.0,33016879779.0,4314478000.0,9253430600.0,15624385900.0
41,p,10,00-20,41,2697972000.0,4190811000.0,6267892000.0,27072820531.0,3323483000.0,7131438100.0,12138375900.0
42,p,10,00-20,42,6308823000.0,9260329000.0,12736061000.0,30784863418.0,6050971000.0,7994806600.0,14199971400.0
