,part,energy,angle,n,Q,Q25,Q50,QR25_130,QR50_130,eta25_130,eta50_130
42,p,10,00-20,42,30784863418.0,4247232000.0,9260329000.0,15047805900.0,10034708900.0,0.28224925469034656,0.922829859070451
43,p,10,00-20,43,30687976560.0,2128782000.0,5153185000.0,12335977700.0,9311574700.0,0.1725669461934906,0.5534171357718904
44,p,10,00-20,44,31800811399.0,2981221000.0,6845038000.0,13873625200.0,10009808200.0,0.21488406649474717,0.6838330828356931
45,p,10,00-20,45,29406130475.0,1539268000.0,4022651000.0,11256835500.0,8773452500.0,0.13674073854947955,0.4585026248218703
46,p,10,00-20,46,28965315663.0,1841112000.0,4585482000.0,11448306100.0,8703936100.0,0.16081959932919684,0.5268285459954146
47,p,10,00-20,47,30687130042.0,1882602000.0,4584916000.0,11820232300.0,9117918300.0,0.15926945868906486,0.5028467956331655
48,p,10,00-20,48,27086098393.0,1517510000.0,3812995000.0,10060121400.0,7764636400.0,0.15084410412780905,0.49107193222853296
49,p,10,00-20,49,30302509925.0,2014815000.0,4961227000.0,12145222200.0,9198810200.0,0.16589363017170652,0.5393335542459611
50,p,10,00-20,50,29805977500.0,2248191000.0,5396688000.0,12348858400.0,9200361400.0,0.18205658589461193,0.5865734796026599
51,p,10,00-20,51,30088751946.0,2092815000.0,5169788000.0,12422676900.0,9345703900.0,0.16846731319237643,0.5531726722050332
52,p,10,00-20,52,26789071938.0,1463745000.0,3612158000.0,9643779800.0,7495366800.0,0.15178125489758695,0.48191877681022893
53,p,10,00-20,53,28928105429.0,2090526000.0,4977068000.0,11606238700.0,8719696700.0,0.18012088619200983,0.5707845319895128
54,p,10,00-20,54,27351478653.0,1077078000.0,2972515000.0,9503472900.0,7608035900.0,0.11333519980890354,0.3907072783397355
55,p,10,00-20,55,25557103804.0,3181276000.0,6777915000.0,11579720500.0,7983081500.0,0.2747282199082439,0.8490349246716321
56,p,10,00-20,56,28588552342.0,1019203000.0,2890652000.0,9841241700.0,7969792700.0,0.10356447195072956,0.36270102734290693
57,p,10,00-20,57,28671655284.0,1447740000.0,3775595000.0,10742389200.0,8414534200.0,0.1347689022475559,0.448699228057092
58,p,10,00-20,58,27858634974.0,1429033000.0,3666487000.0,10274905400.0,8037451400.0,0.13907991795233463,0.45617532443182174
59,p,10,00-20,59,25943329862.0,2080597000.0,4690191000.0,10141422700.0,7531828700.0,0.20515829598543409,0.6227161008056383
60,p,10,00-20,60,29966094245.0,1697258000.0,4395461000.0,11807039300.0,9108836300.0,0.14374966974150752,0.4825491265003851
61,p,10,00-20,61,30570253204.0,1721367000.0,4487549000.0,12155765400.0,9389583400.0,0.14160910015588157,0.4779284456858863
62,p,10,00-20,62,25752378311.0,882279000.0,2491482000.0,8501451800.0,6892248800.0,0.10377980382127203,0.3614904325566425
63,p,10,00-20,63,26725960742.0,1170328000.0,3130909000.0,9401147800.0,7440566800.0,0.12448777797111114,0.42078904526466987
64,p,10,00-20,64,29785467696.0,2253295000.0,5470771000.0,12555926500.0,9338450500.0,0.17946067142078284,0.5858328423971407
65,p,10,00-20,65,30857058591.0,2132830000.0,5289284000.0,12767989000.0,9611535000.0,0.16704510005451917,0.5503058564526894
66,p,10,00-20,66,29449705314.0,1662846000.0,4254495000.0,11425922400.0,8834273400.0,0.14553275803798563,0.4815896913491493
67,p,10,00-20,67,28298280121.0,1521512000.0,3892417000.0,10558725400.0,8187820400.0,0.14409996873296846,0.47539110652695804
68,p,10,00-20,68,28853581752.0,1360046000.0,3579392000.0,10461693300.0,8242347300.0,0.13000247292663417,0.43426852445297953
69,p,10,00-20,69,28772670289.0,1499073000.0,3858633000.0,10683474300.0,8323914300.0,0.14031699406999087,0.46355991435423594
70,p,10,00-20,70,30439048224.0,3107210000.0,7101597000.0,13749491100.0,9755104100.0,0.22598727308532895,0.7279878233180516
71,p,10,00-20,71,28713233697.0,1980097000.0,4671657000.0,11267785600.0,8576225600.0,0.1757308019776308,0.544721794631895
72,p,10,00-20,72,27089753435.0,1296339000.0,3368952000.0,9688245800.0,7615632800.0,0.13380533759785493,0.44237321946509817
73,p,10,00-20,73,27534916613.0,1437125000.0,3716704000.0,10345530200.0,8065951200.0,0.1389126484788571,0.4607892990971728
74,p,10,00-20,74,29962852563.0,2963939000.0,6824725000.0,13415256600.0,9554470600.0,0.22093792823910652,0.7142965095313601
75,p,10,00-20,75,30174145675.0,2045019000.0,5013809000.0,12154533200.0,9185743200.0,0.16825154585122198,0.5458250781493652
76,p,10,00-20,76,30106422150.0,2255023000.0,5431334000.0,12459577600.0,9283266600.0,0.1809871146835668,0.5850671141987887
77,p,10,00-20,77,29715687205.0,1882961000.0,4736151000.0,11970701000.0,9117511000.0,0.1572974715515825,0.5194565709874109
78,p,10,00-20,78,32630236549.0,2109742000.0,5330626000.0,13414908800.0,10194024800.0,0.15726845642066534,0.5229167188214021
79,p,10,00-20,79,30339497781.0,1998613000.0,4942426000.0,12117227300.0,9173414300.0,0.164939796086849,0.5387771486566348
80,p,10,00-20,80,28241042399.0,1329144000.0,3521009000.0,10341238500.0,8149373500.0,0.1285285123247085,0.43205885703974667
81,p,10,00-20,81,27244883127.0,1436368000.0,3669803000.0,10078025100.0,7844590100.0,0.14252474921897149,0.4678132258306269
82,p,10,00-20,82,26995076646.0,1349109000.0,3535941000.0,9952880800.0,7766048800.0,0.13554959886588816,0.4553075947707153
83,p,10,00-20,83,27894633056.0,1629982000.0,4089430000.0,10739415400.0,8279967400.0,0.15177567300357894,0.49389445663759496
84,p,10,00-20,84,30100404710.0,2388503000.0,5642480000.0,12595270500.0,9341293500.0,0.1896349109771005,0.6040362611452044
85,p,10,00-20,85,29002176152.0,1531878000.0,3947388000.0,11008542600.0,8593032600.0,0.13915356970140624,0.4593707697559532
86,p,10,00-20,86,28228839880.0,1595819000.0,4064746000.0,10799355600.0,8330428600.0,0.14776983545203382,0.4879396001305383
87,p,10,00-20,87,28412660754.0,1916874000.0,4621501000.0,11198958200.0,8494331200.0,0.17116538572311127,0.544068849116691
88,p,10,00-20,88,27699140821.0,1146993000.0,3121720000.0,9768955700.0,7794228700.0,0.11741203821816901,0.40051685935261305
89,p,10,00-20,89,26728144654.0,1271966000.0,3365574000.0,9725126800.0,7631518800.0,0.13079171368747602,0.44100972404077676
90,p,10,00-20,90,27732624825.0,1598756000.0,4009977000.0,10503118400.0,8091897400.0,0.15221726911123842,0.4955546025583567
91,p,10,00-20,91,27898130887.0,2070949000.0,4903207000.0,11296630700.0,8464372700.0,0.18332448452971026,0.5792758865639269
92,p,10,00-20,92,26713982818.0,1212253000.0,3217048000.0,9581111500.0,7576316500.0,0.12652529928286504,0.4246190084587939
93,p,10,00-20,93,29257138088.0,2368832000.0,5485704000.0,12016494600.0,8899622600.0,0.1971316992894084,0.6163973739740379
94,p,10,00-20,94,27698582361.0,1580935000.0,4025101000.0,10637255900.0,8193089900.0,0.14862244688500914,0.4912799748480729
95,p,10,00-20,95,29140755926.0,1367670000.0,3651376000.0,10755925800.0,8472219800.0,0.12715502369865736,0.4309822084644216
96,p,10,00-20,96,28409726772.0,1971075000.0,4688616000.0,11207596500.0,8490055500.0,0.17586955419032083,0.552247980004371
97,p,10,00-20,97,27534184674.0,1434335000.0,3650821000.0,10064772000.0,7848286000.0,0.14251043143351882,0.4651743068486546
98,p,10,00-20,98,30522934803.0,2143985000.0,5186926000.0,12340220200.0,9297279200.0,0.17373960636456065,0.5578971964184963
99,p,10,00-20,99,30538589130.0,3808460000.0,8364055000.0,14299296600.0,9743701600.0,0.2663389750234288,0.8584063165481176
100,p,10,00-20,100,31405726808.0,2119304000.0,5320186000.0,13061057900.0,9860175900.0,0.1622612820665928,0.5395629909604351
101,p,10,00-20,101,28544771164.0,1093946000.0,3089527000.0,10170629200.0,8175048200.0,0.10755932386169383,0.3779215638141436
102,p,10,00-20,102,27439222573.0,1455526000.0,3675595000.0,10163053500.0,7942984500.0,0.14321739032466965,0.4627473464161991
103,p,10,00-20,103,32378535027.0,2540556000.0,6148923000.0,13896668400.0,10288301400.0,0.18281763131082554,0.5976616314914724
104,p,10,00-20,104,29755198998.0,1959676000.0,4863407000.0,11980040500.0,9076309500.0,0.1635784119427643,0.5358352973749959
105,p,10,00-20,105,33972593529.0,2735190000.0,6644073000.0,14879635800.0,10970752800.0,0.18382103142605144,0.6056168725267422
106,p,10,00-20,106,29254608393.0,1570798000.0,4053470000.0,11198237500.0,8715565500.0,0.14027189546569271,0.4650839925418494
107,p,10,00-20,107,28390627436.0,1683706000.0,4182845000.0,10835309800.0,8336170800.0,0.15539066543348856,0.5017705491351017
108,p,10,00-20,108,33473580042.0,3263966000.0,7613100000.0,15226190100.0,10877056100.0,0.21436524689127584,0.699922840335447
109,p,10,00-20,109,30518095853.0,2866873000.0,6520033000.0,13249855400.0,9596695400.0,0.21637013487709458,0.6794039748307527
110,p,10,00-20,110,30624030312.0,2568711000.0,6083824000.0,13175192500.0,9660079500.0,0.1949657282047302,0.6297902620780709
111,p,10,00-20,111,28373811927.0,1271978000.0,3406229000.0,10319279200.0,8185028200.0,0.12326229142050929,0.41615360592160205
112,p,10,00-20,112,29059409388.0,1803337000.0,4480732000.0,11376963700.0,8699568700.0,0.15850775721469518,0.5150522002314897
113,p,10,00-20,113,29521536389.0,1223715000.0,3335927000.0,10544373300.0,8432161300.0,0.11605383887537442,0.39561944812417194
114,p,10,00-20,114,27951557359.0,1407451000.0,3665315000.0,10363186300.0,8105322300.0,0.13581257339743086,0.4522108886404184
115,p,10,00-20,115,30171735512.0,2994106000.0,6722299000.0,13116946100.0,9388753100.0,0.22826243068880187,0.7159948641103364
116,p,10,00-20,116,29751644281.0,2074322000.0,5056435000.0,12071028900.0,9088915900.0,0.17184301497281645,0.5563298258706519
117,p,10,00-20,117,31300871491.0,2005292000.0,4967283000.0,12513868300.0,9551877300.0,0.16024557330525846,0.5200321197593273
118,p,10,00-20,118,29319043873.0,1970633000.0,4837597000.0,11738045200.0,8871081200.0,0.16788425725264713,0.5453221417925923
119,p,10,00-20,119,29334028661.0,2045281000.0,4985668000.0,11895093700.0,8954706700.0,0.17194324412930012,0.556765080870823
120,p,10,00-20,120,26617843151.0,1886588000.0,4181447000.0,9681863900.0,7387004900.0,0.19485793432812043,0.5660544505662911
121,p,10,00-20,121,31777789725.0,2532924000.0,6074793000.0,13567430900.0,10025561900.0,0.1866914980934231,0.6059304267025671
122,p,10,00-20,122,29817935009.0,3612205000.0,7886258000.0,13885269600.0,9611216600.0,0.2601465512776216,0.8205265085795694
123,p,10,00-20,123,27334856045.0,1173081000.0,3116348000.0,9527059200.0,7583792200.0,0.12313149056531526,0.41092212415841245
124,p,10,00-20,124,24391608169.0,803028000.0,2253617000.0,7731757100.0,6281168100.0,0.10386099687482422,0.3587894742062388
125,p,10,00-20,125,26400898730.0,2930157000.0,6235950000.0,11176672400.0,7870879400.0,0.26216720819337963,0.7922812284482469
126,p,10,00-20,126,29408197088.0,1377123000.0,3631612000.0,10777123600.0,8522634600.0,0.12778205494460507,0.4261137747240742
127,p,10,00-20,127,27251357603.0,1361457000.0,3451929000.0,9756949200.0,7666477200.0,0.1395371618825278,0.45026273605822503
128,p,10,00-20,128,28026199805.0,1689617000.0,4199231000.0,10750087100.0,8240473100.0,0.1571724009566397,0.5095861547075495
129,p,10,00-20,129,29439486737.0,1652267000.0,4238377000.0,11428052000.0,8841942000.0,0.14457993365798474,0.47934910679124565
130,p,10,00-20,130,31949262536.0,4186250000.0,8982432000.0,15148062000.0,10351880000.0,0.2763554836255621,0.8677102130241077
131,p,10,00-20,131,32784629869.0,2649933000.0,6305782000.0,14017310800.0,10361461800.0,0.18904717444090632,0.6085803452945221
132,p,10,00-20,132,26793057356.0,1161567000.0,3074785000.0,9329395100.0,7416177100.0,0.12450614295454161,0.4146051204737276
133,p,10,00-20,133,32460436998.0,1541628000.0,4086718000.0,12120996200.0,9575906200.0,0.12718657563806512,0.4267708887958823
134,h,10,00-20,0,28535435735.0,1544446000.0,3988734000.0,10851008800.0,8406720800.0,0.14233201985791405,0.4744696647948627
135,h,10,00-20,1,27238818165.0,1423638000.0,3664667000.0,10140975500.0,7899946500.0,0.14038471939903613,0.46388504023413324
136,h,10,00-20,2,26793736393.0,1352813000.0,3476233000.0,9741174000.0,7617754000.0,0.13887576589844305,0.4563330608995775
137,h,10,00-20,3,26290061632.0,1133468000.0,3008788000.0,9153207800.0,7277887800.0,0.12383287091985391,0.4134150020834342
138,h,10,00-20,4,27896085496.0,2563463000.0,5750139000.0,11608437200.0,8421761200.0,0.22082757186298946,0.6827715561443372
139,h,10,00-20,5,28038921222.0,1414095000.0,3649338000.0,10259082800.0,8023839800.0,0.13783834554878532,0.4548119218432053
140,h,10,00-20,6,26798697526.0,1281484000.0,3317571000.0,9600121200.0,7564034200.0,0.1334862314029952,0.4385980962381159
141,h,10,00-20,7,29217157605.0,1657561000.0,4185455000.0,11182393500.0,8654499500.0,0.1482295360112305,0.4836160658395093
142,h,10,00-20,8,26445781849.0,1152975000.0,3104202000.0,9443018400.0,7491791400.0,0.12209814183990153,0.4143470946081067
143,h,10,00-20,9,26827123139.0,1475862000.0,3753502000.0,10097243400.0,7819603400.0,0.14616484336705204,0.48001181236378304
