,part,energy,angle,n,Q35,Q50,Q70,Q,QR35_70,QR70_150,QR50_200
127,n,10,20-40,19,1718243000.0,2804912000.0,4430914000.0,24915735629.0,2513207000.0,6488319200.0,11003273400.0
128,n,10,20-40,20,1246971000.0,2065619000.0,3327138200.0,23354694567.0,1922864500.0,5657652400.0,9833964400.0
129,n,10,20-40,21,726553100.0,1256856400.0,2117691600.0,20351933855.0,1281372900.0,4416975700.0,7968700500.0
130,n,10,20-40,22,894686100.0,1480732700.0,2391396100.0,20718580644.0,1382553700.0,4417792100.0,8048933100.0
131,n,10,20-40,23,744980700.0,1321186700.0,2281534600.0,21692321053.0,1412835600.0,5015631500.0,8770519000.0
132,n,10,20-40,24,2001863000.0,3226428000.0,5023059000.0,25019122423.0,2803286000.0,6628001600.0,11250765100.0
133,n,10,20-40,25,624989500.0,1047322900.0,1710845400.0,17864974475.0,1002144800.0,3442711700.0,6492121800.0
134,n,10,20-40,26,1258338000.0,2122517000.0,3472917100.0,24028681574.0,2045703100.0,5990142400.0,10303330200.0
135,n,10,20-40,27,932222800.0,1567159100.0,2567130300.0,21491993942.0,1508841600.0,4883020800.0,8666400500.0
136,n,10,20-40,28,2072399000.0,3314436000.0,5111068000.0,25556640501.0,2821914000.0,6673764400.0,11356909800.0
137,n,10,20-40,29,1681166000.0,2753598000.0,4363640000.0,24817924647.0,2484763000.0,6445455800.0,10926090500.0
138,n,10,20-40,30,1018010000.0,1745975700.0,2905142300.0,22594792221.0,1740862300.0,5434067300.0,9413671800.0
139,n,10,20-40,31,1409824000.0,2379621000.0,3886318000.0,24379651405.0,2288688000.0,6340356700.0,10716129800.0
140,n,10,20-40,32,808311600.0,1374747300.0,2281415900.0,20301868520.0,1358118400.0,4536957000.0,8064533000.0
141,n,10,20-40,33,1207387000.0,2077830000.0,3458283300.0,23649644425.0,2077503000.0,6037915400.0,10231319600.0
142,n,10,20-40,34,854946200.0,1472877300.0,2465889000.0,21036395024.0,1485026800.0,4835620000.0,8510548600.0
143,n,10,20-40,35,980945000.0,1674628800.0,2777696600.0,21751835455.0,1657682300.0,5199801000.0,9024221800.0
144,n,10,20-40,36,741579700.0,1289373400.0,2185430300.0,20267574476.0,1329231600.0,4629103900.0,8097796200.0
145,n,10,20-40,37,1475650000.0,2468403000.0,3999378000.0,24762809635.0,2333358000.0,6410482600.0,10841415600.0
146,n,10,20-40,38,1058819000.0,1813088000.0,3013482700.0,22999728166.0,1803234600.0,5580368100.0,9630794800.0
147,n,10,20-40,39,1697635000.0,2756481000.0,4312070000.0,23718873178.0,2425305000.0,6074414900.0,10360073000.0
148,n,10,20-40,40,643101100.0,1117625300.0,1895699400.0,19661361474.0,1152853900.0,4143990700.0,7557068900.0
149,n,10,20-40,41,865582400.0,1506827500.0,2549476200.0,21564309442.0,1551058900.0,5125171600.0,8903018300.0
150,n,10,20-40,42,1681215000.0,2755868000.0,4370438000.0,24780489247.0,2490925000.0,6434958100.0,10916878000.0
151,n,10,20-40,43,487236400.0,865142500.0,1500094100.0,18439276716.0,930660800.0,3578575100.0,6739603200.0
152,n,10,20-40,44,379547100.0,685949900.0,1209556300.0,16870284870.0,761783200.0,3085450700.0,5908473400.0
153,n,10,20-40,45,715305700.0,1247359700.0,2115606600.0,20162230025.0,1289413200.0,4453223200.0,7968752400.0
154,n,10,20-40,46,458088500.0,821774100.0,1440641700.0,18726430394.0,901966800.0,3608865200.0,6795200400.0
155,n,10,20-40,47,879415000.0,1539019200.0,2613194300.0,21635311332.0,1596911500.0,5233695700.0,8961807900.0
156,n,10,20-40,48,650609000.0,1138085800.0,1940506200.0,19834407847.0,1186945300.0,4237425200.0,7708497000.0
157,n,10,20-40,49,746585400.0,1307232300.0,2223515700.0,21141169706.0,1359943900.0,4677520200.0,8388906600.0
158,n,10,20-40,50,1376888000.0,2330745000.0,3815263000.0,24204095692.0,2253223000.0,6268063800.0,10590720100.0
159,n,10,20-40,51,736873000.0,1295768300.0,2216868600.0,21110661945.0,1361875100.0,4741397300.0,8418918800.0
160,n,10,20-40,52,1017217000.0,1771647000.0,2997096800.0,22990483608.0,1824039700.0,5744822800.0,9787820800.0
161,n,10,20-40,53,357138000.0,641596700.0,1125380600.0,15932290738.0,705241000.0,2848316200.0,5489546700.0
162,n,10,20-40,54,1845876000.0,3027561000.0,4788055000.0,25238132298.0,2727205000.0,6685531400.0,11328175300.0
163,n,10,20-40,55,1691983000.0,2809752000.0,4498243000.0,25454782268.0,2598747000.0,6663768200.0,11354039300.0
164,n,10,20-40,56,1546983000.0,2535358000.0,4017964000.0,23676179951.0,2289031000.0,6007928500.0,10248182600.0
165,n,10,20-40,57,644758600.0,1108533300.0,1857292500.0,19314908138.0,1117252900.0,3902174400.0,7225215600.0
166,n,10,20-40,58,914779700.0,1556454000.0,2581012600.0,21249656940.0,1536569100.0,4964974200.0,8698927300.0
167,n,10,20-40,59,530885400.0,950040900.0,1655736700.0,19058507885.0,1033542800.0,3868698600.0,7168897100.0
168,n,10,20-40,60,2093167000.0,3292239000.0,5014221000.0,24494491773.0,2713606000.0,6355259900.0,10823630900.0
169,n,10,20-40,61,1155615000.0,1972409000.0,3267632300.0,22671747592.0,1949015300.0,5772554700.0,9756501400.0
170,n,10,20-40,62,629585800.0,1087560200.0,1825994000.0,18769656334.0,1102568100.0,3790996200.0,7017787400.0
171,n,10,20-40,63,945308000.0,1653375000.0,2808182300.0,22778327644.0,1715671100.0,5570975100.0,9574507500.0
172,n,10,20-40,64,638866300.0,1120164100.0,1911560200.0,19859153477.0,1171282200.0,4199222500.0,7668992600.0
173,n,10,20-40,65,1570639000.0,2606700000.0,4186671000.0,25404593913.0,2420558000.0,6560951800.0,11138762400.0
174,n,10,20-40,66,1174988000.0,1977333000.0,3228217200.0,22734600191.0,1896800600.0,5584555300.0,9609946400.0
175,n,10,20-40,67,890820000.0,1554295600.0,2635125200.0,21786768738.0,1606556200.0,5289318000.0,9103613000.0
176,n,10,20-40,68,951629000.0,1656829800.0,2796040900.0,22266662870.0,1699971300.0,5379777500.0,9288271800.0
177,n,10,20-40,69,890541000.0,1550690300.0,2621159900.0,21364569968.0,1594393400.0,5210253800.0,8901062200.0
178,n,10,20-40,70,966297000.0,1672645900.0,2813034700.0,22636415297.0,1702033500.0,5431170400.0,9399686300.0
179,n,10,20-40,71,748861900.0,1287644100.0,2159495700.0,20090279325.0,1299604700.0,4429108300.0,7911990700.0
180,n,10,20-40,72,1345104000.0,2211770000.0,3517646900.0,22399680956.0,2011622900.0,5541264400.0,9489660100.0
181,n,10,20-40,73,696177400.0,1194227900.0,1999141600.0,19674872535.0,1200445000.0,4122670800.0,7535251800.0
182,n,10,20-40,74,787162300.0,1365958300.0,2307857100.0,21051281381.0,1400615900.0,4747311000.0,8457241900.0
183,n,10,20-40,75,1272123000.0,2144559000.0,3502498900.0,23697687550.0,2060831200.0,5975232600.0,10219406600.0
184,n,10,20-40,76,788296600.0,1355740400.0,2272136900.0,20826850569.0,1367176700.0,4673165400.0,8305342900.0
185,n,10,20-40,77,1728075000.0,2744907000.0,4215508900.0,23392169866.0,2309355400.0,5795691900.0,10011616000.0
186,n,10,20-40,78,1566723000.0,2635024000.0,4282029000.0,25496094240.0,2510863000.0,6716840400.0,11339465900.0
187,n,10,20-40,79,359156300.0,648922100.0,1147733100.0,16911188800.0,723261300.0,3015533100.0,5831217600.0
188,n,10,20-40,80,1030137000.0,1764616500.0,2933378400.0,22318040920.0,1755767300.0,5454718600.0,9393095500.0
189,n,10,20-40,81,1465938000.0,2341540000.0,3624045800.0,22041774887.0,2001699100.0,5379004800.0,9281049300.0
190,n,10,20-40,82,568860200.0,1006997300.0,1741640400.0,19528683860.0,1077730100.0,4058471300.0,7413880000.0
191,n,10,20-40,83,1150286000.0,1944797000.0,3185295100.0,23154600851.0,1879918800.0,5610232800.0,9760909600.0
192,n,10,20-40,84,754705500.0,1303472400.0,2188356200.0,20379774884.0,1321289000.0,4430682100.0,8023216200.0
193,n,10,20-40,85,804221700.0,1380151600.0,2303636300.0,20609765248.0,1382357500.0,4600456800.0,8217304700.0
194,n,10,20-40,86,1517214000.0,2521136000.0,4047872000.0,24494713011.0,2342119000.0,6312901100.0,10752302800.0
195,n,10,20-40,87,1092836000.0,1833945400.0,2987293300.0,22666128592.0,1750267800.0,5275757900.0,9313268300.0
196,n,10,20-40,88,572419700.0,986007200.0,1655778200.0,17985985209.0,998007200.0,3524475500.0,6594561200.0
197,n,10,20-40,89,958140000.0,1597727300.0,2592101100.0,21097252215.0,1509511800.0,4726136900.0,8460468000.0
198,n,10,20-40,90,1050467000.0,1780401700.0,2948244900.0,22468401536.0,1749632400.0,5595538800.0,9498283500.0
199,n,10,20-40,91,1214744000.0,2024223000.0,3266820200.0,22702244652.0,1897817900.0,5478849200.0,9531991900.0
200,n,10,20-40,92,731555500.0,1261451700.0,2121929000.0,20393789879.0,1280436500.0,4475321700.0,8038757700.0
201,n,10,20-40,93,492457800.0,882231800.0,1540148200.0,18493863940.0,962355900.0,3708602000.0,6856413400.0
202,n,10,20-40,94,916713000.0,1570951100.0,2612881400.0,21647107273.0,1564548300.0,5033140200.0,8846245600.0
203,n,10,20-40,95,2217693000.0,3599240000.0,5608696000.0,26350542038.0,3148854000.0,7099734200.0,12053223000.0
204,n,10,20-40,96,619551600.0,1083159700.0,1842938600.0,19325840854.0,1126165500.0,4041456700.0,7370598500.0
205,n,10,20-40,97,970472000.0,1680804800.0,2823674300.0,22110938708.0,1708457400.0,5386759600.0,9253646400.0
206,n,10,20-40,98,1053623000.0,1802369000.0,2991053300.0,22651273067.0,1787692000.0,5526505700.0,9495590500.0
207,n,10,20-40,99,527524600.0,938231600.0,1630687600.0,19221013472.0,1013412900.0,3867333900.0,7152939500.0
208,n,10,20-40,100,647507000.0,1151829400.0,1992970600.0,20908914952.0,1237069200.0,4515345400.0,8173158700.0
209,n,10,20-40,101,1807613000.0,2971915000.0,4726001000.0,25760503699.0,2702708000.0,6817425800.0,11516147600.0
210,n,10,20-40,102,1075097000.0,1833620000.0,3036398400.0,22679652685.0,1809787200.0,5541606900.0,9517019500.0
211,n,10,20-40,103,547764800.0,966466900.0,1667220300.0,18971480515.0,1028881700.0,3882817200.0,7144447400.0
212,n,10,20-40,104,847778000.0,1478565700.0,2504517300.0,22061825289.0,1525983800.0,5105767400.0,8970507200.0
213,n,10,20-40,105,1241842000.0,2033536000.0,3237273100.0,22367014058.0,1846182200.0,5342831800.0,9304852100.0
