Year Fl Number Ver H alpha beta Theta Phi Xo Yo Integral
2013 1 10791 12.000000 608.5 2.300000 -4.500000 5.419900e-01 2.562240e+00 8.42900e+01 3.35760e+02 9.02000e+10
2013 1 10801 12.000000 588.7 2.100000 -6.800000 4.588600e-01 4.867280e+00 3.18200e+01 1.60620e+02 6.96000e+10
2013 1 10803 12.000000 586.0 1.400000 -7.000000 1.511800e-01 1.339800e+00 1.80080e+02 5.96000e+00 8.25000e+10
2013 1 10805 12.000000 589.0 2.500000 -7.300000 1.990400e-01 1.393580e+00 -8.23400e+01 1.40710e+02 2.61000e+10
2013 1 10815 12.000000 593.9 2.400000 -6.100000 2.229000e-02 1.386040e+00 6.97200e+01 1.62270e+02 1.26000e+10
2013 1 10819 12.000000 590.9 2.100000 -6.900000 2.411500e-01 2.518050e+00 1.43160e+02 -1.65540e+02 5.98000e+10
2013 1 10821 12.000000 590.8 1.900000 -7.500000 4.374000e-01 -2.103490e+00 3.58500e+01 -1.51860e+02 4.14000e+10
2013 1 10823 12.000000 591.6 2.800000 -6.900000 5.577600e-01 6.014890e+00 -9.83000e+01 -4.25800e+01 3.08000e+10
2013 1 10825 12.000000 591.5 2.100000 -7.100000 8.169900e-01 1.563930e+00 2.00940e+02 5.01210e+02 2.88000e+11
2013 1 10829 12.000000 591.0 2.200000 -6.600000 1.941400e-01 9.254500e-01 -4.51700e+01 -2.89140e+02 4.37000e+10
2013 1 11014 12.000000 590.7 1.700000 -6.900000 2.986600e-01 1.238830e+00 -2.29610e+02 -9.71500e+01 8.84000e+10
2013 1 11044 12.000000 595.6 3.300000 -6.600000 3.581400e-01 1.057230e+00 1.16690e+02 7.80800e+01 2.38000e+10
2013 1 11046 12.000000 594.7 2.900000 -6.500000 2.771000e-01 -1.754490e+00 -2.73440e+02 9.77600e+01 8.32000e+10
2013 1 11054 12.000000 590.7 2.700000 -6.800000 3.005600e-01 -1.999300e-01 -1.64500e+01 1.49720e+02 1.87000e+10
2013 1 11056 12.000000 591.6 2.200000 -6.000000 9.110000e-03 2.746370e+00 -4.41820e+02 5.04400e+01 3.00000e+11
2013 1 11058 12.000000 591.6 1.900000 -6.000000 4.631600e-01 2.515700e+00 3.34300e+01 -6.53200e+01 3.58000e+10
2013 1 11060 12.000000 593.2 2.200000 -5.900000 1.911700e-01 -3.105640e+00 9.45800e+01 9.09000e+00 7.11000e+10
2013 1 11066 12.000000 598.3 2.200000 -4.600000 2.439800e-01 -3.214100e-01 -1.32850e+02 -2.06880e+02 3.89000e+10
2013 1 11068 12.000000 601.5 2.500000 -4.300000 1.765700e-01 -1.730640e+00 -7.31000e+00 1.08140e+02 3.62000e+10
2013 1 11074 12.000000 601.8 2.500000 -4.300000 2.970400e-01 4.686670e+00 -3.89100e+01 2.16070e+02 2.99000e+10
2013 1 11076 12.000000 601.6 2.000000 -4.200000 3.074000e-01 4.483660e+00 -6.17400e+01 -1.81340e+02 3.97000e+10
2013 1 11078 12.000000 604.0 2.000000 -4.200000 4.090300e-01 -2.065310e+00 1.07580e+02 -2.20590e+02 7.26000e+10
2013 1 11080 12.000000 602.1 2.400000 -4.100000 1.604100e-01 5.974100e-01 -2.31020e+02 2.60350e+02 6.97000e+10
2013 1 11084 12.000000 607.3 1.800000 -4.100000 2.289100e-01 2.774430e+00 -9.42700e+01 2.93710e+02 4.50000e+10
2013 1 11088 12.000000 602.3 1.800000 -4.400000 1.015800e-01 2.392340e+00 -4.99700e+01 1.49700e+01 2.18000e+10
2013 1 11090 12.000000 604.6 2.700000 -4.200000 3.558300e-01 -2.645750e+00 4.47340e+02 1.12790e+02 1.80000e+11
2013 1 11092 12.000000 605.3 2.400000 -4.100000 2.013800e-01 6.092780e+00 -2.22580e+02 4.93000e+01 3.66000e+10
2013 1 11094 12.000000 606.7 1.900000 -4.200000 5.682700e-01 5.349780e+00 9.69400e+01 1.02930e+02 1.70000e+11
2013 1 11104 12.000000 607.0 2.000000 -3.500000 3.581100e-01 5.398750e+00 2.89530e+02 1.97060e+02 1.35000e+11
2013 1 11112 12.000000 608.9 2.100000 -4.000000 4.358700e-01 5.859590e+00 9.00000e+00 -2.51750e+02 5.78000e+10
2013 1 11116 12.000000 611.2 2.300000 -3.600000 1.558100e-01 2.021820e+00 6.80000e+00 5.99600e+01 3.73000e+10
2013 1 11118 12.000000 612.3 1.800000 -3.600000 1.683400e-01 4.636900e-01 3.07400e+01 -2.38980e+02 3.35000e+10
2013 1 11122 12.000000 615.6 2.100000 -3.200000 3.752000e-02 6.031260e+00 -1.20120e+02 2.65960e+02 3.53000e+10
2013 1 11124 12.000000 613.8 2.400000 -3.300000 5.524400e-01 8.933000e-02 2.74630e+02 -1.74460e+02 8.61000e+10
2013 1 11126 12.000000 612.6 2.200000 -3.600000 2.209900e-01 3.025550e+00 -2.92050e+02 2.12190e+02 1.17000e+11
2013 1 11130 12.000000 615.0 1.900000 -3.500000 6.275300e-01 5.820520e+00 1.07880e+02 -2.28360e+02 6.18000e+10
2013 1 11132 12.000000 615.9 2.200000 -3.400000 5.760600e-01 1.259240e+00 2.51530e+02 -2.02260e+02 1.22000e+11
2013 1 11140 12.000000 598.1 2.300000 -7.500000 2.685400e-01 4.400100e-01 -1.67220e+02 1.25700e+02 4.23000e+10
2013 1 11142 12.000000 592.8 0.400000 -5.700000 7.808000e-02 3.832800e-01 -1.74020e+02 1.55070e+02 5.31000e+10
2013 1 11148 12.000000 594.7 1.500000 -8.200000 2.549100e-01 -7.028500e-01 1.13210e+02 -2.05570e+02 3.71000e+10
2013 1 11150 12.000000 593.6 -0.200000 -6.700000 7.249700e-01 3.779510e+00 -2.04920e+02 1.99210e+02 8.41000e+10
2013 1 11152 12.000000 593.1 1.600000 -8.300000 3.753300e-01 5.364220e+00 3.31000e+00 -1.09000e+02 2.27000e+10
2013 1 11160 12.000000 594.1 -0.900000 -5.700000 5.411300e-01 5.522200e-01 -2.51040e+02 -1.26800e+01 3.03000e+10
2013 1 11168 12.000000 594.3 0.900000 -7.900000 2.654200e-01 5.111600e+00 8.64600e+01 -1.50100e+02 1.57000e+10
2013 1 11170 12.000000 600.3 1.700000 -7.300000 7.278600e-01 -1.648420e+00 2.90540e+02 -2.70660e+02 1.50000e+11
2013 1 11172 12.000000 603.3 2.100000 -6.900000 5.910000e-01 1.530410e+00 -8.45400e+01 2.34630e+02 1.75000e+11
2013 1 11174 12.000000 599.8 3.000000 -6.900000 5.961700e-01 1.741550e+00 7.83200e+01 1.30550e+02 3.83000e+10
2013 1 11178 12.000000 599.4 2.600000 -7.900000 3.374100e-01 3.088740e+00 -1.88500e+02 1.02690e+02 1.34000e+11
2013 1 11182 12.000000 602.3 4.200000 -8.200000 1.696600e-01 5.103320e+00 -1.08690e+02 2.65490e+02 6.28000e+10
2013 1 11184 12.000000 597.9 2.300000 -6.600000 2.738400e-01 5.001330e+00 1.56920e+02 -1.21420e+02 4.74000e+10
2013 1 11186 12.000000 591.3 3.600000 -4.600000 5.324600e-01 7.436800e-01 -3.13100e+01 -1.24080e+02 2.29000e+10
2013 1 11188 12.000000 609.4 -0.400000 -6.100000 3.664500e-01 4.801510e+00 -4.18800e+01 -1.12770e+02 2.04000e+10
2013 1 11190 12.000000 608.1 3.200000 -6.900000 3.586000e-01 4.295880e+00 -2.40790e+02 1.56240e+02 4.89000e+10
2013 1 11192 12.000000 598.8 2.100000 -9.800000 4.333500e-01 2.872190e+00 -2.24970e+02 7.37700e+01 6.59000e+10
2013 1 11194 12.000000 595.3 2.400000 -9.100000 3.881300e-01 9.677000e-02 1.37960e+02 7.95400e+01 5.60000e+10
2013 1 11198 12.000000 591.4 0.500000 -8.700000 4.939000e-01 -4.655800e-01 -3.06100e+01 5.45700e+01 6.81000e+10
2013 1 11200 12.000000 592.2 0.400000 -6.200000 3.694800e-01 2.445110e+00 2.17470e+02 -1.17960e+02 6.16000e+10
2013 1 11202 12.000000 595.8 1.100000 -3.800000 9.649400e-01 3.822200e-01 2.11090e+02 -2.70000e+02 1.47000e+11
2013 1 11204 12.000000 598.6 1.600000 -7.000000 2.779100e-01 8.524500e-01 2.68630e+02 3.45600e+01 7.82000e+10
2013 1 11206 12.000000 588.3 2.800000 -9.000000 8.815000e-02 5.463450e+00 8.10800e+01 1.35800e+01 6.36000e+10
2013 1 11208 12.000000 599.6 0.900000 -6.300000 1.972600e-01 4.001040e+00 1.50490e+02 3.00240e+02 6.20000e+10
2013 1 11214 12.000000 587.9 2.200000 -9.400000 2.929700e-01 3.034600e+00 4.61600e+01 2.84300e+02 1.44000e+11
2013 1 11216 12.000000 595.8 2.500000 -7.400000 2.588400e-01 -1.536260e+00 1.77860e+02 7.92400e+01 3.50000e+10
2013 1 11218 12.000000 595.8 -0.100000 -8.400000 6.228400e-01 5.955500e-01 -4.29430e+02 5.27000e+01 1.43000e+11
2013 1 11220 12.000000 587.8 2.900000 -7.700000 1.809700e-01 1.595490e+00 -6.23000e+01 -5.23500e+01 2.40000e+10
2013 1 11222 12.000000 590.6 1.200000 -7.000000 8.341700e-01 2.247240e+00 -9.62800e+01 2.47500e+02 9.09000e+10
2013 1 11228 12.000000 589.6 0.800000 -8.200000 4.506000e-01 -2.671810e+00 7.25100e+01 -1.20920e+02 1.08000e+11
2013 1 11230 12.000000 595.4 2.500000 -7.400000 3.503000e-02 5.900490e+00 7.52900e+01 -2.62600e+01 2.33000e+10
2013 1 11236 12.000000 597.1 1.600000 -9.300000 4.290300e-01 3.803430e+00 -1.87800e+02 2.58500e+01 4.42000e+10
2013 1 11238 12.000000 596.6 3.100000 -9.200000 5.063700e-01 1.229980e+00 2.23760e+02 1.53500e+02 6.38000e+10
2013 1 11244 12.000000 594.4 0.800000 -7.000000 2.152200e-01 7.063400e-01 -3.43700e+01 2.79070e+02 4.55000e+10
2013 1 11246 12.000000 594.4 1.800000 -7.800000 1.369000e-02 3.365050e+00 -7.12500e+01 2.95200e+01 3.18000e+10
2013 1 11248 12.000000 592.6 1.200000 -6.800000 2.299900e-01 1.465600e-01 -2.26800e+02 -1.70920e+02 5.33000e+10
2013 1 11252 12.000000 598.9 1.200000 -5.300000 1.138200e-01 -3.306800e-01 -5.67200e+01 -7.49900e+01 2.06000e+10
2013 1 11254 12.000000 601.8 -1.300000 -5.900000 5.621600e-01 -1.794190e+00 -7.61000e+01 7.15700e+01 1.34000e+11
2013 1 11256 12.000000 602.6 0.100000 -5.700000 2.861000e-02 2.826910e+00 2.77000e+00 5.61300e+01 2.24000e+10
2013 1 11260 12.000000 608.0 0.600000 -6.300000 1.685300e-01 1.811200e-01 1.06200e+01 4.38400e+01 2.33000e+10
2013 1 11262 12.000000 606.2 0.700000 -5.600000 3.173800e-01 -2.678760e+00 -7.66300e+01 -1.18220e+02 5.24000e+10
2013 1 11264 12.000000 607.2 2.100000 -5.800000 1.372000e-01 6.097380e+00 -2.33600e+02 -4.13600e+01 3.05000e+10
2013 1 11266 12.000000 596.3 1.300000 -6.100000 2.000900e-01 2.954500e-01 1.35770e+02 1.96600e+01 4.85000e+10
