EID      GPS    kod1 kod2  kod3  kod4   high    cur    temp
20642 17:48:43  739  3627  3738  1088  -25.41   0.556   4.4
20643 17:48:43  739  3627  3738  1088  -25.41   0.556   4.4
20644 17:48:43  739  3627  3738  1088  -25.41   0.556   4.4
20645 17:48:43  739  3627  3738  1088  -25.41   0.556   4.4
20646 17:48:43  739  3627  3738  1088  -25.41   0.556   4.4
20647 17:48:44  739  3627  3738  1088  -25.41   0.556   4.4
20648 17:48:44  739  3627  3738  1088  -25.41   0.556   4.4
20649 17:48:44  739  3627  3738  1088  -25.41   0.556   4.4
20650 17:48:44  739  3627  3738  1088  -25.41   0.556   4.4
20651 17:48:45  739  3627  3738  1088  -25.41   0.556   4.4
20652 17:48:45  739  3627  3738  1088  -25.41   0.556   4.4
20653 17:48:45  739  3627  3738  1088  -25.41   0.556   4.4
20654 17:48:45  739  3627  3738  1088  -25.41   0.556   4.4
20655 17:48:45  739  3627  3738  1088  -25.41   0.556   4.4
20656 17:48:45  739  3627  3738  1088  -25.41   0.556   4.4
20657 17:48:46  739  3627  3738  1088  -25.41   0.556   4.4
20658 17:48:46  739  3627  3738  1088  -25.41   0.556   4.4
20659 17:48:46  739  3627  3738  1088  -25.41   0.556   4.4
20660 17:48:46  739  3627  3738  1088  -25.41   0.556   4.4
20661 17:48:46  739  3627  3738  1088  -25.41   0.556   4.4
20662 17:48:46  739  3627  3738  1088  -25.41   0.556   4.4
20663 17:48:47  739  3627  3738  1088  -25.41   0.556   4.4
20664 17:48:47  739  3627  3738  1088  -25.41   0.556   4.4
20665 17:48:47  739  3627  3738  1088  -25.41   0.556   4.4
20666 17:48:47  739  3627  3738  1088  -25.41   0.556   4.4
20667 17:48:47  739  3627  3738  1088  -25.41   0.556   4.4
20668 17:48:47  739  3627  3738  1088  -25.41   0.556   4.4
20669 17:48:48  739  3627  3738  1088  -25.41   0.556   4.4
20670 17:48:48  739  3627  3738  1088  -25.41   0.556   4.4
20671 17:48:48  739  3627  3738  1088  -25.41   0.556   4.4
20672 17:48:48  739  3627  3738  1088  -25.41   0.556   4.4
20673 17:48:48  739  3627  3738  1088  -25.41   0.556   4.4
20674 17:48:48  739  3627  3738  1088  -25.41   0.556   4.4
20675 17:48:49  739  3627  3738  1088  -25.41   0.556   4.4
20676 17:48:49  739  3627  3738  1088  -25.41   0.556   4.4
20677 17:48:49  739  3627  3738  1088  -25.41   0.556   4.4
20678 17:48:49  739  3627  3738  1088  -25.41   0.556   4.4
20679 17:48:49  739  3627  3738  1088  -25.41   0.556   4.4
20680 17:48:49  739  3627  3738  1088  -25.41   0.556   4.4
20681 17:48:50  739  3627  3738  1088  -25.41   0.556   4.4
20682 17:48:50  739  3627  3738  1088  -25.41   0.556   4.4
20683 17:48:50  739  3627  3738  1088  -25.41   0.556   4.4
20684 17:48:50  739  3627  3738  1088  -25.41   0.556   4.4
20685 17:48:50  739  3627  3738  1088  -25.41   0.556   4.4
20686 17:48:50  739  3627  3738  1088  -25.41   0.556   4.4
20687 17:48:51  739  3627  3738  1088  -25.41   0.556   4.4
20688 17:48:51  739  3627  3738  1088  -25.41   0.556   4.4
20689 17:48:51  739  3627  3738  1088  -25.41   0.556   4.4
20690 17:48:51  739  3627  3738  1088  -25.41   0.556   4.4
20691 17:48:51  739  3627  3738  1088  -25.41   0.556   4.4
20692 17:48:51  739  3627  3738  1088  -25.41   0.556   4.4
20693 17:48:52  739  3627  3738  1088  -25.41   0.556   4.4
20694 17:48:52  739  3627  3738  1088  -25.41   0.556   4.4
20695 17:48:52  739  3627  3738  1088  -25.41   0.556   4.4
20696 17:48:52  739  3627  3738  1088  -25.41   0.556   4.4
20697 17:48:53  739  3627  3738  1088  -25.41   0.556   4.4
20698 17:48:53  739  3627  3738  1088  -25.41   0.556   4.4
20699 17:48:53  739  3627  3738  1088  -25.41   0.556   4.4
20700 17:48:53  739  3627  3738  1088  -25.41   0.556   4.4
20701 17:48:53  739  3627  3738  1088  -25.41   0.556   4.4
20702 17:48:53  739  3627  3738  1088  -25.41   0.556   4.4
20703 17:48:54  739  3627  3738  1088  -25.41   0.556   4.4
20704 17:48:54  739  3627  3738  1088  -25.41   0.556   4.4
20705 17:48:54  739  3627  3738  1088  -25.41   0.556   4.4
20706 17:48:54  739  3627  3738  1088  -25.41   0.556   4.4
20707 17:48:54  739  3627  3738  1088  -25.41   0.556   4.4
20708 17:48:54  739  3627  3738  1088  -25.41   0.556   4.4
20709 17:48:55  739  3627  3738  1088  -25.41   0.556   4.4
20710 17:48:55  739  3627  3738  1088  -25.41   0.556   4.4
20711 17:48:55  739  3627  3738  1088  -25.41   0.556   4.4
20712 17:48:55  739  3627  3738  1088  -25.41   0.556   4.4
20713 17:48:55  739  3627  3738  1088  -25.41   0.556   4.4
20714 17:48:55  739  3627  3738  1088  -25.41   0.556   4.4
20715 17:48:56  739  3627  3738  1088  -25.41   0.556   4.4
20716 17:48:56  739  3627  3738  1088  -25.41   0.556   4.4
20717 17:48:56  739  3627  3738  1088  -25.41   0.556   4.4
20718 17:48:56  739  3627  3738  1088  -25.41   0.556   4.4
20719 17:48:56  739  3627  3738  1088  -25.41   0.556   4.4
20720 17:48:57  739  3627  3738  1088  -25.41   0.556   4.4
20721 17:48:57  739  3627  3738  1088  -25.41   0.556   4.4
20722 17:48:57  739  3627  3738  1088  -25.41   0.556   4.4
20723 17:48:57  739  3627  3738  1088  -25.41   0.556   4.4
20724 17:48:57  739  3627  3738  1088  -25.41   0.556   4.4
20725 17:48:57  739  3627  3738  1088  -25.41   0.556   4.4
20726 17:48:58  739  3627  3738  1088  -25.41   0.556   4.4
20727 17:48:58  739  3627  3738  1088  -25.41   0.556   4.4
20728 17:48:58  739  3627  3738  1088  -25.41   0.556   4.4
20729 17:48:58  739  3627  3738  1088  -25.41   0.556   4.4
20730 17:48:58  739  3627  3738  1088  -25.41   0.556   4.4
20731 17:48:59  739  3627  3738  1088  -25.41   0.556   4.4
20732 17:48:59  739  3627  3738  1088  -25.41   0.556   4.4
20733 17:48:59  739  3627  3738  1088  -25.41   0.556   4.4
20734 17:48:59  739  3627  3738  1088  -25.41   0.556   4.4
20735 17:48:59  739  3627  3738  1088  -25.41   0.556   4.4
20736 17:48:59  739  3627  3738  1088  -25.41   0.556   4.4
20737 17:49:00  739  3627  3738  1088  -25.41   0.556   4.4
20738 17:49:00  739  3627  3738  1088  -25.41   0.556   4.4
20739 17:49:00  739  3627  3738  1088  -25.41   0.556   4.4
20740 17:49:00  739  3627  3738  1088  -25.41   0.556   4.4
20741 17:49:00  739  3627  3738  1088  -25.41   0.556   4.4
20742 17:49:00  739  3627  3738  1088  -25.41   0.556   4.4
20743 17:49:01  739  3627  3738  1088  -25.41   0.556   4.4
20744 17:49:01  739  3627  3738  1088  -25.41   0.556   4.4
20745 17:49:01  739  3627  3738  1088  -25.41   0.556   4.4
20746 17:49:01  739  3627  3738  1088  -25.41   0.556   4.4
20747 17:49:01  739  3627  3738  1088  -25.41   0.556   4.4
20748 17:49:03  739  3627  3738  1088  -25.41   0.556   4.4
20749 17:49:03  739  3627  3738  1088  -25.41   0.556   4.4
20750 17:49:03  739  3627  3738  1088  -25.41   0.556   4.4
20751 17:49:03  739  3627  3738  1088  -25.41   0.556   4.4
20752 17:49:03  739  3627  3738  1088  -25.41   0.556   4.4
20753 17:49:03  739  3627  3738  1088  -25.41   0.556   4.4
20754 17:49:03  739  3627  3738  1088  -25.41   0.556   4.4
20755 17:49:03  739  3627  3738  1088  -25.41   0.556   4.4
20756 17:49:04  739  3627  3738  1088  -25.41   0.556   4.4
20757 17:49:04  739  3627  3738  1088  -25.41   0.556   4.4
20758 17:49:04  739  3627  3738  1088  -25.41   0.556   4.4
20759 17:49:04  739  3627  3738  1088  -25.41   0.556   4.4
20760 17:49:04  739  3627  3738  1088  -25.41   0.556   4.4
20761 17:49:04  739  3627  3738  1088  -25.41   0.556   4.4
20762 17:49:05  739  3627  3738  1088  -25.41   0.556   4.4
20763 17:49:05  739  3627  3738  1088  -25.41   0.556   4.4
20764 17:49:05  739  3627  3738  1088  -25.41   0.556   4.4
20765 17:49:05  739  3627  3738  1088  -25.41   0.556   4.4
20766 17:49:05  739  3627  3738  1088  -25.41   0.556   4.4
20767 17:49:06  739  3627  3738  1088  -25.41   0.556   4.4
20768 17:49:06  739  3627  3738  1088  -25.41   0.556   4.4
20769 17:49:06  739  3627  3738  1088  -25.41   0.556   4.4
20770 17:49:06  739  3627  3738  1088  -25.41   0.556   4.4
20771 17:49:06  739  3627  3738  1088  -25.41   0.556   4.4
20772 17:49:06  739  3627  3738  1088  -25.41   0.556   4.4
20773 17:49:07  739  3627  3738  1088  -25.41   0.556   4.4
20774 17:49:07  739  3627  3738  1088  -25.41   0.556   4.4
20775 17:49:07  739  3627  3738  1088  -25.41   0.556   4.4
20776 17:49:07  739  3627  3738  1088  -25.41   0.556   4.4
20777 17:49:07  739  3627  3738  1088  -25.41   0.556   4.4
20778 17:49:07  739  3627  3738  1088  -25.41   0.556   4.4
20779 17:49:08  739  3627  3738  1088  -25.41   0.556   4.4
20780 17:49:08  739  3627  3738  1088  -25.41   0.556   4.4
20781 17:49:08  739  3627  3738  1088  -25.41   0.556   4.4
20782 17:49:08  739  3627  3738  1088  -25.41   0.556   4.4
20783 17:49:08  739  3627  3738  1088  -25.41   0.556   4.4
20784 17:49:08  739  3627  3738  1088  -25.41   0.556   4.4
20785 17:49:09  739  3627  3738  1088  -25.41   0.556   4.4
20786 17:49:09  739  3627  3738  1088  -25.41   0.556   4.4
20787 17:49:09  739  3627  3738  1088  -25.41   0.556   4.4
20788 17:49:09  739  3627  3738  1088  -25.41   0.556   4.4
20789 17:49:09  739  3627  3738  1088  -25.41   0.556   4.4
20790 17:49:09  739  3627  3738  1088  -25.41   0.556   4.4
20791 17:49:10  739  3627  3738  1088  -25.41   0.556   4.4
20792 17:49:10  739  3627  3738  1088  -25.41   0.556   4.4
20793 17:49:10  739  3627  3738  1088  -25.41   0.556   4.4
20794 17:49:10  739  3627  3738  1088  -25.41   0.556   4.4
20795 17:49:10  739  3627  3738  1088  -25.41   0.556   4.4
20796 17:49:11  739  3627  3738  1088  -25.41   0.556   4.4
20797 17:49:11  739  3627  3738  1088  -25.41   0.556   4.4
20798 17:49:11  739  3627  3738  1088  -25.41   0.556   4.4
20799 17:49:11  739  3627  3738  1088  -25.41   0.556   4.4
20800 17:49:11  739  3627  3738  1088  -25.41   0.556   4.4
20801 17:49:11  739  3627  3738  1088  -25.41   0.556   4.4
20802 17:49:12  739  3627  3738  1088  -25.41   0.556   4.4
20803 17:49:12  739  3627  3738  1088  -25.41   0.556   4.4
20804 17:49:12  739  3627  3738  1088  -25.41   0.556   4.4
20805 17:49:12  739  3627  3738  1088  -25.41   0.556   4.4
20806 17:49:12  739  3627  3738  1088  -25.41   0.556   4.4
20807 17:49:12  739  3627  3738  1088  -25.41   0.556   4.4
20808 17:49:13  739  3627  3738  1088  -25.41   0.556   4.4
20809 17:49:13  739  3627  3738  1088  -25.41   0.556   4.4
20810 17:49:13  739  3627  3738  1088  -25.41   0.556   4.4
20811 17:49:13  739  3627  3738  1088  -25.41   0.556   4.4
20812 17:49:14  739  3627  3738  1088  -25.41   0.556   4.4
20813 17:49:14  739  3627  3738  1088  -25.41   0.556   4.4
20814 17:49:14  739  3627  3738  1088  -25.41   0.556   4.4
20815 17:49:14  739  3627  3738  1088  -25.41   0.556   4.4
20816 17:49:14  739  3627  3738  1088  -25.41   0.556   4.4
20817 17:49:15  739  3627  3738  1088  -25.41   0.556   4.4
20818 17:49:15  739  3627  3738  1088  -25.41   0.556   4.4
20819 17:49:15  739  3627  3738  1088  -25.41   0.556   4.4
20820 17:49:15  739  3627  3738  1088  -25.41   0.556   4.4
20821 17:49:15  739  3627  3738  1088  -25.41   0.556   4.4
20822 17:49:15  739  3627  3738  1088  -25.41   0.556   4.4
20823 17:49:16  739  3627  3738  1088  -25.41   0.556   4.4
20824 17:49:16  739  3627  3738  1088  -25.41   0.556   4.4
20825 17:49:16  739  3627  3738  1088  -25.41   0.556   4.4
20826 17:49:16  739  3627  3738  1088  -25.41   0.556   4.4
20827 17:49:16  739  3627  3738  1088  -25.41   0.556   4.4
20828 17:49:16  739  3627  3738  1088  -25.41   0.556   4.4
20829 17:49:17  739  3627  3738  1088  -25.41   0.556   4.4
20830 17:49:17  739  3627  3738  1088  -25.41   0.556   4.4
20831 17:49:17  739  3627  3738  1088  -25.41   0.556   4.4
20832 17:49:17  739  3627  3738  1088  -25.41   0.556   4.4
20833 17:49:17  739  3627  3738  1088  -25.41   0.556   4.4
20834 17:49:17  739  3627  3738  1088  -25.41   0.556   4.4
20835 17:49:18  739  3627  3738  1088  -25.41   0.556   4.4
20836 17:49:18  739  3627  3738  1088  -25.41   0.556   4.4
20837 17:49:18  739  3627  3738  1088  -25.41   0.556   4.4
20838 17:49:18  739  3627  3738  1088  -25.41   0.556   4.4
20839 17:49:18  739  3627  3738  1088  -25.41   0.556   4.4
20840 17:49:18  739  3627  3738  1088  -25.41   0.556   4.4
20841 17:49:19  739  3627  3738  1088  -25.41   0.556   4.4
20842 17:49:19  739  3627  3738  1088  -25.41   0.556   4.4
20843 17:49:19  739  3627  3738  1088  -25.41   0.556   4.4
20844 17:49:19  739  3627  3738  1088  -25.41   0.556   4.4
20845 17:49:19  739  3627  3738  1088  -25.41   0.556   4.4
20846 17:49:19  739  3627  3738  1088  -25.41   0.556   4.4
20847 17:49:20  739  3627  3738  1088  -25.41   0.556   4.4
20848 17:49:20  739  3627  3738  1088  -25.41   0.556   4.4
20849 17:49:20  739  3627  3738  1088  -25.41   0.556   4.4
20850 17:49:20  739  3627  3738  1088  -25.41   0.556   4.4
20851 17:49:21  739  3627  3738  1088  -25.41   0.556   4.4
20852 17:49:21  739  3627  3738  1088  -25.41   0.556   4.4
20853 17:49:21  739  3627  3738  1088  -25.41   0.556   4.4
20854 17:49:21  739  3627  3738  1088  -25.41   0.556   4.4
20855 17:49:21  739  3627  3738  1088  -25.41   0.556   4.4
20856 17:49:21  739  3627  3738  1088  -25.41   0.556   4.4
20857 17:49:22  739  3627  3738  1088  -25.41   0.556   4.4
20858 17:49:22  739  3627  3738  1088  -25.41   0.556   4.4
20859 17:49:22  739  3627  3738  1088  -25.41   0.556   4.4
20860 17:49:22  739  3627  3738  1088  -25.41   0.556   4.4
20861 17:49:22  739  3627  3738  1088  -25.41   0.556   4.4
20862 17:49:22  739  3627  3738  1088  -25.41   0.556   4.4
20863 17:49:23  739  3627  3738  1088  -25.41   0.556   4.4
20864 17:49:23  739  3627  3738  1088  -25.41   0.556   4.4
20865 17:49:23  739  3627  3738  1088  -25.41   0.556   4.4
20866 17:49:23  739  3627  3738  1088  -25.41   0.556   4.4
20867 17:49:23  739  3627  3738  1088  -25.41   0.556   4.4
20868 17:49:24  739  3627  3738  1088  -25.41   0.556   4.4
20869 17:49:24  739  3627  3738  1088  -25.41   0.556   4.4
20870 17:49:24  739  3627  3738  1088  -25.41   0.556   4.4
20871 17:49:24  739  3627  3738  1088  -25.41   0.556   4.4
20872 17:49:24  739  3627  3738  1088  -25.41   0.556   4.4
20873 17:49:24  739  3627  3738  1088  -25.41   0.556   4.4
20874 17:49:25  739  3627  3738  1088  -25.41   0.556   4.4
20875 17:49:25  739  3627  3738  1088  -25.41   0.556   4.4
20876 17:49:25  739  3627  3738  1088  -25.41   0.556   4.4
20877 17:49:25  739  3627  3738  1088  -25.41   0.556   4.4
20878 17:49:25  739  3627  3738  1088  -25.41   0.556   4.4
20879 17:49:25  739  3627  3738  1088  -25.41   0.556   4.4
20880 17:49:26  618  3470  3738  1087  -25.41   0.556   4.4
20881 17:49:26  618  3470  3738  1087  -25.41   0.556   4.4
20882 17:49:26  618  3470  3738  1087  -25.41   0.556   4.4
20883 17:49:26  618  3470  3738  1087  -25.41   0.556   4.4
20884 17:49:27  618  3470  3738  1087  -25.41   0.556   4.4
20885 17:49:27  618  3470  3738  1087  -25.41   0.556   4.4
20886 17:49:27  618  3470  3738  1087  -25.41   0.556   4.4
20887 17:49:27  618  3470  3738  1087  -25.41   0.556   4.4
20888 17:49:27  618  3470  3738  1087  -25.41   0.556   4.4
20889 17:49:28  618  3470  3738  1087  -25.41   0.556   4.4
20890 17:49:28  618  3470  3738  1087  -25.41   0.556   4.4
20891 17:49:28  618  3470  3738  1087  -25.41   0.556   4.4
20892 17:49:28  618  3470  3738  1087  -25.41   0.556   4.4
20893 17:49:28  618  3470  3738  1087  -25.41   0.556   4.4
20894 17:49:28  618  3470  3738  1087  -25.41   0.556   4.4
20895 17:49:29  618  3470  3738  1087  -25.41   0.556   4.4
20896 17:49:29  618  3470  3738  1087  -25.41   0.556   4.4
20897 17:49:29  618  3470  3738  1087  -25.41   0.556   4.4
20898 17:49:29  618  3470  3738  1087  -25.41   0.556   4.4
20899 17:49:30  618  3470  3738  1087  -25.41   0.556   4.4
20900 17:49:30  618  3470  3738  1087  -25.41   0.556   4.4
20901 17:49:30  618  3470  3738  1087  -25.41   0.556   4.4
20902 17:49:30  618  3470  3738  1087  -25.41   0.556   4.4
20903 17:49:30  618  3470  3738  1087  -25.41   0.556   4.4
20904 17:49:30  618  3470  3738  1087  -25.41   0.556   4.4
20905 17:49:31  618  3470  3738  1087  -25.41   0.556   4.4
20906 17:49:31  618  3470  3738  1087  -25.41   0.556   4.4
20907 17:49:31  618  3470  3738  1087  -25.41   0.556   4.4
20908 17:49:31  618  3470  3738  1087  -25.41   0.556   4.4
20909 17:49:31  618  3470  3738  1087  -25.41   0.556   4.4
20910 17:49:32  618  3470  3738  1087  -25.41   0.556   4.4
20911 17:49:32  618  3470  3738  1087  -25.41   0.556   4.4
